"Plot Title: DRYAS_11C_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547755, SEN S/N: 20547755, LBL: -5cm_soil)","Host Connected (LGR S/N: 20547755)","Coupler Attached (LGR S/N: 20547755)","Stopped (LGR S/N: 20547755)","End Of File (LGR S/N: 20547755)"
122,07/05/22 04:30:00  AM,5.244,,,,
123,07/05/22 05:00:00  AM,5.244,,,,
124,07/05/22 05:30:00  AM,5.450,,,,
125,07/05/22 06:00:00  AM,5.552,,,,
126,07/05/22 06:30:00  AM,5.655,,,,
127,07/05/22 07:00:00  AM,5.860,,,,
128,07/05/22 07:30:00  AM,5.962,,,,
129,07/05/22 08:00:00  AM,6.166,,,,
130,07/05/22 08:30:00  AM,6.370,,,,
131,07/05/22 09:00:00  AM,6.573,,,,
132,07/05/22 09:30:00  AM,6.877,,,,
133,07/05/22 10:00:00  AM,7.280,,,,
134,07/05/22 10:30:00  AM,7.582,,,,
135,07/05/22 11:00:00  AM,7.983,,,,
136,07/05/22 11:30:00  AM,8.282,,,,
137,07/05/22 12:00:00  PM,8.581,,,,
138,07/05/22 12:30:00  PM,8.779,,,,
139,07/05/22 01:00:00  PM,9.176,,,,
140,07/05/22 01:30:00  PM,9.472,,,,
141,07/05/22 02:00:00  PM,9.669,,,,
142,07/05/22 02:30:00  PM,9.965,,,,
143,07/05/22 03:00:00  PM,10.259,,,,
144,07/05/22 03:30:00  PM,10.553,,,,
145,07/05/22 04:00:00  PM,10.553,,,,
146,07/05/22 04:30:00  PM,10.357,,,,
147,07/05/22 05:00:00  PM,10.259,,,,
148,07/05/22 05:30:00  PM,10.063,,,,
149,07/05/22 06:00:00  PM,9.768,,,,
150,07/05/22 06:30:00  PM,9.571,,,,
151,07/05/22 07:00:00  PM,9.275,,,,
152,07/05/22 07:30:00  PM,8.978,,,,
153,07/05/22 08:00:00  PM,8.581,,,,
154,07/05/22 08:30:00  PM,8.282,,,,
155,07/05/22 09:00:00  PM,7.983,,,,
156,07/05/22 09:30:00  PM,7.782,,,,
157,07/05/22 10:00:00  PM,7.481,,,,
