"Plot Title: DRYAS_14T_Soil"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10139941, SEN S/N: 10139941, LBL: -5cm_soil)","Good Battery (LGR S/N: 10139941)","Coupler Attached (LGR S/N: 10139941)","Host Connected (LGR S/N: 10139941)","Stopped (LGR S/N: 10139941)","End Of File (LGR S/N: 10139941)"
117,07/03/22 09:00:00  PM,3.788,,,,,
118,07/03/22 09:15:00  PM,3.788,,,,,
119,07/03/22 09:30:00  PM,3.788,,,,,
120,07/03/22 09:45:00  PM,3.683,,,,,
121,07/03/22 10:00:00  PM,3.683,,,,,
122,07/03/22 10:15:00  PM,3.578,,,,,
123,07/03/22 10:30:00  PM,3.578,,,,,
124,07/03/22 10:45:00  PM,3.578,,,,,
125,07/03/22 11:00:00  PM,3.472,,,,,
126,07/03/22 11:15:00  PM,3.472,,,,,
127,07/03/22 11:30:00  PM,3.367,,,,,
128,07/03/22 11:45:00  PM,3.367,,,,,
129,07/04/22 12:00:00  AM,3.261,,,,,
130,07/04/22 12:15:00  AM,3.261,,,,,
131,07/04/22 12:30:00  AM,3.155,,,,,
132,07/04/22 12:45:00  AM,3.155,,,,,
133,07/04/22 01:00:00  AM,3.155,,,,,
134,07/04/22 01:15:00  AM,3.049,,,,,
135,07/04/22 01:30:00  AM,3.049,,,,,
136,07/04/22 01:45:00  AM,3.049,,,,,
137,07/04/22 02:00:00  AM,3.049,,,,,
138,07/04/22 02:15:00  AM,2.943,,,,,
139,07/04/22 02:30:00  AM,2.943,,,,,
140,07/04/22 02:45:00  AM,2.943,,,,,
141,07/04/22 03:00:00  AM,2.943,,,,,
142,07/04/22 03:15:00  AM,2.943,,,,,
143,07/04/22 03:30:00  AM,2.943,,,,,
144,07/04/22 03:45:00  AM,2.943,,,,,
145,07/04/22 04:00:00  AM,2.943,,,,,
146,07/04/22 04:15:00  AM,2.943,,,,,
147,07/04/22 04:30:00  AM,2.943,,,,,
148,07/04/22 04:45:00  AM,3.049,,,,,
149,07/04/22 05:00:00  AM,2.943,,,,,
150,07/04/22 05:15:00  AM,3.049,,,,,
151,07/04/22 05:30:00  AM,3.049,,,,,
152,07/04/22 05:45:00  AM,3.049,,,,,
153,07/04/22 06:00:00  AM,3.049,,,,,
154,07/04/22 06:15:00  AM,3.049,,,,,
155,07/04/22 06:30:00  AM,3.155,,,,,
156,07/04/22 06:45:00  AM,3.155,,,,,
157,07/04/22 07:00:00  AM,3.155,,,,,
158,07/04/22 07:15:00  AM,3.261,,,,,
159,07/04/22 07:30:00  AM,3.261,,,,,
160,07/04/22 07:45:00  AM,3.367,,,,,
161,07/04/22 08:00:00  AM,3.472,,,,,
162,07/04/22 08:15:00  AM,3.472,,,,,
163,07/04/22 08:30:00  AM,3.578,,,,,
164,07/04/22 08:45:00  AM,3.683,,,,,
165,07/04/22 09:00:00  AM,3.788,,,,,
166,07/04/22 09:15:00  AM,3.788,,,,,
167,07/04/22 09:30:00  AM,3.893,,,,,
168,07/04/22 09:45:00  AM,3.998,,,,,
169,07/04/22 10:00:00  AM,4.102,,,,,
170,07/04/22 10:15:00  AM,4.102,,,,,
171,07/04/22 10:30:00  AM,4.207,,,,,
172,07/04/22 10:45:00  AM,4.415,,,,,
173,07/04/22 11:00:00  AM,4.623,,,,,
174,07/04/22 11:15:00  AM,4.831,,,,,
175,07/04/22 11:30:00  AM,5.037,,,,,
176,07/04/22 11:45:00  AM,5.244,,,,,
177,07/04/22 12:00:00  PM,5.450,,,,,
178,07/04/22 12:15:00  PM,5.655,,,,,
179,07/04/22 12:30:00  PM,5.860,,,,,
180,07/04/22 12:45:00  PM,6.166,,,,,
181,07/04/22 01:00:00  PM,6.370,,,,,
182,07/04/22 01:15:00  PM,6.573,,,,,
183,07/04/22 01:30:00  PM,6.775,,,,,
184,07/04/22 01:45:00  PM,6.978,,,,,
185,07/04/22 02:00:00  PM,7.179,,,,,
186,07/04/22 02:15:00  PM,7.381,,,,,
187,07/04/22 02:30:00  PM,7.582,,,,,
188,07/04/22 02:45:00  PM,7.682,,,,,
189,07/04/22 03:00:00  PM,7.882,,,,,
190,07/04/22 03:15:00  PM,7.983,,,,,
191,07/04/22 03:30:00  PM,7.983,,,,,
192,07/04/22 03:45:00  PM,8.182,,,,,
193,07/04/22 04:00:00  PM,8.182,,,,,
194,07/04/22 04:15:00  PM,8.282,,,,,
195,07/04/22 04:30:00  PM,8.282,,,,,
196,07/04/22 04:45:00  PM,8.382,,,,,
197,07/04/22 05:00:00  PM,8.382,,,,,
198,07/04/22 05:15:00  PM,8.382,,,,,
199,07/04/22 05:30:00  PM,8.382,,,,,
200,07/04/22 05:45:00  PM,8.282,,,,,
201,07/04/22 06:00:00  PM,8.282,,,,,
202,07/04/22 06:15:00  PM,8.182,,,,,
203,07/04/22 06:30:00  PM,8.082,,,,,
204,07/04/22 06:45:00  PM,7.983,,,,,
205,07/04/22 07:00:00  PM,7.882,,,,,
206,07/04/22 07:15:00  PM,7.782,,,,,
207,07/04/22 07:30:00  PM,7.582,,,,,
208,07/04/22 07:45:00  PM,7.481,,,,,
209,07/04/22 08:00:00  PM,7.280,,,,,
210,07/04/22 08:15:00  PM,7.179,,,,,
211,07/04/22 08:30:00  PM,6.978,,,,,
212,07/04/22 08:45:00  PM,6.877,,,,,
213,07/04/22 09:00:00  PM,6.775,,,,,
214,07/04/22 09:15:00  PM,6.573,,,,,
215,07/04/22 09:30:00  PM,6.471,,,,,
216,07/04/22 09:45:00  PM,6.268,,,,,
217,07/04/22 10:00:00  PM,6.166,,,,,
218,07/04/22 10:15:00  PM,6.064,,,,,
219,07/04/22 10:30:00  PM,5.860,,,,,
220,07/04/22 10:45:00  PM,5.757,,,,,
221,07/04/22 11:00:00  PM,5.655,,,,,
222,07/04/22 11:15:00  PM,5.552,,,,,
223,07/04/22 11:30:00  PM,5.450,,,,,
224,07/04/22 11:45:00  PM,5.347,,,,,
225,07/05/22 12:00:00  AM,5.244,,,,,
226,07/05/22 12:15:00  AM,5.141,,,,,
227,07/05/22 12:30:00  AM,5.037,,,,,
228,07/05/22 12:45:00  AM,4.934,,,,,
229,07/05/22 01:00:00  AM,4.831,,,,,
230,07/05/22 01:15:00  AM,4.727,,,,,
231,07/05/22 01:30:00  AM,4.623,,,,,
232,07/05/22 01:45:00  AM,4.623,,,,,
233,07/05/22 02:00:00  AM,4.519,,,,,
234,07/05/22 02:15:00  AM,4.519,,,,,
235,07/05/22 02:30:00  AM,4.415,,,,,
236,07/05/22 02:45:00  AM,4.519,,,,,
237,07/05/22 03:00:00  AM,4.519,,,,,
238,07/05/22 03:15:00  AM,4.415,,,,,
239,07/05/22 03:30:00  AM,4.519,,,,,
240,07/05/22 03:45:00  AM,4.519,,,,,
241,07/05/22 04:00:00  AM,4.519,,,,,
242,07/05/22 04:15:00  AM,4.519,,,,,
243,07/05/22 04:30:00  AM,4.519,,,,,
244,07/05/22 04:45:00  AM,4.519,,,,,
245,07/05/22 05:00:00  AM,4.519,,,,,
246,07/05/22 05:15:00  AM,4.519,,,,,
