site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
NA,NA,NA,NA,+6354.  ,+16.816 ,+15.387 ,-.00343 ,-.18472,+120.0  ,+2022.  ,+190.   04+1043.  05+32.2   06+11.900 07+2.0861 08+417.23,+.73027 ,+11.684 ,+16.850 ,+16.885 ,+15.353 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+33.2   ,+11.900 ,+2.0886 ,+417.71,+.73027 ,+11.684 ,+16.850 ,+16.953 ,+15.353 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+34.2   ,+11.900 ,+2.0851 ,+417.02,+.72992 ,+11.679 ,+16.862 ,+17.000 ,+15.348 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+35.2   ,+11.900 ,+2.0851 ,+417.02,+.73096 ,+11.695 ,+16.862 ,+17.069 ,+15.330 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+36.2   ,+11.678 ,+2.0844 ,+416.88,+.73027 ,+11.684 ,+16.862 ,+17.103 ,+15.348 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+37.2   ,+11.529 ,+2.0418 ,+408.35,+.75591 ,+12.095 ,+16.862 ,+17.120 ,+15.313 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+38.2   ,+11.505 ,+1.6241 ,+324.82,+.52890 ,+8.4623 ,+16.862 ,+17.069 ,+15.313 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+39.2   ,+11.340 ,+2.2317 ,+446.34,+.67106 ,+10.737 ,+16.862 ,+17.051 ,+15.279 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+40.2   ,+11.628 ,+2.4719 ,+494.38,+.71889 ,+11.502 ,+16.874 ,+17.046 ,+15.291 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+41.2   ,+11.565 ,+2.7939 ,+558.77,+.65298 ,+10.448 ,+16.874 ,+17.029 ,+15.256 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+42.2   ,+11.439 ,+2.8306 ,+566.12,+.61624 ,+9.8598 ,+16.874 ,+17.046 ,+15.239 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+43.2   ,+11.703 ,+2.5280 ,+505.61,+.59752 ,+9.5603 ,+16.874 ,+17.029 ,+15.222 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+44.2   ,+11.512 ,+2.5124 ,+502.49,+.58925 ,+9.4281 ,+16.886 ,+17.092 ,+15.217 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+45.2   ,+11.697 ,+2.4591 ,+491.81,+.58435 ,+9.3496 ,+16.886 ,+17.178 ,+15.199 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+46.2   ,+11.642 ,+2.3858 ,+477.16,+.58158 ,+9.3053 ,+16.898 ,+17.242 ,+15.177 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+47.2   ,+11.766 ,+2.3651 ,+473.03,+.57742 ,+9.2387 ,+16.898 ,+17.276 ,+15.160 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+48.2   ,+11.656 ,+2.3201 ,+464.02,+.57326 ,+9.1722 ,+16.910 ,+17.322 ,+15.154 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+49.2   ,+11.826 ,+2.3086 ,+461.73,+.56979 ,+9.1167 ,+16.910 ,+17.357 ,+15.120 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+50.2   ,+11.491 ,+2.2969 ,+459.37,+.56672 ,+9.0676 ,+16.922 ,+17.420 ,+15.132 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+51.2   ,+11.653 ,+2.2705 ,+454.10,+.56668 ,+9.0668 ,+16.922 ,+17.472 ,+15.132 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+52.2   ,+11.510 ,+2.2369 ,+447.38,+.56494 ,+9.0391 ,+16.934 ,+17.518 ,+15.127 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+53.2   ,+11.436 ,+2.1950 ,+438.99,+.56326 ,+9.0121 ,+16.946 ,+17.564 ,+15.121 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+54.2   ,+11.565 ,+2.1790 ,+435.80,+.56390 ,+9.0224 ,+16.946 ,+17.633 ,+15.121 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+55.2   ,+11.604 ,+2.1707 ,+434.14,+.56217 ,+8.9947 ,+16.958 ,+17.679 ,+15.116 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+56.2   ,+11.615 ,+2.1719 ,+434.38,+.56152 ,+8.9844 ,+16.970 ,+17.726 ,+15.094 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+57.2   ,+11.656 ,+2.1610 ,+432.20,+.56564 ,+9.0502 ,+16.982 ,+17.789 ,+15.071 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+58.2   ,+11.604 ,+2.1194 ,+423.88,+.56494 ,+9.0391 ,+16.994 ,+17.818 ,+15.066 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1043.  ,+59.2   ,+11.524 ,+2.0899 ,+417.99,+.56910 ,+9.1056 ,+17.006 ,+17.882 ,+15.061 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+.2     ,+11.340 ,+2.0709 ,+414.18,+.57222 ,+9.1555 ,+17.018 ,+17.928 ,+15.038 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+1.2    ,+11.395 ,+2.0736 ,+414.73,+.57331 ,+9.1730 ,+17.020 ,+17.982 ,+15.024 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+2.2    ,+11.694 ,+2.0664 ,+413.27,+.57395 ,+9.1833 ,+17.042 ,+18.038 ,+15.028 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+3.2    ,+11.774 ,+2.0723 ,+414.45,+.57470 ,+9.1951 ,+17.054 ,+18.084 ,+15.023 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+4.2    ,+11.587 ,+2.0712 ,+414.24,+.57603 ,+9.2165 ,+17.066 ,+18.130 ,+15.035 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+5.2    ,+11.760 ,+2.0709 ,+414.18,+.57603 ,+9.2165 ,+17.078 ,+18.177 ,+15.012 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+6.2    ,+11.667 ,+2.0636 ,+412.72,+.57603 ,+9.2165 ,+17.090 ,+18.223 ,+15.024 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+7.2    ,+11.538 ,+2.0629 ,+412.58,+.57569 ,+9.2110 ,+17.101 ,+18.201 ,+15.019 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+8.2    ,+11.480 ,+2.0716 ,+414.31,+.57673 ,+9.2276 ,+17.114 ,+18.178 ,+15.014 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+9.2    ,+11.521 ,+2.0598 ,+411.96,+.57465 ,+9.1943 ,+17.116 ,+18.249 ,+14.982 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+10.2   ,+11.524 ,+2.0650 ,+413.00,+.57465 ,+9.1943 ,+17.137 ,+18.322 ,+15.003 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+11.2   ,+11.755 ,+2.0638 ,+412.76,+.57470 ,+9.1951 ,+17.150 ,+18.386 ,+14.998 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+12.2   ,+11.458 ,+2.0570 ,+411.40,+.57187 ,+9.1500 ,+17.162 ,+18.432 ,+14.993 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+13.2   ,+11.518 ,+2.0768 ,+415.35,+.57395 ,+9.1833 ,+17.174 ,+18.478 ,+14.971 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+14.2   ,+11.531 ,+2.0792 ,+415.84,+.56910 ,+9.1056 ,+17.186 ,+18.525 ,+14.948 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+15.2   ,+11.475 ,+2.0844 ,+416.88,+.57257 ,+9.1611 ,+17.198 ,+18.554 ,+14.926 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+16.2   ,+11.626 ,+2.0858 ,+417.16,+.57395 ,+9.1833 ,+17.210 ,+18.549 ,+14.903 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+17.2   ,+11.364 ,+2.0761 ,+415.22,+.57291 ,+9.1666 ,+17.222 ,+18.595 ,+14.881 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+18.2   ,+11.672 ,+2.0750 ,+415.01,+.57465 ,+9.1943 ,+17.234 ,+18.641 ,+14.876 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+19.2   ,+11.535 ,+2.0768 ,+415.35,+.57257 ,+9.1611 ,+17.246 ,+18.687 ,+14.871 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+20.2   ,+11.601 ,+2.0752 ,+415.04,+.57049 ,+9.1278 ,+17.258 ,+18.751 ,+14.848 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+21.2   ,+11.634 ,+2.0775 ,+415.49,+.57118 ,+9.1389 ,+17.270 ,+18.797 ,+14.860 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+22.2   ,+11.623 ,+2.0705 ,+414.11,+.57118 ,+9.1389 ,+17.282 ,+18.861 ,+14.821 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+23.2   ,+11.719 ,+2.0695 ,+413.90,+.56633 ,+9.0613 ,+17.294 ,+18.890 ,+14.816 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+24.2   ,+11.689 ,+2.0643 ,+412.86,+.56425 ,+9.0280 ,+17.306 ,+18.919 ,+14.793 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+25.2   ,+11.683 ,+2.0754 ,+415.08,+.56390 ,+9.0224 ,+17.318 ,+18.948 ,+14.736 ,+0.0000 ,+0.0000
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+26.2   ,+11.711 ,+2.0676 ,+413.52,+.55801 ,+8.9282 ,+17.342 ,+18.989 ,+14.726 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+27.2   ,+11.453 ,+2.0650 ,+413.00,+.55385 ,+8.8616 ,+17.354 ,+19.035 ,+14.703 ,-.00343 ,-.18472
NA,NA,NA,NA,+120.0  ,+2022.  ,+190.   ,+1044.  ,+28.2   ,+11.601 ,+2.0608 ,+412.17,+.55039 ,+8.8062 ,+17.366 ,+19.047 ,+14.664 ,-.00343 ,-.18472
