site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+13.2   ,+11.970 ,+2.0158 ,+403.15,+.49164 ,+7.8663 ,+19.546 ,+17.197 ,+17.437 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+14.2   ,+11.808 ,+2.0234 ,+404.68,+.49615 ,+7.9383 ,+19.535 ,+17.084 ,+17.427 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+15.2   ,+11.795 ,+2.0182 ,+403.64,+.50030 ,+8.0048 ,+19.533 ,+16.978 ,+17.459 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+16.2   ,+11.872 ,+2.0248 ,+404.95,+.50377 ,+8.0603 ,+19.533 ,+16.892 ,+17.459 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+17.2   ,+11.905 ,+2.0168 ,+403.36,+.50550 ,+8.0880 ,+19.533 ,+16.806 ,+17.476 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+18.2   ,+11.751 ,+2.0140 ,+402.81,+.51070 ,+8.1712 ,+19.533 ,+16.738 ,+17.493 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+19.2   ,+11.743 ,+2.0137 ,+402.74,+.51485 ,+8.2377 ,+19.533 ,+16.635 ,+17.494 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+20.2   ,+11.839 ,+2.0102 ,+402.04,+.52109 ,+8.3375 ,+19.533 ,+16.497 ,+17.494 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+21.2   ,+11.907 ,+2.0099 ,+401.97,+.52525 ,+8.4040 ,+19.533 ,+16.394 ,+17.493 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+22.2   ,+11.808 ,+2.0064 ,+401.28,+.53426 ,+8.5481 ,+19.533 ,+16.256 ,+17.494 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+23.2   ,+11.806 ,+2.0005 ,+400.10,+.54119 ,+8.6590 ,+19.546 ,+16.166 ,+17.489 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+24.2   ,+11.885 ,+1.9915 ,+398.30,+.55054 ,+8.8087 ,+19.533 ,+16.050 ,+17.459 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+25.2   ,+11.888 ,+1.9908 ,+398.16,+.56059 ,+8.9694 ,+19.546 ,+15.942 ,+17.472 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+26.2   ,+11.715 ,+1.9860 ,+397.19,+.57306 ,+9.1690 ,+19.546 ,+15.821 ,+17.454 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+27.2   ,+11.729 ,+1.9818 ,+396.36,+.58068 ,+9.2909 ,+19.546 ,+15.701 ,+17.437 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+28.2   ,+11.880 ,+1.9659 ,+393.17,+.59212 ,+9.4739 ,+19.558 ,+15.593 ,+17.450 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+29.2   ,+11.762 ,+1.9693 ,+393.87,+.60390 ,+9.6624 ,+19.546 ,+15.477 ,+17.403 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+30.2   ,+11.567 ,+1.9576 ,+391.51,+.60632 ,+9.7012 ,+19.548 ,+15.359 ,+17.405 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+31.2   ,+11.550 ,+1.9652 ,+393.04,+.60563 ,+9.6901 ,+19.558 ,+15.283 ,+17.399 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+32.2   ,+11.597 ,+1.9572 ,+391.44,+.60355 ,+9.6568 ,+19.558 ,+15.215 ,+17.381 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+33.2   ,+11.789 ,+1.9680 ,+393.59,+.60390 ,+9.6624 ,+19.558 ,+15.111 ,+17.364 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+34.2   ,+11.869 ,+1.9544 ,+390.89,+.60494 ,+9.6790 ,+19.571 ,+15.055 ,+17.359 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+35.2   ,+11.828 ,+1.9624 ,+392.48,+.62850 ,+10.056 ,+19.571 ,+14.986 ,+17.360 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+36.2   ,+11.331 ,+1.9569 ,+391.37,+.63092 ,+10.095 ,+19.571 ,+14.917 ,+17.325 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+37.2   ,+11.416 ,+1.9624 ,+392.48,+.64028 ,+10.244 ,+19.583 ,+14.861 ,+17.338 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+38.2   ,+11.482 ,+1.9465 ,+389.29,+.62226 ,+9.9562 ,+19.583 ,+14.757 ,+17.321 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+39.2   ,+11.616 ,+1.9752 ,+395.05,+.62780 ,+10.045 ,+19.583 ,+14.688 ,+17.304 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+40.2   ,+11.482 ,+1.9659 ,+393.17,+.62919 ,+10.067 ,+19.596 ,+14.667 ,+17.316 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+41.2   ,+11.602 ,+1.9541 ,+390.82,+.63543 ,+10.167 ,+19.596 ,+14.546 ,+17.299 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+42.2   ,+11.262 ,+1.9434 ,+388.67,+.63404 ,+10.145 ,+19.596 ,+14.494 ,+17.282 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+43.2   ,+11.553 ,+1.9517 ,+390.33,+.65171 ,+10.427 ,+19.608 ,+14.438 ,+17.294 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+44.2   ,+11.583 ,+1.9586 ,+391.72,+.65102 ,+10.416 ,+19.608 ,+14.369 ,+17.260 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+45.2   ,+11.399 ,+1.9402 ,+388.05,+.64582 ,+10.333 ,+19.621 ,+14.330 ,+17.273 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1159.  ,+46.2   ,+11.388 ,+1.9444 ,+388.88,+.66245 ,+10.599 ,+19.621 ,+14.278 ,+17.273 
