site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+51.2   ,+12.057 ,+2.0367 ,+407.35,+.42215 ,+6.7544 ,+15.374 ,+5.9523 ,-83.416 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+52.2   ,+11.895 ,+2.0400 ,+408.01,+.42353 ,+6.7765 ,+15.374 ,+5.9523 ,-12.501 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+53.2   ,+11.898 ,+2.0380 ,+407.59,+.42561 ,+6.8098 ,+15.362 ,+5.9404 ,-29.338 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+54.2   ,+12.010 ,+2.0414 ,+408.28,+.42561 ,+6.8098 ,+15.362 ,+5.9404 ,-89.928 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+55.2   ,+12.060 ,+2.0390 ,+407.80,+.42492 ,+6.7987 ,+15.362 ,+5.9404 ,-77.872 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+56.2   ,+11.892 ,+2.0428 ,+408.56,+.42665 ,+6.8264 ,+15.362 ,+5.9404 ,-46.923 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+57.2   ,+12.051 ,+2.0373 ,+407.45,+.42912 ,+6.8659 ,+15.362 ,+5.9404 ,-155.88 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+58.2   ,+12.049 ,+2.0352 ,+407.04,+.42908 ,+6.8653 ,+15.362 ,+5.9579 ,-15.922 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1554.  ,+59.2   ,+11.862 ,+2.0407 ,+408.14,+.42977 ,+6.8764 ,+15.362 ,+5.9571 ,-66.296 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+.2     ,+11.950 ,+2.0400 ,+408.01,+.43116 ,+6.8985 ,+15.362 ,+5.9404 ,-42.187 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+1.2    ,+11.925 ,+2.0414 ,+408.28,+.43185 ,+6.9096 ,+15.362 ,+5.9404 ,-35.334 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+2.2    ,+12.005 ,+2.0414 ,+408.28,+.43254 ,+6.9207 ,+15.350 ,+5.9286 ,-36.203 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+3.2    ,+12.120 ,+2.0333 ,+406.65,+.43116 ,+6.8985 ,+15.350 ,+5.9460 ,-53.931 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+4.2    ,+11.513 ,+2.0269 ,+405.37,+.45407 ,+7.2652 ,+15.350 ,+5.9460 ,-99999. ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+5.2    ,+11.648 ,+2.0544 ,+410.88,+.44779 ,+7.1647 ,+15.350 ,+5.9469 ,+140.69 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+6.2    ,+11.697 ,+2.0407 ,+408.14,+.40620 ,+6.4993 ,+15.350 ,+5.9460 ,-99999. ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+7.2    ,+11.543 ,+2.0347 ,+406.93,+.42080 ,+6.7328 ,+15.350 ,+5.9460 ,-121.09 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+8.2    ,+11.587 ,+2.0317 ,+406.34,+.43536 ,+6.9657 ,+15.350 ,+5.9469 ,-99999. ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+9.2    ,+11.733 ,+2.0435 ,+408.70,+.43605 ,+6.9768 ,+15.350 ,+5.9460 ,-99999. ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+10.2   ,+11.587 ,+2.0338 ,+406.76,+.43813 ,+7.0100 ,+15.350 ,+5.9452 ,-187.93 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+11.2   ,+11.557 ,+2.0284 ,+405.68,+.44086 ,+7.0538 ,+15.350 ,+5.9460 ,-46.449 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+12.2   ,+11.692 ,+2.0331 ,+406.62,+.43878 ,+7.0205 ,+15.350 ,+5.9635 ,-59.620 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+13.2   ,+11.464 ,+2.0277 ,+405.55,+.43951 ,+7.0322 ,+15.339 ,+5.9342 ,-75.062 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+14.2   ,+11.565 ,+2.0277 ,+405.55,+.44156 ,+7.0649 ,+15.339 ,+5.9342 ,-58.223 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+15.2   ,+11.700 ,+2.0265 ,+405.30,+.44298 ,+7.0877 ,+15.339 ,+5.9167 ,-93.517 ,+0.0000 ,+0.0000
MEAD,NA,NA,NA,+120.0  ,+2022.  ,+195.   ,+1555.  ,+16.2   ,+11.549 ,+2.0244 ,+404.89,+.44298 ,+7.0877 ,+15.339 ,+5.9517 ,-50.126 ,+0.0000 ,+0.0000
