site,plot,treatment,light,X1,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air,X14,X15
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1156.  ,+57.2   ,+11.573 ,+2.0400 ,+408.01,+.47552 ,+7.6084 ,+17.767 ,+12.130 ,+11.056 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1156.  ,+58.2   ,+11.650 ,+2.0428 ,+408.56,+.48245 ,+7.7193 ,+17.777 ,+12.157 ,+11.101 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1156.  ,+59.2   ,+11.587 ,+2.0386 ,+407.73,+.48731 ,+7.7969 ,+17.789 ,+12.152 ,+11.182 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+.2     ,+11.719 ,+2.0362 ,+407.24,+.48731 ,+7.7969 ,+17.789 ,+12.152 ,+11.182 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+1.2    ,+11.810 ,+2.0435 ,+408.70,+.48037 ,+7.6860 ,+17.801 ,+12.147 ,+11.229 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+2.2    ,+11.686 ,+2.0490 ,+409.81,+.47691 ,+7.6305 ,+17.801 ,+12.165 ,+11.229 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+3.2    ,+11.532 ,+2.0470 ,+409.39,+.47691 ,+7.6305 ,+17.804 ,+12.167 ,+11.214 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+4.2    ,+11.757 ,+2.0425 ,+408.49,+.47483 ,+7.5973 ,+17.804 ,+12.184 ,+11.197 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+5.2    ,+11.609 ,+2.0355 ,+407.10,+.48037 ,+7.6860 ,+17.814 ,+12.177 ,+11.241 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+6.2    ,+11.752 ,+2.0352 ,+407.04,+.48453 ,+7.7525 ,+17.816 ,+12.197 ,+11.296 ,+0.0000 ,+0.0000
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+7.2    ,+11.705 ,+2.0317 ,+406.34,+.48592 ,+7.7747 ,+17.816 ,+12.214 ,+11.382 ,-.00343 ,-.18472
WILL,NA,NA,NA,+120.0  ,+2022.  ,+197.   ,+1157.  ,+8.2    ,+11.804 ,+2.0324 ,+406.48,+.48696 ,+7.7914 ,+17.816 ,+12.214 ,+11.452 ,+0.0000 ,+0.0000
