site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+27.2   ,+11.491 ,+1.9932 ,+398.65,+.53340 ,+8.5344 ,+17.816 ,+13.736 ,+20.249 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+28.2   ,+11.529 ,+1.9929 ,+398.58,+.53895 ,+8.6232 ,+17.816 ,+13.632 ,+20.215 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+29.2   ,+11.431 ,+1.9870 ,+397.40,+.53791 ,+8.6065 ,+17.826 ,+13.556 ,+20.207 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+30.2   ,+11.529 ,+1.9804 ,+396.08,+.54137 ,+8.6620 ,+17.816 ,+13.459 ,+20.163 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+31.2   ,+11.540 ,+1.9853 ,+397.05,+.54588 ,+8.7341 ,+17.816 ,+13.373 ,+20.129 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+32.2   ,+11.398 ,+1.9863 ,+397.26,+.55004 ,+8.8006 ,+17.816 ,+13.287 ,+20.095 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+33.2   ,+11.351 ,+1.9811 ,+396.22,+.55524 ,+8.8838 ,+17.816 ,+13.200 ,+20.061 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+34.2   ,+11.343 ,+1.9870 ,+397.40,+.55524 ,+8.8838 ,+17.816 ,+13.114 ,+20.026 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+35.2   ,+11.315 ,+1.9780 ,+395.60,+.55870 ,+8.9393 ,+17.816 ,+13.045 ,+19.992 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+36.2   ,+11.282 ,+1.9867 ,+397.33,+.56217 ,+8.9947 ,+17.816 ,+12.941 ,+19.958 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+37.2   ,+11.285 ,+1.9818 ,+396.36,+.56356 ,+9.0169 ,+17.828 ,+12.884 ,+19.936 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+38.2   ,+11.492 ,+1.9797 ,+395.94,+.56702 ,+9.0723 ,+17.828 ,+12.780 ,+19.902 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+39.2   ,+11.192 ,+1.9770 ,+395.39,+.57430 ,+9.1888 ,+17.828 ,+12.711 ,+19.868 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+40.2   ,+11.189 ,+1.9749 ,+394.97,+.58435 ,+9.3496 ,+17.828 ,+12.642 ,+19.833 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+41.2   ,+11.337 ,+1.9714 ,+394.28,+.58504 ,+9.3607 ,+17.828 ,+12.573 ,+19.799 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+42.2   ,+11.370 ,+1.9783 ,+395.67,+.58643 ,+9.3829 ,+17.840 ,+12.516 ,+19.760 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+43.2   ,+11.403 ,+1.9662 ,+393.24,+.58712 ,+9.3940 ,+17.840 ,+12.412 ,+19.726 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+44.2   ,+11.271 ,+1.9714 ,+394.28,+.59198 ,+9.4716 ,+17.852 ,+12.355 ,+19.704 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+45.2   ,+11.450 ,+1.9728 ,+394.56,+.59856 ,+9.5770 ,+17.852 ,+12.320 ,+19.687 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+46.2   ,+11.475 ,+1.9700 ,+394.00,+.60133 ,+9.6213 ,+17.852 ,+12.251 ,+19.635 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+47.2   ,+11.406 ,+1.9693 ,+393.87,+.60376 ,+9.6602 ,+17.862 ,+12.192 ,+19.593 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+48.2   ,+11.288 ,+1.9679 ,+393.59,+.60861 ,+9.7378 ,+17.865 ,+12.125 ,+19.562 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+49.2   ,+11.447 ,+1.9648 ,+392.96,+.60965 ,+9.7544 ,+17.865 ,+12.056 ,+19.527 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+50.2   ,+11.351 ,+1.9686 ,+393.73,+.61208 ,+9.7933 ,+17.877 ,+12.016 ,+19.505 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+51.2   ,+11.161 ,+1.9572 ,+391.44,+.61624 ,+9.8598 ,+17.877 ,+11.947 ,+19.471 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+52.2   ,+11.249 ,+1.9575 ,+391.51,+.61866 ,+9.8986 ,+17.877 ,+11.895 ,+19.437 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+53.2   ,+11.304 ,+1.9624 ,+392.48,+.62525 ,+10.004 ,+17.889 ,+11.855 ,+19.415 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+54.2   ,+11.348 ,+1.9648 ,+392.96,+.62664 ,+10.026 ,+17.889 ,+11.803 ,+19.380 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+55.2   ,+11.189 ,+1.9548 ,+390.95,+.62802 ,+10.048 ,+17.889 ,+11.769 ,+19.346 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+56.2   ,+11.433 ,+1.9679 ,+393.59,+.63357 ,+10.137 ,+17.901 ,+11.712 ,+19.324 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+57.2   ,+11.414 ,+1.9596 ,+391.92,+.63495 ,+10.159 ,+17.901 ,+11.677 ,+19.290 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+58.2   ,+11.112 ,+1.9568 ,+391.37,+.63773 ,+10.204 ,+17.913 ,+11.620 ,+19.251 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1102.  ,+59.2   ,+11.189 ,+1.9520 ,+390.40,+.63911 ,+10.226 ,+17.913 ,+11.568 ,+19.216 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1103.  ,+.2     ,+11.257 ,+1.9503 ,+390.05,+.64674 ,+10.348 ,+17.925 ,+11.528 ,+19.194 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1103.  ,+1.2    ,+11.236 ,+1.9523 ,+390.47,+.64882 ,+10.381 ,+17.925 ,+11.477 ,+19.177 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1103.  ,+2.2    ,+11.406 ,+1.9499 ,+389.98,+.65506 ,+10.481 ,+17.938 ,+11.436 ,+19.155 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1103.  ,+3.2    ,+11.502 ,+1.9506 ,+390.12,+.65679 ,+10.509 ,+17.938 ,+11.402 ,+19.121 
WILL,NA,NA,NA,+2022.  ,+208.   ,+1103.  ,+4.2    ,+11.464 ,+1.9485 ,+389.71,+.65644 ,+10.503 ,+17.938 ,+11.350 ,+19.086 
