"Plot Title: WILL_13C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547746, SEN S/N: 20547746, LBL: 10_cm)","Host Connected (LGR S/N: 20547746)","Coupler Attached (LGR S/N: 20547746)","Stopped (LGR S/N: 20547746)","End Of File (LGR S/N: 20547746)"
1,06/26/22 12:00:00  PM,12.497,,,,
2,06/26/22 12:30:00  PM,13.365,,,,
3,06/26/22 01:00:00  PM,13.750,,,,
4,06/26/22 01:30:00  PM,13.461,,,,
5,06/26/22 02:00:00  PM,13.654,,,,
6,06/26/22 02:30:00  PM,14.517,,,,
7,06/26/22 03:00:00  PM,14.709,,,,
8,06/26/22 03:30:00  PM,10.748,,,,
9,06/26/22 04:00:00  PM,9.866,,,,
10,06/26/22 04:30:00  PM,8.382,,,,
11,06/26/22 05:00:00  PM,8.779,,,,
12,06/26/22 05:30:00  PM,8.779,,,,
13,06/26/22 06:00:00  PM,8.382,,,,
14,06/26/22 06:30:00  PM,9.176,,,,
15,06/26/22 07:00:00  PM,9.669,,,,
16,06/26/22 07:30:00  PM,9.669,,,,
17,06/26/22 08:00:00  PM,10.259,,,,
18,06/26/22 08:30:00  PM,9.571,,,,
19,06/26/22 09:00:00  PM,7.983,,,,
20,06/26/22 09:30:00  PM,6.775,,,,
21,06/26/22 10:00:00  PM,7.280,,,,
22,06/26/22 10:30:00  PM,8.382,,,,
23,06/26/22 11:00:00  PM,7.079,,,,
24,06/26/22 11:30:00  PM,5.962,,,,
25,06/27/22 12:00:00  AM,7.682,,,,
26,06/27/22 12:30:00  AM,6.471,,,,
27,06/27/22 01:00:00  AM,6.268,,,,
28,06/27/22 01:30:00  AM,6.268,,,,
29,06/27/22 02:00:00  AM,6.877,,,,
30,06/27/22 02:30:00  AM,8.082,,,,
31,06/27/22 03:00:00  AM,8.581,,,,
32,06/27/22 03:30:00  AM,7.682,,,,
33,06/27/22 04:00:00  AM,10.161,,,,
34,06/27/22 04:30:00  AM,10.748,,,,
35,06/27/22 05:00:00  AM,9.472,,,,
36,06/27/22 05:30:00  AM,9.275,,,,
37,06/27/22 06:00:00  AM,10.846,,,,
38,06/27/22 06:30:00  AM,9.965,,,,
39,06/27/22 07:00:00  AM,9.275,,,,
40,06/27/22 07:30:00  AM,10.846,,,,
