"Plot Title: WILL_11C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547764, SEN S/N: 20547764, LBL: 10_cm)","Good Battery (LGR S/N: 20547764)","Coupler Attached (LGR S/N: 20547764)","Host Connected (LGR S/N: 20547764)","Stopped (LGR S/N: 20547764)","End Of File (LGR S/N: 20547764)"
117,06/28/22 10:00:00  PM,12.401,,,,,
118,06/28/22 10:30:00  PM,12.401,,,,,
119,06/28/22 11:00:00  PM,12.110,,,,,
120,06/28/22 11:30:00  PM,12.690,,,,,
121,06/29/22 12:00:00  AM,13.076,,,,,
122,06/29/22 12:30:00  AM,13.365,,,,,
123,06/29/22 01:00:00  AM,13.942,,,,,
124,06/29/22 01:30:00  AM,13.461,,,,,
125,06/29/22 02:00:00  AM,13.076,,,,,
126,06/29/22 02:30:00  AM,13.942,,,,,
127,06/29/22 03:00:00  AM,15.569,,,,,
128,06/29/22 03:30:00  AM,15.569,,,,,
129,06/29/22 04:00:00  AM,16.903,,,,,
130,06/29/22 04:30:00  AM,16.141,,,,,
131,06/29/22 05:00:00  AM,17.760,,,,,
132,06/29/22 05:30:00  AM,17.379,,,,,
133,06/29/22 06:00:00  AM,18.616,,,,,
134,06/29/22 06:30:00  AM,18.331,,,,,
135,06/29/22 07:00:00  AM,19.377,,,,,
136,06/29/22 07:30:00  AM,17.760,,,,,
137,06/29/22 08:00:00  AM,17.284,,,,,
138,06/29/22 08:30:00  AM,17.189,,,,,
139,06/29/22 09:00:00  AM,18.521,,,,,
140,06/29/22 09:30:00  AM,12.980,,,,,
141,06/29/22 10:00:00  AM,13.365,,,,,
142,06/29/22 10:30:00  AM,15.569,,,,,
143,06/29/22 11:00:00  AM,15.569,,,,,
144,06/29/22 11:30:00  AM,15.473,,,,,
145,06/29/22 12:00:00  PM,16.427,,,,,
146,06/29/22 12:30:00  PM,15.951,,,,,
147,06/29/22 01:00:00  PM,17.379,,,,,
148,06/29/22 01:30:00  PM,18.901,,,,,
149,06/29/22 02:00:00  PM,17.760,,,,,
150,06/29/22 02:30:00  PM,17.379,,,,,
151,06/29/22 03:00:00  PM,18.616,,,,,
152,06/29/22 03:30:00  PM,17.189,,,,,
153,06/29/22 04:00:00  PM,15.664,,,,,
154,06/29/22 04:30:00  PM,15.187,,,,,
155,06/29/22 05:00:00  PM,15.473,,,,,
156,06/29/22 05:30:00  PM,14.996,,,,,
157,06/29/22 06:00:00  PM,13.365,,,,,
158,06/29/22 06:30:00  PM,13.654,,,,,
159,06/29/22 07:00:00  PM,14.900,,,,,
160,06/29/22 07:30:00  PM,13.654,,,,,
161,06/29/22 08:00:00  PM,14.038,,,,,
162,06/29/22 08:30:00  PM,12.304,,,,,
163,06/29/22 09:00:00  PM,11.431,,,,,
164,06/29/22 09:30:00  PM,12.690,,,,,
165,06/29/22 10:00:00  PM,12.110,,,,,
166,06/29/22 10:30:00  PM,12.013,,,,,
167,06/29/22 11:00:00  PM,11.528,,,,,
168,06/29/22 11:30:00  PM,11.916,,,,,
169,06/30/22 12:00:00  AM,11.431,,,,,
170,06/30/22 12:30:00  AM,13.076,,,,,
171,06/30/22 01:00:00  AM,11.722,,,,,
172,06/30/22 01:30:00  AM,12.497,,,,,
173,06/30/22 02:00:00  AM,11.819,,,,,
174,06/30/22 02:30:00  AM,14.134,,,,,
175,06/30/22 03:00:00  AM,12.207,,,,,
176,06/30/22 03:30:00  AM,11.236,,,,,
177,06/30/22 04:00:00  AM,11.334,,,,,
178,06/30/22 04:30:00  AM,12.304,,,,,
179,06/30/22 05:00:00  AM,13.173,,,,,
180,06/30/22 05:30:00  AM,14.996,,,,,
181,06/30/22 06:00:00  AM,15.187,,,,,
182,06/30/22 06:30:00  AM,15.282,,,,,
183,06/30/22 07:00:00  AM,15.664,,,,,
184,06/30/22 07:30:00  AM,16.903,,,,,
185,06/30/22 08:00:00  AM,16.046,,,,,
186,06/30/22 08:30:00  AM,15.664,,,,,
187,06/30/22 09:00:00  AM,16.046,,,,,
188,06/30/22 09:30:00  AM,16.427,,,,,
189,06/30/22 10:00:00  AM,15.664,,,,,
190,06/30/22 10:30:00  AM,16.713,,,,,
191,06/30/22 11:00:00  AM,16.999,,,,,
192,06/30/22 11:30:00  AM,17.189,,,,,
193,06/30/22 12:00:00  PM,18.901,,,,,
194,06/30/22 12:30:00  PM,17.189,,,,,
195,06/30/22 01:00:00  PM,15.760,,,,,
196,06/30/22 01:30:00  PM,15.473,,,,,
197,06/30/22 02:00:00  PM,16.523,,,,,
198,06/30/22 02:30:00  PM,15.951,,,,,
199,06/30/22 03:00:00  PM,13.750,,,,,
200,06/30/22 03:30:00  PM,13.750,,,,,
201,06/30/22 04:00:00  PM,14.134,,,,,
202,06/30/22 04:30:00  PM,13.942,,,,,
203,06/30/22 05:00:00  PM,12.401,,,,,
204,06/30/22 05:30:00  PM,12.013,,,,,
205,06/30/22 06:00:00  PM,11.722,,,,,
206,06/30/22 06:30:00  PM,12.110,,,,,
207,06/30/22 07:00:00  PM,11.139,,,,,
208,06/30/22 07:30:00  PM,11.236,,,,,
209,06/30/22 08:00:00  PM,11.431,,,,,
210,06/30/22 08:30:00  PM,10.944,,,,,
211,06/30/22 09:00:00  PM,6.166,,,,,
212,06/30/22 09:30:00  PM,7.280,,,,,
213,06/30/22 10:00:00  PM,10.846,,,,,
214,06/30/22 10:30:00  PM,7.179,,,,,
215,06/30/22 11:00:00  PM,5.860,,,,,
216,06/30/22 11:30:00  PM,6.064,,,,,
217,07/01/22 12:00:00  AM,5.450,,,,,
218,07/01/22 12:30:00  AM,5.141,,,,,
219,07/01/22 01:00:00  AM,4.623,,,,,
220,07/01/22 01:30:00  AM,4.623,,,,,
221,07/01/22 02:00:00  AM,5.141,,,,,
222,07/01/22 02:30:00  AM,5.450,,,,,
223,07/01/22 03:00:00  AM,7.582,,,,,
224,07/01/22 03:30:00  AM,7.983,,,,,
225,07/01/22 04:00:00  AM,7.381,,,,,
226,07/01/22 04:30:00  AM,6.064,,,,,
227,07/01/22 05:00:00  AM,6.370,,,,,
228,07/01/22 05:30:00  AM,6.674,,,,,
229,07/01/22 06:00:00  AM,6.370,,,,,
230,07/01/22 06:30:00  AM,5.450,,,,,
231,07/01/22 07:00:00  AM,8.382,,,,,
232,07/01/22 07:30:00  AM,8.581,,,,,
233,07/01/22 08:00:00  AM,8.779,,,,,
234,07/01/22 08:30:00  AM,8.879,,,,,
235,07/01/22 09:00:00  AM,8.978,,,,,
236,07/01/22 09:30:00  AM,13.173,,,,,
237,07/01/22 10:00:00  AM,13.750,,,,,
238,07/01/22 10:30:00  AM,15.378,,,,,
239,07/01/22 11:00:00  AM,11.625,,,,,
240,07/01/22 11:30:00  AM,10.063,,,,,
241,07/01/22 12:00:00  PM,9.965,,,,,
242,07/01/22 12:30:00  PM,10.259,,,,,
243,07/01/22 01:00:00  PM,12.690,,,,,
