"Plot Title: WILL_14C_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547762, SEN S/N: 20547762, LBL: 10_cm)","Host Connected (LGR S/N: 20547762)","Coupler Attached (LGR S/N: 20547762)","Stopped (LGR S/N: 20547762)","End Of File (LGR S/N: 20547762)"
122,06/29/22 12:30:00  AM,10.259,,,,
123,06/29/22 01:00:00  AM,10.259,,,,
124,06/29/22 01:30:00  AM,9.275,,,,
125,06/29/22 02:00:00  AM,9.965,,,,
126,06/29/22 02:30:00  AM,10.553,,,,
127,06/29/22 03:00:00  AM,11.236,,,,
128,06/29/22 03:30:00  AM,11.528,,,,
129,06/29/22 04:00:00  AM,12.304,,,,
130,06/29/22 04:30:00  AM,12.497,,,,
131,06/29/22 05:00:00  AM,14.134,,,,
132,06/29/22 05:30:00  AM,14.230,,,,
133,06/29/22 06:00:00  AM,16.141,,,,
134,06/29/22 06:30:00  AM,16.523,,,,
135,06/29/22 07:00:00  AM,17.189,,,,
136,06/29/22 07:30:00  AM,17.189,,,,
137,06/29/22 08:00:00  AM,16.523,,,,
138,06/29/22 08:30:00  AM,16.332,,,,
139,06/29/22 09:00:00  AM,17.570,,,,
140,06/29/22 09:30:00  AM,13.461,,,,
141,06/29/22 10:00:00  AM,14.613,,,,
142,06/29/22 10:30:00  AM,15.091,,,,
143,06/29/22 11:00:00  AM,15.378,,,,
144,06/29/22 11:30:00  AM,15.187,,,,
145,06/29/22 12:00:00  PM,16.046,,,,
146,06/29/22 12:30:00  PM,16.427,,,,
147,06/29/22 01:00:00  PM,17.475,,,,
148,06/29/22 01:30:00  PM,17.760,,,,
149,06/29/22 02:00:00  PM,17.570,,,,
150,06/29/22 02:30:00  PM,18.806,,,,
151,06/29/22 03:00:00  PM,18.901,,,,
152,06/29/22 03:30:00  PM,17.094,,,,
153,06/29/22 04:00:00  PM,16.237,,,,
154,06/29/22 04:30:00  PM,15.664,,,,
155,06/29/22 05:00:00  PM,16.141,,,,
156,06/29/22 05:30:00  PM,14.709,,,,
157,06/29/22 06:00:00  PM,13.750,,,,
158,06/29/22 06:30:00  PM,14.421,,,,
