"Plot Title: WILL_12T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547753, SEN S/N: 20547753, LBL: 10_cm)","Coupler Attached (LGR S/N: 20547753)","Host Connected (LGR S/N: 20547753)","Stopped (LGR S/N: 20547753)","End Of File (LGR S/N: 20547753)"
122,06/29/22 12:30:00  AM,15.091,,,,
123,06/29/22 01:00:00  AM,14.709,,,,
124,06/29/22 01:30:00  AM,14.134,,,,
125,06/29/22 02:00:00  AM,13.173,,,,
126,06/29/22 02:30:00  AM,14.709,,,,
127,06/29/22 03:00:00  AM,15.760,,,,
128,06/29/22 03:30:00  AM,17.094,,,,
129,06/29/22 04:00:00  AM,19.092,,,,
130,06/29/22 04:30:00  AM,17.379,,,,
131,06/29/22 05:00:00  AM,20.901,,,,
132,06/29/22 05:30:00  AM,18.331,,,,
133,06/29/22 06:00:00  AM,21.091,,,,
134,06/29/22 06:30:00  AM,22.046,,,,
135,06/29/22 07:00:00  AM,19.758,,,,
136,06/29/22 07:30:00  AM,20.996,,,,
137,06/29/22 08:00:00  AM,18.616,,,,
138,06/29/22 08:30:00  AM,16.999,,,,
139,06/29/22 09:00:00  AM,18.616,,,,
140,06/29/22 09:30:00  AM,18.140,,,,
141,06/29/22 10:00:00  AM,18.711,,,,
142,06/29/22 10:30:00  AM,14.804,,,,
143,06/29/22 11:00:00  AM,13.750,,,,
144,06/29/22 11:30:00  AM,14.517,,,,
145,06/29/22 12:00:00  PM,15.855,,,,
146,06/29/22 12:30:00  PM,16.332,,,,
147,06/29/22 01:00:00  PM,17.855,,,,
148,06/29/22 01:30:00  PM,17.855,,,,
149,06/29/22 02:00:00  PM,17.760,,,,
150,06/29/22 02:30:00  PM,20.901,,,,
151,06/29/22 03:00:00  PM,19.662,,,,
152,06/29/22 03:30:00  PM,18.045,,,,
153,06/29/22 04:00:00  PM,16.999,,,,
154,06/29/22 04:30:00  PM,16.046,,,,
155,06/29/22 05:00:00  PM,16.713,,,,
156,06/29/22 05:30:00  PM,14.804,,,,
157,06/29/22 06:00:00  PM,13.654,,,,
158,06/29/22 06:30:00  PM,14.134,,,,
159,06/29/22 07:00:00  PM,15.091,,,,
160,06/29/22 07:30:00  PM,15.091,,,,
161,06/29/22 08:00:00  PM,16.808,,,,
162,06/29/22 08:30:00  PM,16.999,,,,
163,06/29/22 09:00:00  PM,14.900,,,,
164,06/29/22 09:30:00  PM,17.284,,,,
165,06/29/22 10:00:00  PM,18.045,,,,
166,06/29/22 10:30:00  PM,16.237,,,,
167,06/29/22 11:00:00  PM,15.473,,,,
168,06/29/22 11:30:00  PM,15.473,,,,
169,06/30/22 12:00:00  AM,17.475,,,,
170,06/30/22 12:30:00  AM,17.855,,,,
171,06/30/22 01:00:00  AM,17.379,,,,
172,06/30/22 01:30:00  AM,18.045,,,,
173,06/30/22 02:00:00  AM,15.091,,,,
174,06/30/22 02:30:00  AM,17.475,,,,
175,06/30/22 03:00:00  AM,17.284,,,,
176,06/30/22 03:30:00  AM,15.664,,,,
