"Plot Title: MEAD_14T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547759, SEN S/N: 20547759, LBL: 10cm_air_CO2)","Coupler Attached (LGR S/N: 20547759)","Host Connected (LGR S/N: 20547759)","Stopped (LGR S/N: 20547759)","End Of File (LGR S/N: 20547759)"
122,07/03/22 02:30:00  AM,5.244,,,,
123,07/03/22 03:00:00  AM,4.415,,,,
124,07/03/22 03:30:00  AM,4.102,,,,
125,07/03/22 04:00:00  AM,4.727,,,,
126,07/03/22 04:30:00  AM,5.141,,,,
127,07/03/22 05:00:00  AM,4.519,,,,
128,07/03/22 05:30:00  AM,4.623,,,,
129,07/03/22 06:00:00  AM,5.860,,,,
130,07/03/22 06:30:00  AM,6.370,,,,
131,07/03/22 07:00:00  AM,8.082,,,,
132,07/03/22 07:30:00  AM,9.176,,,,
133,07/03/22 08:00:00  AM,8.680,,,,
134,07/03/22 08:30:00  AM,9.176,,,,
135,07/03/22 09:00:00  AM,9.472,,,,
136,07/03/22 09:30:00  AM,7.782,,,,
137,07/03/22 10:00:00  AM,8.680,,,,
138,07/03/22 10:30:00  AM,9.472,,,,
139,07/03/22 11:00:00  AM,9.472,,,,
140,07/03/22 11:30:00  AM,9.373,,,,
141,07/03/22 12:00:00  PM,8.978,,,,
142,07/03/22 12:30:00  PM,9.571,,,,
143,07/03/22 01:00:00  PM,9.965,,,,
144,07/03/22 01:30:00  PM,9.472,,,,
145,07/03/22 02:00:00  PM,8.978,,,,
146,07/03/22 02:30:00  PM,7.582,,,,
147,07/03/22 03:00:00  PM,7.381,,,,
148,07/03/22 03:30:00  PM,7.782,,,,
149,07/03/22 04:00:00  PM,6.471,,,,
150,07/03/22 04:30:00  PM,6.064,,,,
151,07/03/22 05:00:00  PM,6.370,,,,
152,07/03/22 05:30:00  PM,6.064,,,,
153,07/03/22 06:00:00  PM,5.757,,,,
154,07/03/22 06:30:00  PM,5.037,,,,
155,07/03/22 07:00:00  PM,5.962,,,,
156,07/03/22 07:30:00  PM,5.552,,,,
157,07/03/22 08:00:00  PM,4.831,,,,
158,07/03/22 08:30:00  PM,4.727,,,,
159,07/03/22 09:00:00  PM,4.519,,,,
160,07/03/22 09:30:00  PM,3.788,,,,
161,07/03/22 10:00:00  PM,3.367,,,,
162,07/03/22 10:30:00  PM,3.049,,,,
163,07/03/22 11:00:00  PM,2.943,,,,
164,07/03/22 11:30:00  PM,3.049,,,,
165,07/04/22 12:00:00  AM,3.155,,,,
166,07/04/22 12:30:00  AM,3.155,,,,
167,07/04/22 01:00:00  AM,3.578,,,,
168,07/04/22 01:30:00  AM,3.788,,,,
169,07/04/22 02:00:00  AM,4.415,,,,
170,07/04/22 02:30:00  AM,5.655,,,,
171,07/04/22 03:00:00  AM,5.244,,,,
172,07/04/22 03:30:00  AM,5.037,,,,
173,07/04/22 04:00:00  AM,4.727,,,,
174,07/04/22 04:30:00  AM,5.141,,,,
175,07/04/22 05:00:00  AM,5.655,,,,
176,07/04/22 05:30:00  AM,5.860,,,,
177,07/04/22 06:00:00  AM,5.860,,,,
178,07/04/22 06:30:00  AM,6.268,,,,
179,07/04/22 07:00:00  AM,7.381,,,,
180,07/04/22 07:30:00  AM,8.481,,,,
181,07/04/22 08:00:00  AM,9.472,,,,
182,07/04/22 08:30:00  AM,10.846,,,,
183,07/04/22 09:00:00  AM,12.110,,,,
184,07/04/22 09:30:00  AM,12.980,,,,
185,07/04/22 10:00:00  AM,12.883,,,,
186,07/04/22 10:30:00  AM,17.950,,,,
187,07/04/22 11:00:00  AM,17.855,,,,
188,07/04/22 11:30:00  AM,20.043,,,,
189,07/04/22 12:00:00  PM,20.996,,,,
190,07/04/22 12:30:00  PM,21.951,,,,
191,07/04/22 01:00:00  PM,21.187,,,,
192,07/04/22 01:30:00  PM,21.282,,,,
193,07/04/22 02:00:00  PM,20.805,,,,
194,07/04/22 02:30:00  PM,20.996,,,,
195,07/04/22 03:00:00  PM,20.424,,,,
196,07/04/22 03:30:00  PM,18.806,,,,
197,07/04/22 04:00:00  PM,16.999,,,,
198,07/04/22 04:30:00  PM,15.664,,,,
199,07/04/22 05:00:00  PM,14.134,,,,
200,07/04/22 05:30:00  PM,13.942,,,,
201,07/04/22 06:00:00  PM,13.942,,,,
202,07/04/22 06:30:00  PM,13.846,,,,
203,07/04/22 07:00:00  PM,12.594,,,,
204,07/04/22 07:30:00  PM,10.455,,,,
205,07/04/22 08:00:00  PM,7.682,,,,
206,07/04/22 08:30:00  PM,7.682,,,,
207,07/04/22 09:00:00  PM,9.866,,,,
208,07/04/22 09:30:00  PM,7.983,,,,
209,07/04/22 10:00:00  PM,8.182,,,,
210,07/04/22 10:30:00  PM,6.674,,,,
211,07/04/22 11:00:00  PM,7.481,,,,
212,07/04/22 11:30:00  PM,9.965,,,,
213,07/05/22 12:00:00  AM,9.571,,,,
214,07/05/22 12:30:00  AM,10.259,,,,
215,07/05/22 01:00:00  AM,9.176,,,,
216,07/05/22 01:30:00  AM,8.082,,,,
217,07/05/22 02:00:00  AM,9.373,,,,
218,07/05/22 02:30:00  AM,10.259,,,,
219,07/05/22 03:00:00  AM,12.013,,,,
220,07/05/22 03:30:00  AM,11.819,,,,
221,07/05/22 04:00:00  AM,13.750,,,,
222,07/05/22 04:30:00  AM,9.571,,,,
223,07/05/22 05:00:00  AM,9.373,,,,
224,07/05/22 05:30:00  AM,12.497,,,,
225,07/05/22 06:00:00  AM,13.076,,,,
226,07/05/22 06:30:00  AM,12.980,,,,
227,07/05/22 07:00:00  AM,13.750,,,,
228,07/05/22 07:30:00  AM,14.038,,,,
229,07/05/22 08:00:00  AM,16.618,,,,
230,07/05/22 08:30:00  AM,16.427,,,,
231,07/05/22 09:00:00  AM,16.046,,,,
232,07/05/22 09:30:00  AM,17.665,,,,
233,07/05/22 10:00:00  AM,18.521,,,,
234,07/05/22 10:30:00  AM,20.043,,,,
235,07/05/22 11:00:00  AM,21.473,,,,
236,07/05/22 11:30:00  AM,22.429,,,,
237,07/05/22 12:00:00  PM,20.996,,,,
238,07/05/22 12:30:00  PM,23.581,,,,
239,07/05/22 01:00:00  PM,23.004,,,,
240,07/05/22 01:30:00  PM,21.187,,,,
241,07/05/22 02:00:00  PM,23.100,,,,
242,07/05/22 02:30:00  PM,22.333,,,,
243,07/05/22 03:00:00  PM,23.100,,,,
244,07/05/22 03:30:00  PM,22.238,,,,
245,07/05/22 04:00:00  PM,14.613,,,,
246,07/05/22 04:30:00  PM,15.664,,,,
247,07/05/22 05:00:00  PM,14.613,,,,
248,07/05/22 05:30:00  PM,13.173,,,,
249,07/05/22 06:00:00  PM,13.365,,,,
250,07/05/22 06:30:00  PM,11.236,,,,
251,07/05/22 07:00:00  PM,9.768,,,,
252,07/05/22 07:30:00  PM,7.882,,,,
253,07/05/22 08:00:00  PM,7.582,,,,
254,07/05/22 08:30:00  PM,6.775,,,,
255,07/05/22 09:00:00  PM,6.471,,,,
256,07/05/22 09:30:00  PM,6.166,,,,
257,07/05/22 10:00:00  PM,5.552,,,,
258,07/05/22 10:30:00  PM,5.141,,,,
259,07/05/22 11:00:00  PM,6.573,,,,
260,07/05/22 11:30:00  PM,5.347,,,,
261,07/06/22 12:00:00  AM,5.655,,,,
262,07/06/22 12:30:00  AM,5.655,,,,
263,07/06/22 01:00:00  AM,5.962,,,,
264,07/06/22 01:30:00  AM,6.775,,,,
265,07/06/22 02:00:00  AM,7.079,,,,
266,07/06/22 02:30:00  AM,6.674,,,,
267,07/06/22 03:00:00  AM,7.079,,,,
268,07/06/22 03:30:00  AM,7.682,,,,
269,07/06/22 04:00:00  AM,7.481,,,,
270,07/06/22 04:30:00  AM,7.381,,,,
271,07/06/22 05:00:00  AM,7.582,,,,
272,07/06/22 05:30:00  AM,7.179,,,,
273,07/06/22 06:00:00  AM,5.450,,,,
274,07/06/22 06:30:00  AM,4.623,,,,
275,07/06/22 07:00:00  AM,4.102,,,,
276,07/06/22 07:30:00  AM,4.207,,,,
277,07/06/22 08:00:00  AM,5.141,,,,
278,07/06/22 08:30:00  AM,6.978,,,,
279,07/06/22 09:00:00  AM,6.268,,,,
280,07/06/22 09:30:00  AM,7.179,,,,
281,07/06/22 10:00:00  AM,8.581,,,,
282,07/06/22 10:30:00  AM,8.581,,,,
283,07/06/22 11:00:00  AM,9.866,,,,
284,07/06/22 11:30:00  AM,9.373,,,,
285,07/06/22 12:00:00  PM,9.176,,,,
286,07/06/22 12:30:00  PM,8.978,,,,
287,07/06/22 01:00:00  PM,8.082,,,,
288,07/06/22 01:30:00  PM,7.682,,,,
289,07/06/22 02:00:00  PM,8.680,,,,
290,07/06/22 02:30:00  PM,9.965,,,,
291,07/06/22 03:00:00  PM,10.651,,,,
292,07/06/22 03:30:00  PM,11.722,,,,
293,07/06/22 04:00:00  PM,11.041,,,,
294,07/06/22 04:30:00  PM,9.965,,,,
295,07/06/22 05:00:00  PM,8.879,,,,
296,07/06/22 05:30:00  PM,8.978,,,,
297,07/06/22 06:00:00  PM,9.275,,,,
298,07/06/22 06:30:00  PM,8.581,,,,
299,07/06/22 07:00:00  PM,8.879,,,,
300,07/06/22 07:30:00  PM,9.176,,,,
301,07/06/22 08:00:00  PM,8.879,,,,
302,07/06/22 08:30:00  PM,8.680,,,,
303,07/06/22 09:00:00  PM,7.079,,,,
304,07/06/22 09:30:00  PM,6.573,,,,
305,07/06/22 10:00:00  PM,6.064,,,,
306,07/06/22 10:30:00  PM,5.860,,,,
307,07/06/22 11:00:00  PM,6.064,,,,
308,07/06/22 11:30:00  PM,5.757,,,,
309,07/07/22 12:00:00  AM,5.757,,,,
310,07/07/22 12:30:00  AM,5.552,,,,
311,07/07/22 01:00:00  AM,5.347,,,,
312,07/07/22 01:30:00  AM,5.757,,,,
313,07/07/22 02:00:00  AM,5.757,,,,
314,07/07/22 02:30:00  AM,6.978,,,,
315,07/07/22 03:00:00  AM,9.275,,,,
316,07/07/22 03:30:00  AM,11.334,,,,
317,07/07/22 04:00:00  AM,13.846,,,,
318,07/07/22 04:30:00  AM,13.654,,,,
319,07/07/22 05:00:00  AM,10.748,,,,
320,07/07/22 05:30:00  AM,11.819,,,,
321,07/07/22 06:00:00  AM,12.594,,,,
322,07/07/22 06:30:00  AM,13.076,,,,
323,07/07/22 07:00:00  AM,13.173,,,,
324,07/07/22 07:30:00  AM,14.613,,,,
325,07/07/22 08:00:00  AM,15.951,,,,
326,07/07/22 08:30:00  AM,16.808,,,,
327,07/07/22 09:00:00  AM,16.427,,,,
328,07/07/22 09:30:00  AM,17.855,,,,
329,07/07/22 10:00:00  AM,17.379,,,,
330,07/07/22 10:30:00  AM,18.616,,,,
331,07/07/22 11:00:00  AM,21.569,,,,
332,07/07/22 11:30:00  AM,21.282,,,,
333,07/07/22 12:00:00  PM,22.621,,,,
334,07/07/22 12:30:00  PM,24.448,,,,
335,07/07/22 01:00:00  PM,24.931,,,,
336,07/07/22 01:30:00  PM,24.255,,,,
337,07/07/22 02:00:00  PM,23.677,,,,
338,07/07/22 02:30:00  PM,23.966,,,,
339,07/07/22 03:00:00  PM,22.046,,,,
340,07/07/22 03:30:00  PM,19.758,,,,
341,07/07/22 04:00:00  PM,19.853,,,,
342,07/07/22 04:30:00  PM,19.187,,,,
343,07/07/22 05:00:00  PM,17.189,,,,
344,07/07/22 05:30:00  PM,16.903,,,,
345,07/07/22 06:00:00  PM,16.332,,,,
346,07/07/22 06:30:00  PM,16.618,,,,
347,07/07/22 07:00:00  PM,13.461,,,,
348,07/07/22 07:30:00  PM,14.517,,,,
349,07/07/22 08:00:00  PM,13.942,,,,
350,07/07/22 08:30:00  PM,14.230,,,,
351,07/07/22 09:00:00  PM,13.558,,,,
352,07/07/22 09:30:00  PM,14.230,,,,
353,07/07/22 10:00:00  PM,12.013,,,,
354,07/07/22 10:30:00  PM,11.139,,,,
355,07/07/22 11:00:00  PM,10.259,,,,
356,07/07/22 11:30:00  PM,11.528,,,,
357,07/08/22 12:00:00  AM,9.768,,,,
358,07/08/22 12:30:00  AM,10.748,,,,
359,07/08/22 01:00:00  AM,11.528,,,,
360,07/08/22 01:30:00  AM,11.139,,,,
361,07/08/22 02:00:00  AM,12.207,,,,
362,07/08/22 02:30:00  AM,11.139,,,,
363,07/08/22 03:00:00  AM,11.334,,,,
364,07/08/22 03:30:00  AM,10.455,,,,
365,07/08/22 04:00:00  AM,10.553,,,,
366,07/08/22 04:30:00  AM,11.916,,,,
367,07/08/22 05:00:00  AM,12.401,,,,
368,07/08/22 05:30:00  AM,12.497,,,,
369,07/08/22 06:00:00  AM,15.664,,,,
370,07/08/22 06:30:00  AM,12.497,,,,
371,07/08/22 07:00:00  AM,17.284,,,,
372,07/08/22 07:30:00  AM,14.038,,,,
373,07/08/22 08:00:00  AM,17.570,,,,
374,07/08/22 08:30:00  AM,16.427,,,,
375,07/08/22 09:00:00  AM,18.996,,,,
376,07/08/22 09:30:00  AM,16.808,,,,
