"Plot Title: MEAD_4C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10337436, SEN S/N: 10337436)","Good Battery (LGR S/N: 10337436)","Coupler Attached (LGR S/N: 10337436)","Host Connected (LGR S/N: 10337436)","Stopped (LGR S/N: 10337436)","End Of File (LGR S/N: 10337436)"
117,07/01/22 07:00:00  PM,7.983,,,,,
118,07/01/22 07:15:00  PM,7.782,,,,,
119,07/01/22 07:30:00  PM,7.280,,,,,
120,07/01/22 07:45:00  PM,7.179,,,,,
121,07/01/22 08:00:00  PM,6.877,,,,,
122,07/01/22 08:15:00  PM,6.471,,,,,
123,07/01/22 08:30:00  PM,5.962,,,,,
124,07/01/22 08:45:00  PM,5.962,,,,,
125,07/01/22 09:00:00  PM,6.166,,,,,
126,07/01/22 09:15:00  PM,6.268,,,,,
127,07/01/22 09:30:00  PM,5.962,,,,,
128,07/01/22 09:45:00  PM,6.064,,,,,
129,07/01/22 10:00:00  PM,6.166,,,,,
130,07/01/22 10:15:00  PM,5.757,,,,,
131,07/01/22 10:30:00  PM,5.450,,,,,
132,07/01/22 10:45:00  PM,5.552,,,,,
133,07/01/22 11:00:00  PM,5.347,,,,,
134,07/01/22 11:15:00  PM,5.347,,,,,
135,07/01/22 11:30:00  PM,5.037,,,,,
136,07/01/22 11:45:00  PM,4.831,,,,,
137,07/02/22 12:00:00  AM,5.450,,,,,
138,07/02/22 12:15:00  AM,6.064,,,,,
139,07/02/22 12:30:00  AM,6.573,,,,,
140,07/02/22 12:45:00  AM,6.370,,,,,
141,07/02/22 01:00:00  AM,5.037,,,,,
142,07/02/22 01:15:00  AM,4.727,,,,,
143,07/02/22 01:30:00  AM,5.037,,,,,
144,07/02/22 01:45:00  AM,5.141,,,,,
145,07/02/22 02:00:00  AM,4.934,,,,,
146,07/02/22 02:15:00  AM,4.727,,,,,
147,07/02/22 02:30:00  AM,4.519,,,,,
148,07/02/22 02:45:00  AM,4.519,,,,,
149,07/02/22 03:00:00  AM,5.244,,,,,
150,07/02/22 03:15:00  AM,5.962,,,,,
151,07/02/22 03:30:00  AM,5.860,,,,,
152,07/02/22 03:45:00  AM,6.166,,,,,
153,07/02/22 04:00:00  AM,6.471,,,,,
154,07/02/22 04:15:00  AM,7.079,,,,,
155,07/02/22 04:30:00  AM,7.381,,,,,
156,07/02/22 04:45:00  AM,7.280,,,,,
157,07/02/22 05:00:00  AM,7.481,,,,,
158,07/02/22 05:15:00  AM,7.782,,,,,
159,07/02/22 05:30:00  AM,7.983,,,,,
160,07/02/22 05:45:00  AM,7.983,,,,,
161,07/02/22 06:00:00  AM,7.983,,,,,
