file,site,plot,treatment,doy,Av_R,Av_G,Av_B,Index,Index2,Index3,GEI
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_11_183.tif,DRYAS,11,C,183,19299.503648,17201.858049632654,14332.136580897959,0.33839610949809074,0.37966113491250886,0.2819427555894003,0.015188328494272318
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_11_196.tif,DRYAS,11,C,196,23925.151512163266,22452.00969534694,18480.685713632654,0.34617260302589326,0.36888599680548384,0.2849414001686229,0.038517809077679765
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_11_207.tif,DRYAS,11,C,207,24549.754414367348,23110.575661061226,18913.218877714287,0.3471435130689424,0.36876138947686943,0.28409509745418815,0.041430539206827266
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_12_183.tif,DRYAS,12,C,183,21831.655692408163,19977.635640816326,17086.594143020408,0.339202568723992,0.37068218799789937,0.2901152432781085,0.017607706171976156
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_12_196.tif,DRYAS,12,C,196,23005.54123102041,21723.318670040815,18124.244889469388,0.34562045490732274,0.36602076075144663,0.28835878434123063,0.036861364721968215
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_12_207.tif,DRYAS,12,C,207,21117.994016,20251.07873044898,17297.214717387757,0.3451910732025137,0.3599681338113925,0.2948407929860938,0.03557321960754112
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_13_183.tif,DRYAS,13,C,183,18678.037544163264,16406.38646987755,13141.842837224489,0.3401960703381108,0.38730009108455826,0.272503838577331,0.02058821101433228
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_13_196.tif,DRYAS,13,C,196,22147.315821061224,20308.267288489795,16543.28387591837,0.34421453031447946,0.3753854430207245,0.280400026664796,0.03264359094343838
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_13_207.tif,DRYAS,13,C,207,22990.348641306122,21321.98275787755,17222.174862040818,0.34650449078704054,0.3736171790134817,0.2798783301994777,0.03951347236112168
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_14_183.tif,DRYAS,14,C,183,22916.944150857144,20223.396721632653,16615.636614530613,0.33843303334842734,0.38350881559648037,0.27805815105509224,0.01529910004528201
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_14_196.tif,DRYAS,14,C,196,22067.157063183673,20111.965848816326,15785.369488653061,0.34697044718000036,0.3807012905530947,0.2723282622669049,0.04091134154000109
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_14_207.tif,DRYAS,14,C,207,23609.493522612243,21773.36677289796,16973.238241959185,0.34917782355826,0.37862364830964285,0.2721985281320972,0.047533470674779865
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_11_183.tif,DRYAS,11,T,183,21987.043177142856,19252.44537730612,14861.257160489797,0.34317628280972184,0.3919206936903165,0.2649030234999616,0.02952884842916559
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_11_196.tif,DRYAS,11,T,196,25172.006332081633,23331.26525420408,18472.24528587755,0.3483551354853545,0.3758389260381171,0.2758059384765284,0.045065406456063495
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_11_207.tif,DRYAS,11,T,207,28458.50581910204,26526.45260734694,20145.75584587755,0.35307068306573564,0.3787865734371752,0.26814274349708916,0.059212049197206906
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_12_183.tif,DRYAS,12,T,183,22524.74858710204,19891.820605714285,16053.949271183674,0.3402025692308779,0.3852325783799987,0.27456485238912337,0.020607707692633648
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_12_196.tif,DRYAS,12,T,196,25077.458643918366,23085.779347265307,18581.953051428573,0.3458792908769504,0.37571933276673253,0.278401376356317,0.03763787263085128
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_12_207.tif,DRYAS,12,T,207,26208.956221714285,24093.988921142856,18813.784379102042,0.34859850990906505,0.3791984430251058,0.2722030470658292,0.04579552972719503
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_13_183.tif,DRYAS,13,T,183,23844.049469714286,21788.497795591837,18377.171371428572,0.34039358803067105,0.37250670644301764,0.2870997055263113,0.021180764092013082
