"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
102,07/09/22 10:50:30  AM,19.948,0.0,,,,
103,07/09/22 10:51:00  AM,20.043,0.0,,,,
104,07/09/22 10:51:30  AM,20.138,0.0,,,,
105,07/09/22 10:52:00  AM,20.519,85422.8,,,,
106,07/09/22 10:52:30  AM,20.519,1808.3,,,,
107,07/09/22 10:53:00  AM,20.519,2066.7,,,,
108,07/09/22 10:53:30  AM,20.615,5511.1,,,,
109,07/09/22 10:54:00  AM,20.615,1550.0,,,,
110,07/09/22 10:54:30  AM,20.710,2325.0,,,,
111,07/09/22 10:55:00  AM,20.805,1550.0,,,,
112,07/09/22 10:55:30  AM,20.901,1550.0,,,,
113,07/09/22 10:56:00  AM,20.996,1227.1,,,,
114,07/09/22 10:56:30  AM,21.378,57867.0,,,,
115,07/09/22 10:57:00  AM,21.378,52355.9,,,,
116,07/09/22 10:57:30  AM,20.996,55111.5,,,,
117,07/09/22 10:58:00  AM,20.710,52355.9,,,,
118,07/09/22 10:58:30  AM,20.519,5511.1,,,,
119,07/09/22 10:59:00  AM,20.234,1722.2,,,,
120,07/09/22 10:59:30  AM,20.138,1162.5,,,,
121,07/09/22 11:00:00  AM,20.234,1141.0,,,,
122,07/09/22 11:00:30  AM,20.329,1377.8,,,,
123,07/09/22 11:01:00  AM,20.710,57867.0,,,,
124,07/09/22 11:01:30  AM,20.424,49600.3,,,,
125,07/09/22 11:02:00  AM,19.948,42711.4,,,,
126,07/09/22 11:02:30  AM,19.472,39955.8,,,,
127,07/09/22 11:03:00  AM,18.901,3788.9,,,,
128,07/09/22 11:03:30  AM,18.426,1345.5,,,,
129,07/09/22 11:04:00  AM,18.236,0.0,,,,
130,07/09/22 11:04:30  AM,17.950,0.0,,,,
131,07/09/22 11:05:00  AM,17.855,0.0,,,,
132,07/09/22 11:05:30  AM,17.760,0.0,,,,
133,07/09/22 11:06:00  AM,17.760,0.0,,,,
134,07/09/22 11:06:30  AM,17.950,721.2,,,,
135,07/09/22 11:07:00  AM,18.426,1808.3,,,,
136,07/09/22 11:07:30  AM,18.901,4650.0,,,,
137,07/09/22 11:08:00  AM,19.187,1894.5,,,,
138,07/09/22 11:08:30  AM,19.472,1894.5,,,,
139,07/09/22 11:09:00  AM,19.758,2066.7,,,,
140,07/09/22 11:09:30  AM,20.043,2066.7,,,,
141,07/09/22 11:10:00  AM,20.424,6200.0,,,,
142,07/09/22 11:10:30  AM,20.710,2755.6,,,,
143,07/09/22 11:11:00  AM,21.664,63378.2,,,,
144,07/09/22 11:11:30  AM,21.378,57867.0,,,,
145,07/09/22 11:12:00  AM,20.805,66133.8,,,,
146,07/09/22 11:12:30  AM,20.615,71644.9,,,,
147,07/09/22 11:13:00  AM,19.948,344.4,,,,
148,07/09/22 11:13:30  AM,19.758,1636.1,,,,
149,07/09/22 11:14:00  AM,19.948,0.0,,,,
150,07/09/22 11:14:30  AM,19.472,0.0,,,,
151,07/09/22 11:15:00  AM,19.282,0.0,,,,
152,07/09/22 11:15:30  AM,19.092,0.0,,,,
153,07/09/22 11:16:00  AM,18.996,0.0,,,,
154,07/09/22 11:16:30  AM,18.996,10.8,,,,
155,07/09/22 11:17:00  AM,19.377,1463.9,,,,
156,07/09/22 11:17:30  AM,19.758,1550.0,,,,
157,07/09/22 11:18:00  AM,20.138,226.0,,,,
158,07/09/22 11:18:30  AM,20.615,1808.3,,,,
159,07/09/22 11:19:00  AM,20.996,1808.3,,,,
160,07/09/22 11:19:30  AM,21.378,115734.1,,,,
161,07/09/22 11:20:00  AM,23.292,143289.8,,,,
162,07/09/22 11:20:30  AM,24.158,143289.8,,,,
163,07/09/22 11:21:00  AM,24.351,137778.7,,,,
164,07/09/22 11:21:30  AM,24.351,115734.1,,,,
165,07/09/22 11:22:00  AM,24.062,104711.8,,,,
166,07/09/22 11:22:30  AM,22.429,1894.5,,,,
167,07/09/22 11:23:00  AM,21.664,1808.3,,,,
168,07/09/22 11:23:30  AM,21.378,0.0,,,,
169,07/09/22 11:24:00  AM,20.996,0.0,,,,
170,07/09/22 11:24:30  AM,20.805,0.0,,,,
171,07/09/22 11:25:00  AM,20.805,0.0,,,,
172,07/09/22 11:25:30  AM,20.805,0.0,,,,
173,07/09/22 11:26:00  AM,20.901,43.1,,,,
174,07/09/22 11:26:30  AM,20.901,344.4,,,,
175,07/09/22 11:27:00  AM,20.996,387.5,,,,
176,07/09/22 11:27:30  AM,21.091,161.5,,,,
177,07/09/22 11:28:00  AM,21.187,312.2,,,,
178,07/09/22 11:28:30  AM,21.473,570.5,,,,
179,07/09/22 11:29:00  AM,21.855,1722.2,,,,
180,07/09/22 11:29:30  AM,22.046,86.1,,,,
181,07/09/22 11:30:00  AM,22.333,150.7,,,,
182,07/09/22 11:30:30  AM,22.717,312.2,,,,
183,07/09/22 11:31:00  AM,22.908,172.2,,,,
184,07/09/22 11:31:30  AM,25.028,165334.4,,,,
185,07/09/22 11:32:00  AM,26.488,165334.4,,,,
186,07/09/22 11:32:30  AM,27.272,154312.1,,,,
187,07/09/22 11:33:00  AM,27.862,165334.4,,,,
188,07/09/22 11:33:30  AM,27.961,165334.4,,,,
189,07/09/22 11:34:00  AM,26.585,581.3,,,,
190,07/09/22 11:34:30  AM,26.000,613.5,,,,
191,07/09/22 11:35:00  AM,26.195,8266.7,,,,
192,07/09/22 11:35:30  AM,25.416,0.0,,,,
193,07/09/22 11:36:00  AM,25.125,0.0,,,,
194,07/09/22 11:36:30  AM,24.931,0.0,,,,
195,07/09/22 11:37:00  AM,24.931,0.0,,,,
196,07/09/22 11:37:30  AM,25.028,2411.1,,,,
197,07/09/22 11:38:00  AM,24.835,2325.0,,,,
198,07/09/22 11:38:30  AM,24.545,1130.2,,,,
199,07/09/22 11:39:00  AM,24.351,2927.8,,,,
200,07/09/22 11:39:30  AM,24.158,2152.8,,,,
201,07/09/22 11:40:00  AM,23.966,1722.2,,,,
202,07/09/22 11:40:30  AM,25.513,159823.3,,,,
203,07/09/22 11:41:00  AM,26.292,159823.3,,,,
204,07/09/22 11:41:30  AM,26.683,154312.1,,,,
205,07/09/22 11:42:00  AM,26.781,154312.1,,,,
206,07/09/22 11:42:30  AM,26.097,409.0,,,,
207,07/09/22 11:43:00  AM,24.835,419.8,,,,
208,07/09/22 11:43:30  AM,24.255,441.3,,,,
209,07/09/22 11:44:00  AM,23.966,10.8,,,,
210,07/09/22 11:44:30  AM,23.484,0.0,,,,
211,07/09/22 11:45:00  AM,23.388,0.0,,,,
212,07/09/22 11:45:30  AM,23.292,0.0,,,,
213,07/09/22 11:46:00  AM,23.196,0.0,,,,
214,07/09/22 11:46:30  AM,23.196,1087.2,,,,
215,07/09/22 11:47:00  AM,22.908,484.4,,,,
216,07/09/22 11:47:30  AM,22.621,5338.9,,,,
217,07/09/22 11:48:00  AM,22.333,1550.0,,,,
218,07/09/22 11:48:30  AM,22.046,1894.5,,,,
219,07/09/22 11:49:00  AM,21.855,7233.4,,,,
220,07/09/22 11:49:30  AM,21.760,11022.3,,,,
221,07/09/22 11:50:00  AM,21.760,8611.2,,,,
222,07/09/22 11:50:30  AM,21.855,11711.2,,,,
223,07/09/22 11:51:00  AM,22.046,10333.4,,,,
224,07/09/22 11:51:30  AM,22.046,1636.1,,,,
225,07/09/22 11:52:00  AM,22.142,1334.7,,,,
226,07/09/22 11:52:30  AM,22.142,1377.8,,,,
227,07/09/22 11:53:00  AM,22.238,1463.9,,,,
228,07/09/22 11:53:30  AM,22.238,3272.2,,,,
229,07/09/22 11:54:00  AM,22.333,2152.8,,,,
230,07/09/22 11:54:30  AM,22.429,1722.2,,,,
231,07/09/22 11:55:00  AM,22.525,6544.5,,,,
232,07/09/22 11:55:30  AM,22.621,1302.4,,,,
233,07/09/22 11:56:00  AM,22.621,1463.9,,,,
234,07/09/22 11:56:30  AM,22.621,1808.3,,,,
235,07/09/22 11:57:00  AM,22.621,5511.1,,,,
236,07/09/22 11:57:30  AM,22.621,2238.9,,,,
237,07/09/22 11:58:00  AM,22.621,3272.2,,,,
238,07/09/22 11:58:30  AM,22.717,5511.1,,,,
239,07/09/22 11:59:00  AM,22.812,2238.9,,,,
