"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
104,07/25/22 11:21:30  AM,36.295,139.9,,,,
105,07/25/22 11:22:00  AM,36.511,850.4,,,,
106,07/25/22 11:22:30  AM,36.403,731.9,,,,
107,07/25/22 11:23:00  AM,36.295,409.0,,,,
108,07/25/22 11:23:30  AM,36.079,484.4,,,,
109,07/25/22 11:24:00  AM,35.756,215.3,,,,
110,07/25/22 11:24:30  AM,35.222,484.4,,,,
111,07/25/22 11:25:00  AM,34.691,355.2,,,,
112,07/25/22 11:25:30  AM,34.163,0.0,,,,
113,07/25/22 11:26:00  AM,33.535,183.0,,,,
114,07/25/22 11:26:30  AM,33.222,161.5,,,,
115,07/25/22 11:27:00  AM,32.911,0.0,,,,
116,07/25/22 11:27:30  AM,32.600,10.8,,,,
117,07/25/22 11:28:00  AM,32.188,344.4,,,,
118,07/25/22 11:28:30  AM,31.880,344.4,,,,
119,07/25/22 11:29:00  AM,31.676,322.9,,,,
120,07/25/22 11:29:30  AM,31.472,484.4,,,,
121,07/25/22 11:30:00  AM,31.370,96.9,,,,
122,07/25/22 11:30:30  AM,31.166,96.9,,,,
123,07/25/22 11:31:00  AM,30.862,161.5,,,,
124,07/25/22 11:31:30  AM,30.558,312.2,,,,
125,07/25/22 11:32:00  AM,30.255,258.3,,,,
126,07/25/22 11:32:30  AM,30.054,215.3,,,,
127,07/25/22 11:33:00  AM,29.853,0.0,,,,
128,07/25/22 11:33:30  AM,29.752,129.2,,,,
129,07/25/22 11:34:00  AM,29.652,0.0,,,,
130,07/25/22 11:34:30  AM,29.652,0.0,,,,
131,07/25/22 11:35:00  AM,29.652,0.0,,,,
132,07/25/22 11:35:30  AM,29.752,107.6,,,,
133,07/25/22 11:36:00  AM,29.853,118.4,,,,
134,07/25/22 11:36:30  AM,29.652,118.4,,,,
135,07/25/22 11:37:00  AM,29.552,43.1,,,,
136,07/25/22 11:37:30  AM,29.352,204.5,,,,
137,07/25/22 11:38:00  AM,29.152,53.8,,,,
138,07/25/22 11:38:30  AM,29.152,731.9,,,,
139,07/25/22 11:39:00  AM,29.152,75.3,,,,
140,07/25/22 11:39:30  AM,29.152,656.6,,,,
141,07/25/22 11:40:00  AM,28.953,710.4,,,,
142,07/25/22 11:40:30  AM,28.754,398.3,,,,
143,07/25/22 11:41:00  AM,28.655,10.8,,,,
144,07/25/22 11:41:30  AM,28.456,656.6,,,,
145,07/25/22 11:42:00  AM,28.357,1808.3,,,,
146,07/25/22 11:42:30  AM,28.555,495.1,,,,
147,07/25/22 11:43:00  AM,28.655,581.3,,,,
148,07/25/22 11:43:30  AM,28.754,107.6,,,,
149,07/25/22 11:44:00  AM,28.655,236.8,,,,
150,07/25/22 11:44:30  AM,28.555,204.5,,,,
151,07/25/22 11:45:00  AM,28.258,193.8,,,,
152,07/25/22 11:45:30  AM,27.862,129.2,,,,
153,07/25/22 11:46:00  AM,27.567,172.2,,,,
154,07/25/22 11:46:30  AM,27.173,161.5,,,,
155,07/25/22 11:47:00  AM,26.781,236.8,,,,
156,07/25/22 11:47:30  AM,26.488,161.5,,,,
157,07/25/22 11:48:00  AM,26.195,183.0,,,,
158,07/25/22 11:48:30  AM,26.000,150.7,,,,
159,07/25/22 11:49:00  AM,25.805,161.5,,,,
160,07/25/22 11:49:30  AM,25.513,172.2,,,,
161,07/25/22 11:50:00  AM,25.222,53.8,,,,
162,07/25/22 11:50:30  AM,24.931,183.0,,,,
163,07/25/22 11:51:00  AM,24.738,172.2,,,,
164,07/25/22 11:51:30  AM,24.545,118.4,,,,
165,07/25/22 11:52:00  AM,24.448,64.6,,,,
166,07/25/22 11:52:30  AM,24.351,43.1,,,,
167,07/25/22 11:53:00  AM,24.255,75.3,,,,
168,07/25/22 11:53:30  AM,24.158,64.6,,,,
169,07/25/22 11:54:00  AM,24.062,21.5,,,,
170,07/25/22 11:54:30  AM,24.062,64.6,,,,
171,07/25/22 11:55:00  AM,23.966,64.6,,,,
172,07/25/22 11:55:30  AM,23.869,139.9,,,,
173,07/25/22 11:56:00  AM,23.773,86.1,,,,
174,07/25/22 11:56:30  AM,23.581,129.2,,,,
175,07/25/22 11:57:00  AM,23.484,161.5,,,,
176,07/25/22 11:57:30  AM,23.292,118.4,,,,
177,07/25/22 11:58:00  AM,23.196,172.2,,,,
178,07/25/22 11:58:30  AM,23.100,236.8,,,,
179,07/25/22 11:59:00  AM,23.004,86.1,,,,
180,07/25/22 11:59:30  AM,23.004,150.7,,,,
181,07/25/22 12:00:00  PM,22.908,161.5,,,,
182,07/25/22 12:00:30  PM,22.908,118.4,,,,
183,07/25/22 12:01:00  PM,22.812,86.1,,,,
184,07/25/22 12:01:30  PM,22.812,161.5,,,,
