"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","End Of File (LGR S/N: 20553056)"
117,07/11/22 10:58:00  AM,21.473,0.0,
118,07/11/22 10:58:30  AM,21.187,10.8,
119,07/11/22 10:59:00  AM,20.996,0.0,
120,07/11/22 10:59:30  AM,20.996,5511.1,
121,07/11/22 11:00:00  AM,20.996,2927.8,
122,07/11/22 11:00:30  AM,21.378,21355.7,
123,07/11/22 11:01:00  AM,21.760,13089.0,
124,07/11/22 11:01:30  AM,22.046,2497.2,
125,07/11/22 11:02:00  AM,22.333,4133.4,
126,07/11/22 11:02:30  AM,24.738,126756.4,
127,07/11/22 11:03:00  AM,25.610,121245.2,
128,07/11/22 11:03:30  AM,25.902,126756.4,
129,07/11/22 11:04:00  AM,25.902,121245.2,
130,07/11/22 11:04:30  AM,25.610,121245.2,
131,07/11/22 11:05:00  AM,22.717,344.4,
132,07/11/22 11:05:30  AM,21.664,398.3,
133,07/11/22 11:06:00  AM,21.187,226.0,
134,07/11/22 11:06:30  AM,20.519,0.0,
135,07/11/22 11:07:00  AM,20.043,0.0,
136,07/11/22 11:07:30  AM,19.662,0.0,
137,07/11/22 11:08:00  AM,19.377,0.0,
138,07/11/22 11:08:30  AM,19.282,333.7,
139,07/11/22 11:09:00  AM,19.567,1280.9,
140,07/11/22 11:09:30  AM,19.948,592.0,
141,07/11/22 11:10:00  AM,20.329,2152.8,
142,07/11/22 11:10:30  AM,20.710,344.4,
143,07/11/22 11:11:00  AM,20.996,527.4,
144,07/11/22 11:11:30  AM,21.282,505.9,
145,07/11/22 11:12:00  AM,21.473,376.7,
146,07/11/22 11:12:30  AM,21.760,118.4,
147,07/11/22 11:13:00  AM,22.142,333.7,
148,07/11/22 11:13:30  AM,22.333,322.9,
149,07/11/22 11:14:00  AM,22.908,99200.7,
150,07/11/22 11:14:30  AM,23.004,99200.7,
151,07/11/22 11:15:00  AM,22.621,104711.8,
152,07/11/22 11:15:30  AM,22.142,104711.8,
153,07/11/22 11:16:00  AM,21.473,104711.8,
154,07/11/22 11:16:30  AM,20.424,2152.8,
155,07/11/22 11:17:00  AM,20.424,1808.3,
156,07/11/22 11:17:30  AM,20.901,3100.0,
157,07/11/22 11:18:00  AM,20.996,21.5,
158,07/11/22 11:18:30  AM,20.710,21.5,
159,07/11/22 11:19:00  AM,20.519,21.5,
160,07/11/22 11:19:30  AM,20.424,21.5,
161,07/11/22 11:20:00  AM,20.424,290.6,
162,07/11/22 11:20:30  AM,20.424,376.7,
163,07/11/22 11:21:00  AM,20.615,419.8,
164,07/11/22 11:21:30  AM,20.901,409.0,
165,07/11/22 11:22:00  AM,20.996,290.6,
166,07/11/22 11:22:30  AM,21.187,452.1,
167,07/11/22 11:23:00  AM,21.378,258.3,
168,07/11/22 11:23:30  AM,23.100,143289.8,
169,07/11/22 11:24:00  AM,23.677,143289.8,
170,07/11/22 11:24:30  AM,24.062,148801.0,
171,07/11/22 11:25:00  AM,24.255,148801.0,
172,07/11/22 11:25:30  AM,23.292,301.4,
173,07/11/22 11:26:00  AM,22.046,979.5,
174,07/11/22 11:26:30  AM,22.046,21.5,
175,07/11/22 11:27:00  AM,21.282,0.0,
176,07/11/22 11:27:30  AM,20.805,0.0,
177,07/11/22 11:28:00  AM,20.519,0.0,
178,07/11/22 11:28:30  AM,20.424,0.0,
179,07/11/22 11:29:00  AM,20.329,549.0,
180,07/11/22 11:29:30  AM,20.519,592.0,
181,07/11/22 11:30:00  AM,20.710,312.2,
182,07/11/22 11:30:30  AM,20.901,344.4,
183,07/11/22 11:31:00  AM,20.996,452.1,
184,07/11/22 11:31:30  AM,21.091,172.2,
185,07/11/22 11:32:00  AM,21.378,484.4,
186,07/11/22 11:32:30  AM,21.664,409.0,
187,07/11/22 11:33:00  AM,21.951,344.4,
188,07/11/22 11:33:30  AM,22.429,121245.2,
189,07/11/22 11:34:00  AM,22.621,121245.2,
190,07/11/22 11:34:30  AM,22.238,121245.2,
191,07/11/22 11:35:00  AM,21.569,121245.2,
192,07/11/22 11:35:30  AM,20.901,121245.2,
193,07/11/22 11:36:00  AM,19.948,2755.6,
194,07/11/22 11:36:30  AM,19.853,2238.9,
195,07/11/22 11:37:00  AM,20.138,14466.8,
196,07/11/22 11:37:30  AM,20.424,2238.9,
197,07/11/22 11:38:00  AM,20.710,21.5,
198,07/11/22 11:38:30  AM,20.519,21.5,
199,07/11/22 11:39:00  AM,20.329,21.5,
200,07/11/22 11:39:30  AM,20.138,21.5,
201,07/11/22 11:40:00  AM,19.948,21.5,
202,07/11/22 11:40:30  AM,19.948,269.1,
203,07/11/22 11:41:00  AM,20.234,301.4,
204,07/11/22 11:41:30  AM,20.519,1001.0,
205,07/11/22 11:42:00  AM,20.615,236.8,
206,07/11/22 11:42:30  AM,20.710,0.0,
207,07/11/22 11:43:00  AM,21.091,236.8,
208,07/11/22 11:43:30  AM,21.378,139.9,
209,07/11/22 11:44:00  AM,22.717,99200.7,
210,07/11/22 11:44:30  AM,23.677,99200.7,
211,07/11/22 11:45:00  AM,23.773,93689.5,
212,07/11/22 11:45:30  AM,23.677,93689.5,
213,07/11/22 11:46:00  AM,22.333,247.6,
