"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Detached (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
100,07/26/22 09:49:00  AM,24.738,796.5,,,,,
101,07/26/22 09:49:30  AM,25.125,15844.5,,,,,
102,07/26/22 09:50:00  AM,25.319,17222.3,,,,,
103,07/26/22 09:50:30  AM,25.513,4994.5,,,,,
104,07/26/22 09:51:00  AM,25.708,15844.5,,,,,
105,07/26/22 09:51:30  AM,25.902,9300.1,,,,,
106,07/26/22 09:52:00  AM,26.000,10677.8,,,,,
107,07/26/22 09:52:30  AM,26.097,5166.7,,,,,
108,07/26/22 09:53:00  AM,26.097,1377.8,,,,,
109,07/26/22 09:53:30  AM,26.097,8611.2,,,,,
110,07/26/22 09:54:00  AM,26.097,8611.2,,,,,
111,07/26/22 09:54:30  AM,26.292,14466.8,,,,,
112,07/26/22 09:55:00  AM,26.390,1237.9,,,,,
113,07/26/22 09:55:30  AM,26.488,2325.0,,,,,
114,07/26/22 09:56:00  AM,26.585,1894.5,,,,,
115,07/26/22 09:56:30  AM,26.585,2152.8,,,,,
116,07/26/22 09:57:00  AM,26.585,1894.5,,,,,
117,07/26/22 09:57:30  AM,26.488,2152.8,,,,,
118,07/26/22 09:58:00  AM,26.488,1237.9,,,,,
119,07/26/22 09:58:30  AM,26.585,16533.4,,,,,
120,07/26/22 09:59:00  AM,26.683,9644.5,,,,,
121,07/26/22 09:59:30  AM,26.781,16533.4,,,,,
122,07/26/22 10:00:00  AM,26.879,462.9,,,,,
123,07/26/22 10:00:30  AM,27.075,14466.8,,,,,
124,07/26/22 10:01:00  AM,27.370,23422.4,,,,,
125,07/26/22 10:01:30  AM,27.567,9300.1,,,,,
126,07/26/22 10:02:00  AM,27.862,22044.6,,,,,
127,07/26/22 10:02:30  AM,28.258,16533.4,,,,,
128,07/26/22 10:03:00  AM,28.555,1463.9,,,,,
129,07/26/22 10:03:30  AM,28.754,1894.5,,,,,
130,07/26/22 10:04:00  AM,28.754,4133.4,,,,,
131,07/26/22 10:04:30  AM,28.754,15844.5,,,,,
132,07/26/22 10:05:00  AM,28.853,16533.4,,,,,
133,07/26/22 10:05:30  AM,28.953,14466.8,,,,,
134,07/26/22 10:06:00  AM,29.053,14466.8,,,,,
135,07/26/22 10:06:30  AM,29.252,6544.5,,,,,
136,07/26/22 10:07:00  AM,29.252,4305.6,,,,,
137,07/26/22 10:07:30  AM,29.352,1184.0,,,,,
138,07/26/22 10:08:00  AM,29.752,22044.6,,,,,
139,07/26/22 10:08:30  AM,29.953,9644.5,,,,,
140,07/26/22 10:09:00  AM,30.255,9644.5,,,,,
141,07/26/22 10:09:30  AM,30.457,9644.5,,,,,
142,07/26/22 10:10:00  AM,30.659,8611.2,,,,,
143,07/26/22 10:10:30  AM,30.760,7233.4,,,,,
144,07/26/22 10:11:00  AM,30.760,1377.8,,,,,
145,07/26/22 10:11:30  AM,30.760,86.1,,,,,
146,07/26/22 10:12:00  AM,30.862,1980.6,,,,,
147,07/26/22 10:12:30  AM,30.862,2669.5,,,,,
148,07/26/22 10:13:00  AM,30.760,2325.0,,,,,
149,07/26/22 10:13:30  AM,30.457,2755.6,,,,,
150,07/26/22 10:14:00  AM,30.255,4477.8,,,,,
151,07/26/22 10:14:30  AM,29.853,5166.7,,,,,
152,07/26/22 10:15:00  AM,29.452,2497.2,,,,,
153,07/26/22 10:15:30  AM,29.152,2325.0,,,,,
154,07/26/22 10:16:00  AM,28.754,2325.0,,,,,
155,07/26/22 10:16:30  AM,28.456,3100.0,,,,,
156,07/26/22 10:17:00  AM,28.159,2325.0,,,,,
157,07/26/22 10:17:30  AM,27.961,2325.0,,,,,
158,07/26/22 10:18:00  AM,27.567,2238.9,,,,,
159,07/26/22 10:18:30  AM,27.272,2325.0,,,,,
160,07/26/22 10:19:00  AM,26.977,7577.8,,,,,
161,07/26/22 10:19:30  AM,26.781,1722.2,,,,,
162,07/26/22 10:20:00  AM,26.488,2497.2,,,,,
163,07/26/22 10:20:30  AM,26.195,1722.2,,,,,
164,07/26/22 10:21:00  AM,26.000,20666.8,,,,,
165,07/26/22 10:21:30  AM,26.097,1636.1,,,,,
166,07/26/22 10:22:00  AM,26.195,3616.7,,,,,
167,07/26/22 10:22:30  AM,26.292,10333.4,,,,,
168,07/26/22 10:23:00  AM,26.292,7233.4,,,,,
169,07/26/22 10:23:30  AM,26.781,63378.2,,,,,
170,07/26/22 10:24:00  AM,26.488,63378.2,,,,,
171,07/26/22 10:24:30  AM,25.708,63378.2,,,,,
172,07/26/22 10:25:00  AM,24.641,63378.2,,,,,
173,07/26/22 10:25:30  AM,23.677,63378.2,,,,,
174,07/26/22 10:26:00  AM,22.812,63378.2,,,,,
175,07/26/22 10:26:30  AM,22.046,10677.8,,,,,
176,07/26/22 10:27:00  AM,22.333,19977.9,,,,,
177,07/26/22 10:27:30  AM,22.812,2152.8,,,,,
178,07/26/22 10:28:00  AM,23.196,3444.5,,,,,
179,07/26/22 10:28:30  AM,23.196,0.0,,,,,
180,07/26/22 10:29:00  AM,22.908,0.0,,,,,
181,07/26/22 10:29:30  AM,22.525,0.0,,,,,
182,07/26/22 10:30:00  AM,22.238,0.0,,,,,
183,07/26/22 10:30:30  AM,21.951,0.0,,,,,
184,07/26/22 10:31:00  AM,21.760,0.0,,,,,
185,07/26/22 10:31:30  AM,21.760,581.3,,,,,
186,07/26/22 10:32:00  AM,21.855,409.0,,,,,
187,07/26/22 10:32:30  AM,22.238,914.9,,,,,
188,07/26/22 10:33:00  AM,22.812,592.0,,,,,
189,07/26/22 10:33:30  AM,23.292,818.1,,,,,
190,07/26/22 10:34:00  AM,23.869,1722.2,,,,,
191,07/26/22 10:34:30  AM,24.545,1894.5,,,,,
192,07/26/22 10:35:00  AM,25.125,1550.0,,,,,
193,07/26/22 10:35:30  AM,25.805,1550.0,,,,,
194,07/26/22 10:36:00  AM,26.390,2755.6,,,,,
195,07/26/22 10:36:30  AM,27.961,115734.1,,,,,
196,07/26/22 10:37:00  AM,28.357,115734.1,,,,,
197,07/26/22 10:37:30  AM,28.258,115734.1,,,,,
198,07/26/22 10:38:00  AM,27.961,115734.1,,,,,
199,07/26/22 10:38:30  AM,27.468,13777.9,,,,,
200,07/26/22 10:39:00  AM,26.195,15844.5,,,,,
201,07/26/22 10:39:30  AM,26.097,15844.5,,,,,
202,07/26/22 10:40:00  AM,26.292,22044.6,,,,,
203,07/26/22 10:40:30  AM,26.683,12400.1,,,,,
204,07/26/22 10:41:00  AM,27.075,6544.5,,,,,
205,07/26/22 10:41:30  AM,27.468,8611.2,,,,,
206,07/26/22 10:42:00  AM,27.764,8611.2,,,,,
207,07/26/22 10:42:30  AM,27.961,8611.2,,,,,
208,07/26/22 10:43:00  AM,28.159,7233.4,,,,,
209,07/26/22 10:43:30  AM,28.357,20666.8,,,,,
210,07/26/22 10:44:00  AM,28.456,1808.3,,,,,
211,07/26/22 10:44:30  AM,28.555,4133.4,,,,,
212,07/26/22 10:45:00  AM,28.456,1345.5,,,,,
213,07/26/22 10:45:30  AM,28.655,16533.4,,,,,
214,07/26/22 10:46:00  AM,28.953,17911.2,,,,,
215,07/26/22 10:46:30  AM,29.252,23422.4,,,,,
216,07/26/22 10:47:00  AM,29.552,49600.3,,,,,
217,07/26/22 10:47:30  AM,28.953,49600.3,,,,,
218,07/26/22 10:48:00  AM,27.862,49600.3,,,,,
219,07/26/22 10:48:30  AM,26.488,49600.3,,,,,
220,07/26/22 10:49:00  AM,25.319,49600.3,,,,,
221,07/26/22 10:49:30  AM,24.448,2238.9,,,,,
222,07/26/22 10:50:00  AM,24.641,2497.2,,,,,
223,07/26/22 10:50:30  AM,25.028,2755.6,,,,,
224,07/26/22 10:51:00  AM,25.513,688.9,,,,,
225,07/26/22 10:51:30  AM,25.902,462.9,,,,,
226,07/26/22 10:52:00  AM,26.195,958.0,,,,,
227,07/26/22 10:52:30  AM,26.390,1722.2,,,,,
228,07/26/22 10:53:00  AM,26.683,1001.0,,,,,
229,07/26/22 10:53:30  AM,26.879,2583.4,,,,,
