"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Good Battery (LGR S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
99,07/07/22 04:49:00  PM,25.125,3100.0,,,,,
100,07/07/22 04:49:30  PM,25.513,1722.2,,,,,
101,07/07/22 04:50:00  PM,26.000,2927.8,,,,,
102,07/07/22 04:50:30  PM,26.195,376.7,,,,,
103,07/07/22 04:51:00  PM,26.683,2669.5,,,,,
104,07/07/22 04:51:30  PM,27.075,2755.6,,,,,
105,07/07/22 04:52:00  PM,27.468,86.1,,,,,
106,07/07/22 04:52:30  PM,27.567,204.5,,,,,
107,07/07/22 04:53:00  PM,27.567,344.4,,,,,
108,07/07/22 04:53:30  PM,27.468,3100.0,,,,,
109,07/07/22 04:54:00  PM,27.370,161.5,,,,,
110,07/07/22 04:54:30  PM,27.764,2669.5,,,,,
111,07/07/22 04:55:00  PM,28.159,2669.5,,,,,
112,07/07/22 04:55:30  PM,28.555,785.8,,,,,
113,07/07/22 04:56:00  PM,28.655,2238.9,,,,,
114,07/07/22 04:56:30  PM,28.754,2325.0,,,,,
115,07/07/22 04:57:00  PM,28.754,1808.3,,,,,
116,07/07/22 04:57:30  PM,30.963,77156.1,,,,,
117,07/07/22 04:58:00  PM,31.778,77156.1,,,,,
118,07/07/22 04:58:30  PM,31.778,77156.1,,,,,
119,07/07/22 04:59:00  PM,31.472,77156.1,,,,,
120,07/07/22 04:59:30  PM,31.064,77156.1,,,,,
121,07/07/22 05:00:00  PM,28.655,1808.3,,,,,
122,07/07/22 05:00:30  PM,27.468,3788.9,,,,,
123,07/07/22 05:01:00  PM,27.173,4477.8,,,,,
124,07/07/22 05:01:30  PM,27.173,2669.5,,,,,
125,07/07/22 05:02:00  PM,27.075,2152.8,,,,,
126,07/07/22 05:02:30  PM,26.683,0.0,,,,,
127,07/07/22 05:03:00  PM,26.195,0.0,,,,,
128,07/07/22 05:03:30  PM,25.708,0.0,,,,,
129,07/07/22 05:04:00  PM,25.222,0.0,,,,,
130,07/07/22 05:04:30  PM,24.835,0.0,,,,,
131,07/07/22 05:05:00  PM,25.028,2238.9,,,,,
132,07/07/22 05:05:30  PM,25.319,2238.9,,,,,
133,07/07/22 05:06:00  PM,25.805,2927.8,,,,,
134,07/07/22 05:06:30  PM,26.097,419.8,,,,,
135,07/07/22 05:07:00  PM,26.585,1722.2,,,,,
136,07/07/22 05:07:30  PM,26.585,10.8,,,,,
137,07/07/22 05:08:00  PM,27.173,2669.5,,,,,
138,07/07/22 05:08:30  PM,27.764,2066.7,,,,,
139,07/07/22 05:09:00  PM,28.258,269.1,,,,,
140,07/07/22 05:09:30  PM,28.357,2583.4,,,,,
141,07/07/22 05:10:00  PM,28.853,2583.4,,,,,
142,07/07/22 05:10:30  PM,29.053,882.6,,,,,
143,07/07/22 05:11:00  PM,29.053,2927.8,,,,,
144,07/07/22 05:11:30  PM,28.853,721.2,,,,,
145,07/07/22 05:12:00  PM,28.456,2238.9,,,,,
146,07/07/22 05:12:30  PM,28.357,2152.8,,,,,
147,07/07/22 05:13:00  PM,28.060,247.6,,,,,
148,07/07/22 05:13:30  PM,27.961,398.3,,,,,
149,07/07/22 05:14:00  PM,27.961,387.5,,,,,
150,07/07/22 05:14:30  PM,27.862,139.9,,,,,
151,07/07/22 05:15:00  PM,27.961,376.7,,,,,
152,07/07/22 05:15:30  PM,27.961,376.7,,,,,
153,07/07/22 05:16:00  PM,27.961,409.0,,,,,
154,07/07/22 05:16:30  PM,27.961,441.3,,,,,
155,07/07/22 05:17:00  PM,28.060,376.7,,,,,
156,07/07/22 05:17:30  PM,28.060,387.5,,,,,
157,07/07/22 05:18:00  PM,28.060,387.5,,,,,
158,07/07/22 05:18:30  PM,28.060,387.5,,,,,
159,07/07/22 05:19:00  PM,28.159,376.7,,,,,
160,07/07/22 05:19:30  PM,28.159,376.7,,,,,
161,07/07/22 05:20:00  PM,28.159,419.8,,,,,
162,07/07/22 05:20:30  PM,28.159,419.8,,,,,
163,07/07/22 05:21:00  PM,28.159,430.6,,,,,
164,07/07/22 05:21:30  PM,28.258,2325.0,,,,,
165,07/07/22 05:22:00  PM,28.754,2755.6,,,,,
166,07/07/22 05:22:30  PM,30.760,88178.4,,,,,
167,07/07/22 05:23:00  PM,31.778,88178.4,,,,,
168,07/07/22 05:23:30  PM,31.880,88178.4,,,,,
169,07/07/22 05:24:00  PM,31.676,88178.4,,,,,
170,07/07/22 05:24:30  PM,30.558,19289.0,,,,,
171,07/07/22 05:25:00  PM,28.456,22044.6,,,,,
172,07/07/22 05:25:30  PM,28.159,22044.6,,,,,
173,07/07/22 05:26:00  PM,28.258,24800.2,,,,,
174,07/07/22 05:26:30  PM,28.655,24800.2,,,,,
175,07/07/22 05:27:00  PM,29.053,23422.4,,,,,
176,07/07/22 05:27:30  PM,29.552,20666.8,,,,,
177,07/07/22 05:28:00  PM,29.953,24800.2,,,,,
178,07/07/22 05:28:30  PM,30.255,914.9,,,,,
179,07/07/22 05:29:00  PM,30.558,9644.5,,,,,
180,07/07/22 05:29:30  PM,30.659,22044.6,,,,,
181,07/07/22 05:30:00  PM,30.862,23422.4,,,,,
182,07/07/22 05:30:30  PM,30.963,21355.7,,,,,
183,07/07/22 05:31:00  PM,30.963,1636.1,,,,,
184,07/07/22 05:31:30  PM,31.166,19977.9,,,,,
185,07/07/22 05:32:00  PM,31.472,18600.1,,,,,
186,07/07/22 05:32:30  PM,31.778,22044.6,,,,,
187,07/07/22 05:33:00  PM,32.188,23422.4,,,,,
188,07/07/22 05:33:30  PM,32.600,24800.2,,,,,
189,07/07/22 05:34:00  PM,32.911,22044.6,,,,,
190,07/07/22 05:34:30  PM,34.691,88178.4,,,,,
191,07/07/22 05:35:00  PM,35.756,88178.4,,,,,
192,07/07/22 05:35:30  PM,35.115,88178.4,,,,,
