"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","Coupler Attached (LGR S/N: 20553056)","Host Connected (LGR S/N: 20553056)","Stopped (LGR S/N: 20553056)","End Of File (LGR S/N: 20553056)"
103,07/15/22 03:21:00  PM,20.329,5166.7,,,,
104,07/15/22 03:21:30  PM,20.519,1227.1,,,,
105,07/15/22 03:22:00  PM,20.710,0.0,,,,
106,07/15/22 03:22:30  PM,20.424,0.0,,,,
107,07/15/22 03:23:00  PM,20.138,0.0,,,,
108,07/15/22 03:23:30  PM,19.758,0.0,,,,
109,07/15/22 03:24:00  PM,19.472,0.0,,,,
110,07/15/22 03:24:30  PM,19.377,333.7,,,,
111,07/15/22 03:25:00  PM,19.472,441.3,,,,
112,07/15/22 03:25:30  PM,19.758,731.9,,,,
113,07/15/22 03:26:00  PM,20.043,333.7,,,,
114,07/15/22 03:26:30  PM,20.234,1377.8,,,,
115,07/15/22 03:27:00  PM,20.424,1550.0,,,,
116,07/15/22 03:27:30  PM,20.901,1636.1,,,,
117,07/15/22 03:28:00  PM,21.378,290.6,,,,
118,07/15/22 03:28:30  PM,22.238,99200.7,,,,
119,07/15/22 03:29:00  PM,21.951,93689.5,,,,
120,07/15/22 03:29:30  PM,21.760,93689.5,,,,
121,07/15/22 03:30:00  PM,21.473,93689.5,,,,
122,07/15/22 03:30:30  PM,20.996,8266.7,,,,
123,07/15/22 03:31:00  PM,20.996,7233.4,,,,
124,07/15/22 03:31:30  PM,21.473,2238.9,,,,
125,07/15/22 03:32:00  PM,21.951,0.0,,,,
126,07/15/22 03:32:30  PM,21.951,0.0,,,,
127,07/15/22 03:33:00  PM,21.855,0.0,,,,
128,07/15/22 03:33:30  PM,21.855,0.0,,,,
129,07/15/22 03:34:00  PM,21.760,0.0,,,,
130,07/15/22 03:34:30  PM,21.855,53.8,,,,
131,07/15/22 03:35:00  PM,22.142,1377.8,,,,
132,07/15/22 03:35:30  PM,22.525,592.0,,,,
133,07/15/22 03:36:00  PM,22.812,333.7,,,,
134,07/15/22 03:36:30  PM,23.004,1065.6,,,,
135,07/15/22 03:37:00  PM,23.196,0.0,,,,
136,07/15/22 03:37:30  PM,23.484,0.0,,,,
137,07/15/22 03:38:00  PM,23.869,279.9,,,,
138,07/15/22 03:38:30  PM,24.062,968.8,,,,
139,07/15/22 03:39:00  PM,24.641,88178.4,,,,
140,07/15/22 03:39:30  PM,25.708,88178.4,,,,
141,07/15/22 03:40:00  PM,25.805,88178.4,,,,
142,07/15/22 03:40:30  PM,25.708,88178.4,,,,
143,07/15/22 03:41:00  PM,25.610,88178.4,,,,
144,07/15/22 03:41:30  PM,24.545,1550.0,,,,
145,07/15/22 03:42:00  PM,24.351,1313.2,,,,
146,07/15/22 03:42:30  PM,24.931,82667.2,,,,
147,07/15/22 03:43:00  PM,25.125,82667.2,,,,
148,07/15/22 03:43:30  PM,24.931,82667.2,,,,
149,07/15/22 03:44:00  PM,24.641,82667.2,,,,
150,07/15/22 03:44:30  PM,23.966,183.0,,,,
151,07/15/22 03:45:00  PM,23.292,344.4,,,,
152,07/15/22 03:45:30  PM,22.908,678.1,,,,
153,07/15/22 03:46:00  PM,22.812,0.0,,,,
154,07/15/22 03:46:30  PM,22.525,0.0,,,,
155,07/15/22 03:47:00  PM,22.333,0.0,,,,
156,07/15/22 03:47:30  PM,22.238,0.0,,,,
157,07/15/22 03:48:00  PM,22.142,0.0,,,,
158,07/15/22 03:48:30  PM,22.142,1011.8,,,,
159,07/15/22 03:49:00  PM,22.238,312.2,,,,
160,07/15/22 03:49:30  PM,22.621,1550.0,,,,
161,07/15/22 03:50:00  PM,22.812,183.0,,,,
162,07/15/22 03:50:30  PM,23.004,1808.3,,,,
163,07/15/22 03:51:00  PM,23.100,204.5,,,,
164,07/15/22 03:51:30  PM,23.388,387.5,,,,
165,07/15/22 03:52:00  PM,23.773,1722.2,,,,
166,07/15/22 03:52:30  PM,24.351,818.1,,,,
167,07/15/22 03:53:00  PM,24.738,1550.0,,,,
168,07/15/22 03:53:30  PM,25.125,2238.9,,,,
169,07/15/22 03:54:00  PM,25.902,99200.7,,,,
170,07/15/22 03:54:30  PM,26.000,104711.8,,,,
171,07/15/22 03:55:00  PM,25.222,104711.8,,,,
172,07/15/22 03:55:30  PM,24.158,99200.7,,,,
173,07/15/22 03:56:00  PM,23.292,99200.7,,,,
174,07/15/22 03:56:30  PM,22.429,1302.4,,,,
175,07/15/22 03:57:00  PM,21.760,1894.5,,,,
176,07/15/22 03:57:30  PM,21.569,1980.6,,,,
177,07/15/22 03:58:00  PM,21.473,0.0,,,,
178,07/15/22 03:58:30  PM,21.187,0.0,,,,
179,07/15/22 03:59:00  PM,20.996,0.0,,,,
180,07/15/22 03:59:30  PM,20.901,0.0,,,,
181,07/15/22 04:00:00  PM,20.710,0.0,,,,
182,07/15/22 04:00:30  PM,20.615,0.0,,,,
183,07/15/22 04:01:00  PM,20.805,8611.2,,,,
184,07/15/22 04:01:30  PM,21.282,10333.4,,,,
185,07/15/22 04:02:00  PM,21.569,0.0,,,,
186,07/15/22 04:02:30  PM,21.378,0.0,,,,
187,07/15/22 04:03:00  PM,21.187,0.0,,,,
188,07/15/22 04:03:30  PM,20.996,0.0,,,,
