"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9860465, SEN S/N: 9860465, LBL: on IRGA chamber)","Intensity, Lux (LGR S/N: 9860465, SEN S/N: 9860465, LBL: on IRGA chamber)","Good Battery (LGR S/N: 9860465)","End Of File (LGR S/N: 9860465)"
112,07/01/22 11:35:30  AM,17.475,0.0,,
113,07/01/22 11:36:00  AM,18.045,0.0,,
114,07/01/22 11:36:30  AM,18.521,0.0,,
115,07/01/22 11:37:00  AM,19.092,10.8,,
116,07/01/22 11:37:30  AM,19.662,172.2,,
117,07/01/22 11:38:00  AM,19.948,301.4,,
118,07/01/22 11:38:30  AM,20.138,193.8,,
119,07/01/22 11:39:00  AM,20.329,279.9,,
120,07/01/22 11:39:30  AM,20.519,0.0,,
121,07/01/22 11:40:00  AM,20.710,86.1,,
122,07/01/22 11:40:30  AM,20.805,301.4,,
123,07/01/22 11:41:00  AM,20.901,204.5,,
124,07/01/22 11:41:30  AM,21.091,505.9,,
125,07/01/22 11:42:00  AM,21.187,505.9,,
126,07/01/22 11:42:30  AM,21.282,279.9,,
127,07/01/22 11:43:00  AM,21.282,635.1,,
128,07/01/22 11:43:30  AM,21.187,53.8,,
129,07/01/22 11:44:00  AM,21.282,10.8,,
130,07/01/22 11:44:30  AM,21.282,247.6,,
131,07/01/22 11:45:00  AM,21.282,215.3,,
132,07/01/22 11:45:30  AM,21.378,193.8,,
133,07/01/22 11:46:00  AM,21.378,107.6,,
134,07/01/22 11:46:30  AM,22.046,55111.5,,
135,07/01/22 11:47:00  AM,21.855,55111.5,,
136,07/01/22 11:47:30  AM,21.187,55111.5,,
137,07/01/22 11:48:00  AM,20.424,57867.0,,
138,07/01/22 11:48:30  AM,19.662,55111.5,,
139,07/01/22 11:49:00  AM,17.950,107.6,,
140,07/01/22 11:49:30  AM,17.665,53.8,,
141,07/01/22 11:50:00  AM,17.570,172.2,,
142,07/01/22 11:50:30  AM,17.379,75.3,,
143,07/01/22 11:51:00  AM,17.379,0.0,,
144,07/01/22 11:51:30  AM,17.475,0.0,,
145,07/01/22 11:52:00  AM,17.570,0.0,,
146,07/01/22 11:52:30  AM,17.855,0.0,,
147,07/01/22 11:53:00  AM,18.426,0.0,,
148,07/01/22 11:53:30  AM,18.996,0.0,,
149,07/01/22 11:54:00  AM,19.377,0.0,,
150,07/01/22 11:54:30  AM,19.377,107.6,,
151,07/01/22 11:55:00  AM,19.377,96.9,,
152,07/01/22 11:55:30  AM,19.377,129.2,,
153,07/01/22 11:56:00  AM,19.377,150.7,,
154,07/01/22 11:56:30  AM,19.282,96.9,,
155,07/01/22 11:57:00  AM,19.187,10.8,,
156,07/01/22 11:57:30  AM,19.092,0.0,,
157,07/01/22 11:58:00  AM,19.187,0.0,,
158,07/01/22 11:58:30  AM,19.377,0.0,,
159,07/01/22 11:59:00  AM,19.662,0.0,,
160,07/01/22 11:59:30  AM,19.853,21.5,,
161,07/01/22 12:00:00  PM,19.853,0.0,,
162,07/01/22 12:00:30  PM,19.948,0.0,,
163,07/01/22 12:01:00  PM,19.948,0.0,,
164,07/01/22 12:01:30  PM,19.948,0.0,,
165,07/01/22 12:02:00  PM,20.138,0.0,,
166,07/01/22 12:02:30  PM,20.138,0.0,,
167,07/01/22 12:03:00  PM,20.234,139.9,,
168,07/01/22 12:03:30  PM,20.234,0.0,,
169,07/01/22 12:04:00  PM,20.234,75.3,,
170,07/01/22 12:04:30  PM,20.329,161.5,,
171,07/01/22 12:05:00  PM,20.329,139.9,,
172,07/01/22 12:05:30  PM,20.234,0.0,,
173,07/01/22 12:06:00  PM,20.329,0.0,,
174,07/01/22 12:06:30  PM,20.805,139.9,,
175,07/01/22 12:07:00  PM,21.091,236.8,,
176,07/01/22 12:07:30  PM,21.091,96.9,,Logged
