"Plot Title: IRGA_LightMeasure"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20553056, SEN S/N: 20553056)","Intensity, Lux (LGR S/N: 20553056, SEN S/N: 20553056)","End Of File (LGR S/N: 20553056)"
1,07/16/22 10:30:00  AM,22.908,86.1,
2,07/16/22 10:30:30  AM,23.004,32.3,
3,07/16/22 10:31:00  AM,23.100,43.1,
4,07/16/22 10:31:30  AM,23.196,1324.0,
5,07/16/22 10:32:00  AM,23.292,32.3,
6,07/16/22 10:32:30  AM,23.388,1636.1,
7,07/16/22 10:33:00  AM,23.581,1119.5,
8,07/16/22 10:33:30  AM,23.773,1280.9,
9,07/16/22 10:34:00  AM,23.966,376.7,
10,07/16/22 10:34:30  AM,24.062,247.6,
11,07/16/22 10:35:00  AM,24.158,387.5,
12,07/16/22 10:35:30  AM,24.255,247.6,
13,07/16/22 10:36:00  AM,24.158,193.8,
14,07/16/22 10:36:30  AM,24.062,32.3,
15,07/16/22 10:37:00  AM,24.062,64.6,
16,07/16/22 10:37:30  AM,23.966,1377.8,
17,07/16/22 10:38:00  AM,23.966,32.3,
18,07/16/22 10:38:30  AM,23.966,10.8,
19,07/16/22 10:39:00  AM,23.966,129.2,
20,07/16/22 10:39:30  AM,24.062,226.0,
21,07/16/22 10:40:00  AM,24.255,441.3,
22,07/16/22 10:40:30  AM,24.351,183.0,
23,07/16/22 10:41:00  AM,24.448,204.5,
24,07/16/22 10:41:30  AM,24.448,258.3,
25,07/16/22 10:42:00  AM,24.448,279.9,
26,07/16/22 10:42:30  AM,24.351,236.8,
27,07/16/22 10:43:00  AM,24.158,183.0,
28,07/16/22 10:43:30  AM,23.966,172.2,
29,07/16/22 10:44:00  AM,23.869,796.5,
30,07/16/22 10:44:30  AM,23.677,107.6,
31,07/16/22 10:45:00  AM,23.484,107.6,
32,07/16/22 10:45:30  AM,23.196,107.6,
33,07/16/22 10:46:00  AM,22.908,64.6,
34,07/16/22 10:46:30  AM,22.621,64.6,
35,07/16/22 10:47:00  AM,22.333,10.8,
36,07/16/22 10:47:30  AM,22.046,312.2,
37,07/16/22 10:48:00  AM,21.855,322.9,
38,07/16/22 10:48:30  AM,21.664,430.6,
39,07/16/22 10:49:00  AM,21.569,387.5,
40,07/16/22 10:49:30  AM,21.378,290.6,
41,07/16/22 10:50:00  AM,21.282,570.5,
42,07/16/22 10:50:30  AM,21.091,258.3,
43,07/16/22 10:51:00  AM,20.901,1636.1,
44,07/16/22 10:51:30  AM,20.805,538.2,
45,07/16/22 10:52:00  AM,20.901,1463.9,
46,07/16/22 10:52:30  AM,21.282,1550.0,
47,07/16/22 10:53:00  AM,21.760,979.5,
48,07/16/22 10:53:30  AM,22.238,193.8,
