"Plot Title: DRYAS_13C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10348515, SEN S/N: 10348515)","Coupler Attached (LGR S/N: 10348515)","Host Connected (LGR S/N: 10348515)","Stopped (LGR S/N: 10348515)","End Of File (LGR S/N: 10348515)"
1,07/02/22 04:00:00  PM,10.357,,,,
2,07/02/22 04:15:00  PM,9.965,,,,
3,07/02/22 04:30:00  PM,10.748,,,,
4,07/02/22 04:45:00  PM,10.846,,,,
5,07/02/22 05:00:00  PM,9.768,,,,
6,07/02/22 05:15:00  PM,10.259,,,,
7,07/02/22 05:30:00  PM,10.651,,,,
8,07/02/22 05:45:00  PM,9.472,,,,
9,07/02/22 06:00:00  PM,8.382,,,,
10,07/02/22 06:15:00  PM,8.082,,,,
11,07/02/22 06:30:00  PM,8.978,,,,
12,07/02/22 06:45:00  PM,8.879,,,,
13,07/02/22 07:00:00  PM,8.382,,,,
14,07/02/22 07:15:00  PM,7.782,,,,
15,07/02/22 07:30:00  PM,7.882,,,,
16,07/02/22 07:45:00  PM,8.082,,,,
17,07/02/22 08:00:00  PM,8.581,,,,
18,07/02/22 08:15:00  PM,7.682,,,,
19,07/02/22 08:30:00  PM,6.775,,,,
20,07/02/22 08:45:00  PM,6.370,,,,
21,07/02/22 09:00:00  PM,6.877,,,,
22,07/02/22 09:15:00  PM,6.573,,,,
23,07/02/22 09:30:00  PM,6.268,,,,
24,07/02/22 09:45:00  PM,5.962,,,,
25,07/02/22 10:00:00  PM,6.166,,,,
26,07/02/22 10:15:00  PM,5.962,,,,
27,07/02/22 10:30:00  PM,5.860,,,,
28,07/02/22 10:45:00  PM,5.860,,,,
29,07/02/22 11:00:00  PM,5.244,,,,
30,07/02/22 11:15:00  PM,5.655,,,,
31,07/02/22 11:30:00  PM,5.757,,,,
32,07/02/22 11:45:00  PM,5.757,,,,
33,07/03/22 12:00:00  AM,5.757,,,,
34,07/03/22 12:15:00  AM,5.450,,,,
35,07/03/22 12:30:00  AM,5.552,,,,
36,07/03/22 12:45:00  AM,5.037,,,,
37,07/03/22 01:00:00  AM,4.934,,,,
38,07/03/22 01:15:00  AM,5.244,,,,
39,07/03/22 01:30:00  AM,5.141,,,,
40,07/03/22 01:45:00  AM,5.450,,,,
41,07/03/22 02:00:00  AM,5.450,,,,
42,07/03/22 02:15:00  AM,4.727,,,,
43,07/03/22 02:30:00  AM,4.519,,,,
44,07/03/22 02:45:00  AM,4.415,,,,
45,07/03/22 03:00:00  AM,4.415,,,,
46,07/03/22 03:15:00  AM,4.311,,,,
47,07/03/22 03:30:00  AM,3.893,,,,
48,07/03/22 03:45:00  AM,3.893,,,,
49,07/03/22 04:00:00  AM,4.207,,,,
50,07/03/22 04:15:00  AM,4.623,,,,
51,07/03/22 04:30:00  AM,4.311,,,,
52,07/03/22 04:45:00  AM,4.102,,,,
53,07/03/22 05:00:00  AM,3.998,,,,
54,07/03/22 05:15:00  AM,3.893,,,,
55,07/03/22 05:30:00  AM,3.998,,,,
56,07/03/22 05:45:00  AM,4.311,,,,
57,07/03/22 06:00:00  AM,4.623,,,,
58,07/03/22 06:15:00  AM,4.623,,,,
59,07/03/22 06:30:00  AM,5.037,,,,
60,07/03/22 06:45:00  AM,5.962,,,,
61,07/03/22 07:00:00  AM,6.166,,,,
62,07/03/22 07:15:00  AM,6.573,,,,
63,07/03/22 07:30:00  AM,7.179,,,,
64,07/03/22 07:45:00  AM,7.280,,,,
65,07/03/22 08:00:00  AM,6.978,,,,
66,07/03/22 08:15:00  AM,6.877,,,,
67,07/03/22 08:30:00  AM,6.775,,,,
68,07/03/22 08:45:00  AM,6.877,,,,
69,07/03/22 09:00:00  AM,6.978,,,,
70,07/03/22 09:15:00  AM,6.471,,,,
71,07/03/22 09:30:00  AM,6.166,,,,
72,07/03/22 09:45:00  AM,6.166,,,,
73,07/03/22 10:00:00  AM,6.674,,,,
74,07/03/22 10:15:00  AM,7.079,,,,
75,07/03/22 10:30:00  AM,7.179,,,,
76,07/03/22 10:45:00  AM,7.280,,,,
77,07/03/22 11:00:00  AM,7.280,,,,
78,07/03/22 11:15:00  AM,7.582,,,,
79,07/03/22 11:30:00  AM,7.179,,,,
80,07/03/22 11:45:00  AM,7.381,,,,
81,07/03/22 12:00:00  PM,7.179,,,,
82,07/03/22 12:15:00  PM,7.381,,,,
83,07/03/22 12:30:00  PM,7.481,,,,
84,07/03/22 12:45:00  PM,7.481,,,,
85,07/03/22 01:00:00  PM,7.481,,,,
86,07/03/22 01:15:00  PM,7.481,,,,
87,07/03/22 01:30:00  PM,7.280,,,,
88,07/03/22 01:45:00  PM,6.978,,,,
89,07/03/22 02:00:00  PM,7.079,,,,
90,07/03/22 02:15:00  PM,7.280,,,,
91,07/03/22 02:30:00  PM,6.268,,,,
92,07/03/22 02:45:00  PM,5.552,,,,
93,07/03/22 03:00:00  PM,5.962,,,,
94,07/03/22 03:15:00  PM,6.166,,,,
95,07/03/22 03:30:00  PM,6.674,,,,
96,07/03/22 03:45:00  PM,5.450,,,,
97,07/03/22 04:00:00  PM,5.450,,,,
98,07/03/22 04:15:00  PM,5.655,,,,
99,07/03/22 04:30:00  PM,5.037,,,,
100,07/03/22 04:45:00  PM,5.141,,,,
101,07/03/22 05:00:00  PM,5.347,,,,
102,07/03/22 05:15:00  PM,5.552,,,,
103,07/03/22 05:30:00  PM,4.727,,,,
104,07/03/22 05:45:00  PM,4.831,,,,
105,07/03/22 06:00:00  PM,4.727,,,,
106,07/03/22 06:15:00  PM,3.998,,,,
107,07/03/22 06:30:00  PM,4.311,,,,
108,07/03/22 06:45:00  PM,5.037,,,,
109,07/03/22 07:00:00  PM,5.037,,,,
110,07/03/22 07:15:00  PM,4.934,,,,
111,07/03/22 07:30:00  PM,4.934,,,,
112,07/03/22 07:45:00  PM,4.519,,,,
113,07/03/22 08:00:00  PM,4.207,,,,
114,07/03/22 08:15:00  PM,3.998,,,,
115,07/03/22 08:30:00  PM,4.207,,,,
116,07/03/22 08:45:00  PM,3.998,,,,
117,07/03/22 09:00:00  PM,3.788,,,,
118,07/03/22 09:15:00  PM,3.683,,,,
119,07/03/22 09:30:00  PM,3.155,,,,
120,07/03/22 09:45:00  PM,3.367,,,,
121,07/03/22 10:00:00  PM,2.837,,,,
122,07/03/22 10:15:00  PM,3.155,,,,
123,07/03/22 10:30:00  PM,2.410,,,,
124,07/03/22 10:45:00  PM,2.195,,,,
125,07/03/22 11:00:00  PM,2.195,,,,
126,07/03/22 11:15:00  PM,2.517,,,,
127,07/03/22 11:30:00  PM,2.624,,,,
128,07/03/22 11:45:00  PM,2.624,,,,
129,07/04/22 12:00:00  AM,2.410,,,,
130,07/04/22 12:15:00  AM,2.517,,,,
131,07/04/22 12:30:00  AM,2.837,,,,
132,07/04/22 12:45:00  AM,2.943,,,,
133,07/04/22 01:00:00  AM,3.261,,,,
134,07/04/22 01:15:00  AM,3.261,,,,
135,07/04/22 01:30:00  AM,3.049,,,,
136,07/04/22 01:45:00  AM,3.155,,,,
137,07/04/22 02:00:00  AM,3.578,,,,
138,07/04/22 02:15:00  AM,4.207,,,,
139,07/04/22 02:30:00  AM,3.998,,,,
140,07/04/22 02:45:00  AM,3.893,,,,
141,07/04/22 03:00:00  AM,3.893,,,,
142,07/04/22 03:15:00  AM,3.578,,,,
143,07/04/22 03:30:00  AM,3.578,,,,
144,07/04/22 03:45:00  AM,3.683,,,,
145,07/04/22 04:00:00  AM,3.367,,,,
146,07/04/22 04:15:00  AM,3.472,,,,
147,07/04/22 04:30:00  AM,3.788,,,,
148,07/04/22 04:45:00  AM,3.788,,,,
149,07/04/22 05:00:00  AM,3.998,,,,
150,07/04/22 05:15:00  AM,3.998,,,,
151,07/04/22 05:30:00  AM,4.311,,,,
152,07/04/22 05:45:00  AM,4.311,,,,
153,07/04/22 06:00:00  AM,4.519,,,,
154,07/04/22 06:15:00  AM,4.519,,,,
155,07/04/22 06:30:00  AM,4.831,,,,
156,07/04/22 06:45:00  AM,5.141,,,,
157,07/04/22 07:00:00  AM,5.450,,,,
158,07/04/22 07:15:00  AM,5.655,,,,
159,07/04/22 07:30:00  AM,6.268,,,,
160,07/04/22 07:45:00  AM,7.179,,,,
161,07/04/22 08:00:00  AM,7.381,,,,
162,07/04/22 08:15:00  AM,7.381,,,,
163,07/04/22 08:30:00  AM,8.082,,,,
164,07/04/22 08:45:00  AM,8.978,,,,
165,07/04/22 09:00:00  AM,9.965,,,,
166,07/04/22 09:15:00  AM,11.916,,,,
167,07/04/22 09:30:00  AM,11.334,,,,
168,07/04/22 09:45:00  AM,11.625,,,,
169,07/04/22 10:00:00  AM,11.916,,,,
170,07/04/22 10:15:00  AM,11.916,,,,
171,07/04/22 10:30:00  AM,12.980,,,,
172,07/04/22 10:45:00  AM,13.654,,,,
173,07/04/22 11:00:00  AM,13.365,,,,
174,07/04/22 11:15:00  AM,13.461,,,,
175,07/04/22 11:30:00  AM,13.269,,,,
176,07/04/22 11:45:00  AM,14.038,,,,
177,07/04/22 12:00:00  PM,13.461,,,,
178,07/04/22 12:15:00  PM,13.654,,,,
179,07/04/22 12:30:00  PM,14.517,,,,
180,07/04/22 12:45:00  PM,14.230,,,,
181,07/04/22 01:00:00  PM,13.654,,,,
182,07/04/22 01:15:00  PM,13.365,,,,
183,07/04/22 01:30:00  PM,13.750,,,,
184,07/04/22 01:45:00  PM,13.269,,,,
185,07/04/22 02:00:00  PM,13.173,,,,
186,07/04/22 02:15:00  PM,13.461,,,,
187,07/04/22 02:30:00  PM,13.365,,,,
188,07/04/22 02:45:00  PM,13.076,,,,
189,07/04/22 03:00:00  PM,12.594,,,,
190,07/04/22 03:15:00  PM,12.690,,,,
191,07/04/22 03:30:00  PM,12.497,,,,
192,07/04/22 03:45:00  PM,12.304,,,,
193,07/04/22 04:00:00  PM,11.625,,,,
194,07/04/22 04:15:00  PM,11.139,,,,
195,07/04/22 04:30:00  PM,11.139,,,,
196,07/04/22 04:45:00  PM,11.041,,,,
197,07/04/22 05:00:00  PM,9.866,,,,
198,07/04/22 05:15:00  PM,10.553,,,,
199,07/04/22 05:30:00  PM,10.357,,,,
200,07/04/22 05:45:00  PM,10.651,,,,
201,07/04/22 06:00:00  PM,10.846,,,,
202,07/04/22 06:15:00  PM,10.651,,,,
203,07/04/22 06:30:00  PM,10.846,,,,
204,07/04/22 06:45:00  PM,10.161,,,,
205,07/04/22 07:00:00  PM,10.063,,,,
206,07/04/22 07:15:00  PM,9.669,,,,
207,07/04/22 07:30:00  PM,8.581,,,,
208,07/04/22 07:45:00  PM,7.481,,,,
209,07/04/22 08:00:00  PM,6.064,,,,
210,07/04/22 08:15:00  PM,4.519,,,,
211,07/04/22 08:30:00  PM,5.347,,,,
212,07/04/22 08:45:00  PM,7.481,,,,
213,07/04/22 09:00:00  PM,7.280,,,,
214,07/04/22 09:15:00  PM,4.934,,,,
215,07/04/22 09:30:00  PM,4.311,,,,
216,07/04/22 09:45:00  PM,4.415,,,,
217,07/04/22 10:00:00  PM,5.450,,,,
218,07/04/22 10:15:00  PM,5.037,,,,
219,07/04/22 10:30:00  PM,3.893,,,,
220,07/04/22 10:45:00  PM,3.998,,,,
221,07/04/22 11:00:00  PM,4.519,,,,
222,07/04/22 11:15:00  PM,5.450,,,,
223,07/04/22 11:30:00  PM,5.655,,,,
224,07/04/22 11:45:00  PM,5.552,,,,
225,07/05/22 12:00:00  AM,4.831,,,,
226,07/05/22 12:15:00  AM,4.207,,,,
227,07/05/22 12:30:00  AM,5.037,,,,
228,07/05/22 12:45:00  AM,5.757,,,,
229,07/05/22 01:00:00  AM,4.623,,,,
230,07/05/22 01:15:00  AM,3.998,,,,
231,07/05/22 01:30:00  AM,4.102,,,,
232,07/05/22 01:45:00  AM,5.347,,,,
233,07/05/22 02:00:00  AM,6.166,,,,
234,07/05/22 02:15:00  AM,7.280,,,,
235,07/05/22 02:30:00  AM,7.179,,,,
236,07/05/22 02:45:00  AM,6.877,,,,
237,07/05/22 03:00:00  AM,8.680,,,,
