"Plot Title: WILL_13T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547752, SEN S/N: 20547752, LBL: 10_cm)","Coupler Attached (LGR S/N: 20547752)","Host Connected (LGR S/N: 20547752)","Stopped (LGR S/N: 20547752)","End Of File (LGR S/N: 20547752)"
122,06/29/22 12:30:00  AM,11.722,,,,
123,06/29/22 01:00:00  AM,11.528,,,,
124,06/29/22 01:30:00  AM,10.846,,,,
125,06/29/22 02:00:00  AM,10.944,,,,
126,06/29/22 02:30:00  AM,11.041,,,,
127,06/29/22 03:00:00  AM,11.334,,,,
128,06/29/22 03:30:00  AM,13.558,,,,
129,06/29/22 04:00:00  AM,15.569,,,,
130,06/29/22 04:30:00  AM,15.951,,,,
131,06/29/22 05:00:00  AM,18.616,,,,
132,06/29/22 05:30:00  AM,18.045,,,,
133,06/29/22 06:00:00  AM,20.805,,,,
134,06/29/22 06:30:00  AM,20.710,,,,
135,06/29/22 07:00:00  AM,21.282,,,,
136,06/29/22 07:30:00  AM,20.996,,,,
137,06/29/22 08:00:00  AM,17.189,,,,
138,06/29/22 08:30:00  AM,16.427,,,,
139,06/29/22 09:00:00  AM,18.331,,,,
140,06/29/22 09:30:00  AM,15.473,,,,
141,06/29/22 10:00:00  AM,17.284,,,,
142,06/29/22 10:30:00  AM,16.808,,,,
143,06/29/22 11:00:00  AM,16.046,,,,
144,06/29/22 11:30:00  AM,15.091,,,,
145,06/29/22 12:00:00  PM,15.951,,,,
146,06/29/22 12:30:00  PM,16.999,,,,
147,06/29/22 01:00:00  PM,18.521,,,,
148,06/29/22 01:30:00  PM,17.950,,,,
149,06/29/22 02:00:00  PM,17.379,,,,
150,06/29/22 02:30:00  PM,19.377,,,,
151,06/29/22 03:00:00  PM,18.806,,,,
152,06/29/22 03:30:00  PM,16.903,,,,
153,06/29/22 04:00:00  PM,15.664,,,,
154,06/29/22 04:30:00  PM,14.134,,,,
155,06/29/22 05:00:00  PM,14.709,,,,
156,06/29/22 05:30:00  PM,13.558,,,,
157,06/29/22 06:00:00  PM,13.558,,,,
158,06/29/22 06:30:00  PM,15.282,,,,
159,06/29/22 07:00:00  PM,16.046,,,,
160,06/29/22 07:30:00  PM,14.804,,,,
161,06/29/22 08:00:00  PM,14.996,,,,
162,06/29/22 08:30:00  PM,12.883,,,,
163,06/29/22 09:00:00  PM,11.528,,,,
164,06/29/22 09:30:00  PM,12.690,,,,
165,06/29/22 10:00:00  PM,12.304,,,,
166,06/29/22 10:30:00  PM,11.722,,,,
167,06/29/22 11:00:00  PM,11.236,,,,
168,06/29/22 11:30:00  PM,11.334,,,,
169,06/30/22 12:00:00  AM,11.334,,,,
170,06/30/22 12:30:00  AM,11.916,,,,
171,06/30/22 01:00:00  AM,11.236,,,,
172,06/30/22 01:30:00  AM,11.722,,,,
173,06/30/22 02:00:00  AM,10.846,,,,
174,06/30/22 02:30:00  AM,11.334,,,,
175,06/30/22 03:00:00  AM,10.357,,,,
176,06/30/22 03:30:00  AM,10.161,,,,
177,06/30/22 04:00:00  AM,11.625,,,,
178,06/30/22 04:30:00  AM,12.690,,,,
179,06/30/22 05:00:00  AM,15.282,,,,
180,06/30/22 05:30:00  AM,16.332,,,,
181,06/30/22 06:00:00  AM,17.189,,,,
182,06/30/22 06:30:00  AM,17.855,,,,
183,06/30/22 07:00:00  AM,18.331,,,,
184,06/30/22 07:30:00  AM,20.710,,,,
185,06/30/22 08:00:00  AM,19.758,,,,
186,06/30/22 08:30:00  AM,20.043,,,,
187,06/30/22 09:00:00  AM,19.567,,,,
188,06/30/22 09:30:00  AM,20.138,,,,
189,06/30/22 10:00:00  AM,20.901,,,,
190,06/30/22 10:30:00  AM,21.855,,,,
191,06/30/22 11:00:00  AM,20.901,,,,
192,06/30/22 11:30:00  AM,20.043,,,,
193,06/30/22 12:00:00  PM,22.525,,,,
194,06/30/22 12:30:00  PM,21.473,,,,
195,06/30/22 01:00:00  PM,18.711,,,,
196,06/30/22 01:30:00  PM,19.187,,,,
197,06/30/22 02:00:00  PM,19.853,,,,
198,06/30/22 02:30:00  PM,19.282,,,,
199,06/30/22 03:00:00  PM,16.332,,,,
200,06/30/22 03:30:00  PM,17.379,,,,
201,06/30/22 04:00:00  PM,16.237,,,,
202,06/30/22 04:30:00  PM,16.999,,,,
203,06/30/22 05:00:00  PM,14.900,,,,
204,06/30/22 05:30:00  PM,14.230,,,,
205,06/30/22 06:00:00  PM,15.091,,,,
206,06/30/22 06:30:00  PM,15.855,,,,
207,06/30/22 07:00:00  PM,14.325,,,,
208,06/30/22 07:30:00  PM,13.750,,,,
209,06/30/22 08:00:00  PM,13.076,,,,
210,06/30/22 08:30:00  PM,11.236,,,,
211,06/30/22 09:00:00  PM,7.381,,,,
212,06/30/22 09:30:00  PM,8.282,,,,
213,06/30/22 10:00:00  PM,11.139,,,,
214,06/30/22 10:30:00  PM,8.581,,,,
215,06/30/22 11:00:00  PM,6.978,,,,
216,06/30/22 11:30:00  PM,6.877,,,,
217,07/01/22 12:00:00  AM,6.268,,,,
218,07/01/22 12:30:00  AM,5.655,,,,
219,07/01/22 01:00:00  AM,5.141,,,,
220,07/01/22 01:30:00  AM,5.141,,,,
221,07/01/22 02:00:00  AM,5.757,,,,
222,07/01/22 02:30:00  AM,5.655,,,,
