"Plot Title: MEAD_1T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9740230, SEN S/N: 9740230)","Good Battery (LGR S/N: 9740230)","Host Connected (LGR S/N: 9740230)","Coupler Attached (LGR S/N: 9740230)","Stopped (LGR S/N: 9740230)","End Of File (LGR S/N: 9740230)"
117,07/01/22 07:00:00  PM,9.768,,,,,
118,07/01/22 07:15:00  PM,9.373,,,,,
119,07/01/22 07:30:00  PM,8.978,,,,,
120,07/01/22 07:45:00  PM,8.481,,,,,
121,07/01/22 08:00:00  PM,8.282,,,,,
122,07/01/22 08:15:00  PM,7.782,,,,,
123,07/01/22 08:30:00  PM,6.877,,,,,
124,07/01/22 08:45:00  PM,6.370,,,,,
125,07/01/22 09:00:00  PM,6.370,,,,,
126,07/01/22 09:15:00  PM,6.978,,,,,
127,07/01/22 09:30:00  PM,7.079,,,,,
128,07/01/22 09:45:00  PM,6.775,,,,,
129,07/01/22 10:00:00  PM,6.978,,,,,
130,07/01/22 10:15:00  PM,6.674,,,,,
131,07/01/22 10:30:00  PM,6.573,,,,,
132,07/01/22 10:45:00  PM,6.370,,,,,
133,07/01/22 11:00:00  PM,5.860,,,,,
134,07/01/22 11:15:00  PM,6.064,,,,,
135,07/01/22 11:30:00  PM,5.962,,,,,
136,07/01/22 11:45:00  PM,5.655,,,,,
137,07/02/22 12:00:00  AM,6.268,,,,,
138,07/02/22 12:15:00  AM,6.674,,,,,
139,07/02/22 12:30:00  AM,7.381,,,,,
140,07/02/22 12:45:00  AM,8.082,,,,,
141,07/02/22 01:00:00  AM,6.573,,,,,
142,07/02/22 01:15:00  AM,5.962,,,,,
143,07/02/22 01:30:00  AM,5.962,,,,,
144,07/02/22 01:45:00  AM,5.962,,,,,
145,07/02/22 02:00:00  AM,5.757,,,,,
146,07/02/22 02:15:00  AM,5.757,,,,,
147,07/02/22 02:30:00  AM,5.450,,,,,
148,07/02/22 02:45:00  AM,4.727,,,,,
149,07/02/22 03:00:00  AM,5.962,,,,,
150,07/02/22 03:15:00  AM,7.381,,,,,
151,07/02/22 03:30:00  AM,7.280,,,,,
152,07/02/22 03:45:00  AM,7.381,,,,,
153,07/02/22 04:00:00  AM,7.582,,,,,
154,07/02/22 04:15:00  AM,7.481,,,,,
155,07/02/22 04:30:00  AM,8.182,,,,,
156,07/02/22 04:45:00  AM,8.282,,,,,
157,07/02/22 05:00:00  AM,8.182,,,,,
158,07/02/22 05:15:00  AM,8.978,,,,,
159,07/02/22 05:30:00  AM,9.176,,,,,
160,07/02/22 05:45:00  AM,8.680,,,,,
161,07/02/22 06:00:00  AM,8.879,,,,,
162,07/02/22 06:15:00  AM,7.882,,,,,
163,07/02/22 06:30:00  AM,6.370,,,,,
164,07/02/22 06:45:00  AM,6.471,,,,,
165,07/02/22 07:00:00  AM,7.179,,,,,
166,07/02/22 07:15:00  AM,7.179,,,,,
167,07/02/22 07:30:00  AM,6.674,,,,,
168,07/02/22 07:45:00  AM,7.682,,,,,
169,07/02/22 08:00:00  AM,9.176,,,,,
170,07/02/22 08:15:00  AM,9.275,,,,,
171,07/02/22 08:30:00  AM,9.472,,,,,
172,07/02/22 08:45:00  AM,9.472,,,,,
173,07/02/22 09:00:00  AM,10.161,,,,,
174,07/02/22 09:15:00  AM,11.722,,,,,
175,07/02/22 09:30:00  AM,12.690,,,,,
176,07/02/22 09:45:00  AM,12.883,,,,,
177,07/02/22 10:00:00  AM,13.269,,,,,
178,07/02/22 10:15:00  AM,14.038,,,,,
179,07/02/22 10:30:00  AM,14.804,,,,,
180,07/02/22 10:45:00  AM,16.713,,,,,
181,07/02/22 11:00:00  AM,17.665,,,,,
182,07/02/22 11:15:00  AM,17.284,,,,,
183,07/02/22 11:30:00  AM,18.045,,,,,
184,07/02/22 11:45:00  AM,18.711,,,,,
185,07/02/22 12:00:00  PM,19.567,,,,,
186,07/02/22 12:15:00  PM,19.567,,,,,
187,07/02/22 12:30:00  PM,18.711,,,,,
188,07/02/22 12:45:00  PM,18.236,,,,,
189,07/02/22 01:00:00  PM,17.475,,,,,
190,07/02/22 01:15:00  PM,17.189,,,,,
191,07/02/22 01:30:00  PM,17.189,,,,,
192,07/02/22 01:45:00  PM,16.523,,,,,
193,07/02/22 02:00:00  PM,16.618,,,,,
194,07/02/22 02:15:00  PM,17.475,,,,,
195,07/02/22 02:30:00  PM,18.521,,,,,
196,07/02/22 02:45:00  PM,17.665,,,,,
197,07/02/22 03:00:00  PM,16.141,,,,,
198,07/02/22 03:15:00  PM,15.664,,,,,
199,07/02/22 03:30:00  PM,16.237,,,,,
200,07/02/22 03:45:00  PM,16.903,,,,,
201,07/02/22 04:00:00  PM,16.999,,,,,
202,07/02/22 04:15:00  PM,15.569,,,,,
203,07/02/22 04:30:00  PM,14.709,,,,,
204,07/02/22 04:45:00  PM,14.421,,,,,
205,07/02/22 05:00:00  PM,13.076,,,,,
206,07/02/22 05:15:00  PM,12.787,,,,,
207,07/02/22 05:30:00  PM,13.558,,,,,
208,07/02/22 05:45:00  PM,12.883,,,,,
209,07/02/22 06:00:00  PM,11.431,,,,,
210,07/02/22 06:15:00  PM,10.455,,,,,
211,07/02/22 06:30:00  PM,11.431,,,,,
212,07/02/22 06:45:00  PM,11.236,,,,,
213,07/02/22 07:00:00  PM,10.748,,,,,
214,07/02/22 07:15:00  PM,10.161,,,,,
215,07/02/22 07:30:00  PM,10.161,,,,,
216,07/02/22 07:45:00  PM,8.779,,,,,
217,07/02/22 08:00:00  PM,9.176,,,,,
218,07/02/22 08:15:00  PM,9.373,,,,,
219,07/02/22 08:30:00  PM,8.978,,,,,
220,07/02/22 08:45:00  PM,7.481,,,,,
221,07/02/22 09:00:00  PM,8.182,,,,,
222,07/02/22 09:15:00  PM,8.382,,,,,
223,07/02/22 09:30:00  PM,8.481,,,,,
224,07/02/22 09:45:00  PM,7.983,,,,,
225,07/02/22 10:00:00  PM,7.682,,,,,
226,07/02/22 10:15:00  PM,7.481,,,,,
227,07/02/22 10:30:00  PM,6.978,,,,,
228,07/02/22 10:45:00  PM,6.674,,,,,
229,07/02/22 11:00:00  PM,6.370,,,,,
230,07/02/22 11:15:00  PM,6.877,,,,,
231,07/02/22 11:30:00  PM,6.978,,,,,
232,07/02/22 11:45:00  PM,6.877,,,,,
233,07/03/22 12:00:00  AM,6.471,,,,,
234,07/03/22 12:15:00  AM,6.268,,,,,
235,07/03/22 12:30:00  AM,6.268,,,,,
236,07/03/22 12:45:00  AM,5.962,,,,,
237,07/03/22 01:00:00  AM,5.757,,,,,
238,07/03/22 01:15:00  AM,6.064,,,,,
239,07/03/22 01:30:00  AM,6.268,,,,,
240,07/03/22 01:45:00  AM,6.471,,,,,
241,07/03/22 02:00:00  AM,6.775,,,,,
242,07/03/22 02:15:00  AM,6.471,,,,,
243,07/03/22 02:30:00  AM,6.064,,,,,
244,07/03/22 02:45:00  AM,5.655,,,,,
245,07/03/22 03:00:00  AM,5.347,,,,,
246,07/03/22 03:15:00  AM,5.244,,,,,
