"Plot Title: MEAD_6T"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10117436, SEN S/N: 10117436)","Good Battery (LGR S/N: 10117436)","Coupler Attached (LGR S/N: 10117436)","Host Connected (LGR S/N: 10117436)","Stopped (LGR S/N: 10117436)","End Of File (LGR S/N: 10117436)"
117,07/01/22 07:00:00  PM,10.357,,,,,
118,07/01/22 07:15:00  PM,9.768,,,,,
119,07/01/22 07:30:00  PM,9.275,,,,,
120,07/01/22 07:45:00  PM,8.680,,,,,
121,07/01/22 08:00:00  PM,8.481,,,,,
122,07/01/22 08:15:00  PM,8.082,,,,,
123,07/01/22 08:30:00  PM,7.481,,,,,
124,07/01/22 08:45:00  PM,6.877,,,,,
125,07/01/22 09:00:00  PM,7.079,,,,,
126,07/01/22 09:15:00  PM,7.079,,,,,
127,07/01/22 09:30:00  PM,7.179,,,,,
128,07/01/22 09:45:00  PM,6.978,,,,,
129,07/01/22 10:00:00  PM,7.280,,,,,
130,07/01/22 10:15:00  PM,7.079,,,,,
131,07/01/22 10:30:00  PM,6.978,,,,,
132,07/01/22 10:45:00  PM,6.877,,,,,
133,07/01/22 11:00:00  PM,6.166,,,,,
134,07/01/22 11:15:00  PM,6.166,,,,,
135,07/01/22 11:30:00  PM,6.370,,,,,
136,07/01/22 11:45:00  PM,6.268,,,,,
137,07/02/22 12:00:00  AM,6.877,,,,,
138,07/02/22 12:15:00  AM,7.179,,,,,
139,07/02/22 12:30:00  AM,7.782,,,,,
140,07/02/22 12:45:00  AM,8.382,,,,,
141,07/02/22 01:00:00  AM,6.877,,,,,
142,07/02/22 01:15:00  AM,6.471,,,,,
143,07/02/22 01:30:00  AM,6.268,,,,,
144,07/02/22 01:45:00  AM,6.370,,,,,
145,07/02/22 02:00:00  AM,6.166,,,,,
146,07/02/22 02:15:00  AM,6.166,,,,,
147,07/02/22 02:30:00  AM,5.860,,,,,
148,07/02/22 02:45:00  AM,5.244,,,,,
149,07/02/22 03:00:00  AM,6.166,,,,,
150,07/02/22 03:15:00  AM,7.280,,,,,
151,07/02/22 03:30:00  AM,7.280,,,,,
152,07/02/22 03:45:00  AM,7.381,,,,,
153,07/02/22 04:00:00  AM,7.481,,,,,
154,07/02/22 04:15:00  AM,7.582,,,,,
155,07/02/22 04:30:00  AM,8.182,,,,,
156,07/02/22 04:45:00  AM,8.481,,,,,
157,07/02/22 05:00:00  AM,8.282,,,,,
158,07/02/22 05:15:00  AM,8.779,,,,,
159,07/02/22 05:30:00  AM,9.077,,,,,
160,07/02/22 05:45:00  AM,8.680,,,,,
161,07/02/22 06:00:00  AM,8.978,,,,,
162,07/02/22 06:15:00  AM,8.082,,,,,
163,07/02/22 06:30:00  AM,6.573,,,,,
164,07/02/22 06:45:00  AM,6.166,,,,,
165,07/02/22 07:00:00  AM,6.573,,,,,
166,07/02/22 07:15:00  AM,6.674,,,,,
167,07/02/22 07:30:00  AM,6.370,,,,,
168,07/02/22 07:45:00  AM,7.280,,,,,
169,07/02/22 08:00:00  AM,8.382,,,,,
170,07/02/22 08:15:00  AM,8.481,,,,,
171,07/02/22 08:30:00  AM,8.481,,,,,
172,07/02/22 08:45:00  AM,8.282,,,,,
173,07/02/22 09:00:00  AM,8.978,,,,,
174,07/02/22 09:15:00  AM,10.748,,,,,
175,07/02/22 09:30:00  AM,12.110,,,,,
176,07/02/22 09:45:00  AM,13.076,,,,,
177,07/02/22 10:00:00  AM,13.461,,,,,
178,07/02/22 10:15:00  AM,13.654,,,,,
179,07/02/22 10:30:00  AM,14.421,,,,,
180,07/02/22 10:45:00  AM,15.473,,,,,
181,07/02/22 11:00:00  AM,16.237,,,,,
182,07/02/22 11:15:00  AM,16.141,,,,,
183,07/02/22 11:30:00  AM,16.808,,,,,
184,07/02/22 11:45:00  AM,17.379,,,,,
185,07/02/22 12:00:00  PM,18.140,,,,,
186,07/02/22 12:15:00  PM,18.331,,,,,
187,07/02/22 12:30:00  PM,17.855,,,,,
188,07/02/22 12:45:00  PM,17.570,,,,,
189,07/02/22 01:00:00  PM,16.808,,,,,
190,07/02/22 01:15:00  PM,16.332,,,,,
191,07/02/22 01:30:00  PM,16.618,,,,,
192,07/02/22 01:45:00  PM,16.523,,,,,
193,07/02/22 02:00:00  PM,16.332,,,,,
194,07/02/22 02:15:00  PM,16.808,,,,,
195,07/02/22 02:30:00  PM,17.760,,,,,
196,07/02/22 02:45:00  PM,17.665,,,,,
197,07/02/22 03:00:00  PM,16.237,,,,,
198,07/02/22 03:15:00  PM,15.569,,,,,
199,07/02/22 03:30:00  PM,15.664,,,,,
200,07/02/22 03:45:00  PM,16.237,,,,,
201,07/02/22 04:00:00  PM,16.046,,,,,
202,07/02/22 04:15:00  PM,15.091,,,,,
203,07/02/22 04:30:00  PM,13.942,,,,,
204,07/02/22 04:45:00  PM,13.942,,,,,
205,07/02/22 05:00:00  PM,12.980,,,,,
206,07/02/22 05:15:00  PM,12.594,,,,,
207,07/02/22 05:30:00  PM,13.269,,,,,
208,07/02/22 05:45:00  PM,12.497,,,,,
209,07/02/22 06:00:00  PM,11.528,,,,,
210,07/02/22 06:15:00  PM,10.944,,,,,
211,07/02/22 06:30:00  PM,11.625,,,,,
212,07/02/22 06:45:00  PM,11.334,,,,,
213,07/02/22 07:00:00  PM,10.944,,,,,
214,07/02/22 07:15:00  PM,10.651,,,,,
215,07/02/22 07:30:00  PM,10.455,,,,,
216,07/02/22 07:45:00  PM,9.077,,,,,
217,07/02/22 08:00:00  PM,9.373,,,,,
218,07/02/22 08:15:00  PM,9.472,,,,,
219,07/02/22 08:30:00  PM,9.077,,,,,
220,07/02/22 08:45:00  PM,7.782,,,,,
