"Plot Title: MEAD_12T_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547744, SEN S/N: 20547744, LBL: 10cm_air_CO2)","Good Battery (LGR S/N: 20547744)","Coupler Attached (LGR S/N: 20547744)","Host Connected (LGR S/N: 20547744)","Stopped (LGR S/N: 20547744)","End Of File (LGR S/N: 20547744)"
117,07/03/22 12:00:00  AM,6.166,,,,,
118,07/03/22 12:30:00  AM,6.064,,,,,
119,07/03/22 01:00:00  AM,5.347,,,,,
120,07/03/22 01:30:00  AM,5.655,,,,,
121,07/03/22 02:00:00  AM,6.268,,,,,
122,07/03/22 02:30:00  AM,5.347,,,,,
123,07/03/22 03:00:00  AM,4.623,,,,,
124,07/03/22 03:30:00  AM,4.207,,,,,
125,07/03/22 04:00:00  AM,4.207,,,,,
126,07/03/22 04:30:00  AM,4.727,,,,,
127,07/03/22 05:00:00  AM,3.998,,,,,
128,07/03/22 05:30:00  AM,3.998,,,,,
129,07/03/22 06:00:00  AM,5.037,,,,,
130,07/03/22 06:30:00  AM,5.347,,,,,
131,07/03/22 07:00:00  AM,6.978,,,,,
132,07/03/22 07:30:00  AM,8.581,,,,,
133,07/03/22 08:00:00  AM,7.882,,,,,
134,07/03/22 08:30:00  AM,8.182,,,,,
135,07/03/22 09:00:00  AM,8.382,,,,,
136,07/03/22 09:30:00  AM,7.481,,,,,
137,07/03/22 10:00:00  AM,7.782,,,,,
138,07/03/22 10:30:00  AM,8.978,,,,,
139,07/03/22 11:00:00  AM,9.275,,,,,
140,07/03/22 11:30:00  AM,9.373,,,,,
141,07/03/22 12:00:00  PM,8.879,,,,,
142,07/03/22 12:30:00  PM,8.581,,,,,
143,07/03/22 01:00:00  PM,8.382,,,,,
144,07/03/22 01:30:00  PM,7.983,,,,,
145,07/03/22 02:00:00  PM,7.381,,,,,
146,07/03/22 02:30:00  PM,7.381,,,,,
147,07/03/22 03:00:00  PM,7.481,,,,,
148,07/03/22 03:30:00  PM,7.582,,,,,
149,07/03/22 04:00:00  PM,6.674,,,,,
150,07/03/22 04:30:00  PM,6.573,,,,,
151,07/03/22 05:00:00  PM,6.573,,,,,
152,07/03/22 05:30:00  PM,6.471,,,,,
153,07/03/22 06:00:00  PM,6.166,,,,,
154,07/03/22 06:30:00  PM,5.347,,,,,
155,07/03/22 07:00:00  PM,6.064,,,,,
156,07/03/22 07:30:00  PM,5.655,,,,,
157,07/03/22 08:00:00  PM,5.037,,,,,
158,07/03/22 08:30:00  PM,4.727,,,,,
159,07/03/22 09:00:00  PM,4.727,,,,,
160,07/03/22 09:30:00  PM,4.207,,,,,
161,07/03/22 10:00:00  PM,3.788,,,,,
162,07/03/22 10:30:00  PM,3.367,,,,,
163,07/03/22 11:00:00  PM,3.155,,,,,
164,07/03/22 11:30:00  PM,3.049,,,,,
165,07/04/22 12:00:00  AM,3.367,,,,,
166,07/04/22 12:30:00  AM,3.578,,,,,
167,07/04/22 01:00:00  AM,3.683,,,,,
168,07/04/22 01:30:00  AM,3.788,,,,,
169,07/04/22 02:00:00  AM,3.998,,,,,
170,07/04/22 02:30:00  AM,4.934,,,,,
171,07/04/22 03:00:00  AM,5.141,,,,,
172,07/04/22 03:30:00  AM,5.037,,,,,
173,07/04/22 04:00:00  AM,5.037,,,,,
174,07/04/22 04:30:00  AM,5.347,,,,,
175,07/04/22 05:00:00  AM,5.757,,,,,
176,07/04/22 05:30:00  AM,6.064,,,,,
177,07/04/22 06:00:00  AM,6.166,,,,,
178,07/04/22 06:30:00  AM,6.370,,,,,
179,07/04/22 07:00:00  AM,7.682,,,,,
180,07/04/22 07:30:00  AM,8.978,,,,,
181,07/04/22 08:00:00  AM,9.965,,,,,
182,07/04/22 08:30:00  AM,11.139,,,,,
183,07/04/22 09:00:00  AM,12.401,,,,,
184,07/04/22 09:30:00  AM,13.654,,,,,
185,07/04/22 10:00:00  AM,14.517,,,,,
186,07/04/22 10:30:00  AM,17.855,,,,,
187,07/04/22 11:00:00  AM,19.948,,,,,
188,07/04/22 11:30:00  AM,21.282,,,,,
189,07/04/22 12:00:00  PM,22.717,,,,,
190,07/04/22 12:30:00  PM,23.388,,,,,
191,07/04/22 01:00:00  PM,23.196,,,,,
192,07/04/22 01:30:00  PM,21.378,,,,,
193,07/04/22 02:00:00  PM,18.901,,,,,
194,07/04/22 02:30:00  PM,18.045,,,,,
195,07/04/22 03:00:00  PM,18.331,,,,,
196,07/04/22 03:30:00  PM,18.901,,,,,
197,07/04/22 04:00:00  PM,19.187,,,,,
198,07/04/22 04:30:00  PM,18.426,,,,,
199,07/04/22 05:00:00  PM,17.284,,,,,
200,07/04/22 05:30:00  PM,16.237,,,,,
201,07/04/22 06:00:00  PM,14.996,,,,,
202,07/04/22 06:30:00  PM,14.134,,,,,
203,07/04/22 07:00:00  PM,13.461,,,,,
204,07/04/22 07:30:00  PM,11.528,,,,,
205,07/04/22 08:00:00  PM,9.176,,,,,
206,07/04/22 08:30:00  PM,7.882,,,,,
207,07/04/22 09:00:00  PM,10.063,,,,,
208,07/04/22 09:30:00  PM,8.879,,,,,
209,07/04/22 10:00:00  PM,7.983,,,,,
210,07/04/22 10:30:00  PM,8.382,,,,,
211,07/04/22 11:00:00  PM,8.481,,,,,
212,07/04/22 11:30:00  PM,9.965,,,,,
213,07/05/22 12:00:00  AM,11.139,,,,,
214,07/05/22 12:30:00  AM,10.846,,,,,
215,07/05/22 01:00:00  AM,10.455,,,,,
216,07/05/22 01:30:00  AM,9.768,,,,,
217,07/05/22 02:00:00  AM,9.373,,,,,
218,07/05/22 02:30:00  AM,11.236,,,,,
219,07/05/22 03:00:00  AM,12.401,,,,,
220,07/05/22 03:30:00  AM,13.173,,,,,
221,07/05/22 04:00:00  AM,13.269,,,,,
222,07/05/22 04:30:00  AM,11.625,,,,,
223,07/05/22 05:00:00  AM,10.063,,,,,
224,07/05/22 05:30:00  AM,11.528,,,,,
225,07/05/22 06:00:00  AM,12.401,,,,,
226,07/05/22 06:30:00  AM,12.787,,,,,
227,07/05/22 07:00:00  AM,14.038,,,,,
228,07/05/22 07:30:00  AM,14.613,,,,,
229,07/05/22 08:00:00  AM,16.141,,,,,
230,07/05/22 08:30:00  AM,17.760,,,,,
231,07/05/22 09:00:00  AM,18.331,,,,,
232,07/05/22 09:30:00  AM,19.758,,,,,
233,07/05/22 10:00:00  AM,20.615,,,,,
234,07/05/22 10:30:00  AM,21.187,,,,,
235,07/05/22 11:00:00  AM,22.525,,,,,
236,07/05/22 11:30:00  AM,22.525,,,,,
237,07/05/22 12:00:00  PM,22.525,,,,,
238,07/05/22 12:30:00  PM,24.545,,,,,
239,07/05/22 01:00:00  PM,24.545,,,,,
240,07/05/22 01:30:00  PM,22.908,,,,,
241,07/05/22 02:00:00  PM,19.948,,,,,
242,07/05/22 02:30:00  PM,20.901,,,,,
243,07/05/22 03:00:00  PM,20.710,,,,,
244,07/05/22 03:30:00  PM,21.187,,,,,
245,07/05/22 04:00:00  PM,15.951,,,,,
246,07/05/22 04:30:00  PM,15.187,,,,,
247,07/05/22 05:00:00  PM,16.332,,,,,
248,07/05/22 05:30:00  PM,13.558,,,,,
249,07/05/22 06:00:00  PM,12.594,,,,,
250,07/05/22 06:30:00  PM,12.207,,,,,
251,07/05/22 07:00:00  PM,10.455,,,,,
252,07/05/22 07:30:00  PM,8.978,,,,,
253,07/05/22 08:00:00  PM,7.582,,,,,
254,07/05/22 08:30:00  PM,7.481,,,,,
255,07/05/22 09:00:00  PM,6.775,,,,,
256,07/05/22 09:30:00  PM,6.674,,,,,
257,07/05/22 10:00:00  PM,6.268,,,,,
258,07/05/22 10:30:00  PM,5.655,,,,,
259,07/05/22 11:00:00  PM,6.370,,,,,
260,07/05/22 11:30:00  PM,5.860,,,,,
261,07/06/22 12:00:00  AM,5.757,,,,,
262,07/06/22 12:30:00  AM,5.757,,,,,
263,07/06/22 01:00:00  AM,5.962,,,,,
264,07/06/22 01:30:00  AM,6.674,,,,,
265,07/06/22 02:00:00  AM,6.978,,,,,
266,07/06/22 02:30:00  AM,6.877,,,,,
267,07/06/22 03:00:00  AM,6.877,,,,,
268,07/06/22 03:30:00  AM,7.582,,,,,
269,07/06/22 04:00:00  AM,7.079,,,,,
270,07/06/22 04:30:00  AM,7.381,,,,,
271,07/06/22 05:00:00  AM,7.481,,,,,
272,07/06/22 05:30:00  AM,7.682,,,,,
273,07/06/22 06:00:00  AM,6.166,,,,,
274,07/06/22 06:30:00  AM,5.244,,,,,
275,07/06/22 07:00:00  AM,4.623,,,,,
276,07/06/22 07:30:00  AM,4.519,,,,,
277,07/06/22 08:00:00  AM,5.757,,,,,
278,07/06/22 08:30:00  AM,7.381,,,,,
279,07/06/22 09:00:00  AM,6.978,,,,,
280,07/06/22 09:30:00  AM,7.481,,,,,
281,07/06/22 10:00:00  AM,8.879,,,,,
282,07/06/22 10:30:00  AM,8.481,,,,,
283,07/06/22 11:00:00  AM,9.176,,,,,
284,07/06/22 11:30:00  AM,9.373,,,,,
285,07/06/22 12:00:00  PM,9.571,,,,,
286,07/06/22 12:30:00  PM,9.571,,,,,
287,07/06/22 01:00:00  PM,8.779,,,,,
288,07/06/22 01:30:00  PM,8.481,,,,,
289,07/06/22 02:00:00  PM,8.680,,,,,
290,07/06/22 02:30:00  PM,9.373,,,,,
291,07/06/22 03:00:00  PM,9.965,,,,,
292,07/06/22 03:30:00  PM,11.334,,,,,
293,07/06/22 04:00:00  PM,10.846,,,,,
294,07/06/22 04:30:00  PM,10.161,,,,,
295,07/06/22 05:00:00  PM,9.571,,,,,
296,07/06/22 05:30:00  PM,9.472,,,,,
297,07/06/22 06:00:00  PM,9.472,,,,,
298,07/06/22 06:30:00  PM,9.176,,,,,
299,07/06/22 07:00:00  PM,9.275,,,,,
300,07/06/22 07:30:00  PM,9.571,,,,,
301,07/06/22 08:00:00  PM,8.879,,,,,
302,07/06/22 08:30:00  PM,8.978,,,,,
303,07/06/22 09:00:00  PM,8.082,,,,,
304,07/06/22 09:30:00  PM,7.481,,,,,
305,07/06/22 10:00:00  PM,7.079,,,,,
306,07/06/22 10:30:00  PM,6.775,,,,,
307,07/06/22 11:00:00  PM,6.674,,,,,
308,07/06/22 11:30:00  PM,6.370,,,,,
309,07/07/22 12:00:00  AM,6.166,,,,,
310,07/07/22 12:30:00  AM,6.064,,,,,
311,07/07/22 01:00:00  AM,5.655,,,,,
312,07/07/22 01:30:00  AM,5.655,,,,,
313,07/07/22 02:00:00  AM,6.166,,,,,
314,07/07/22 02:30:00  AM,6.978,,,,,
315,07/07/22 03:00:00  AM,9.373,,,,,
316,07/07/22 03:30:00  AM,12.497,,,,,
317,07/07/22 04:00:00  AM,12.787,,,,,
318,07/07/22 04:30:00  AM,13.942,,,,,
319,07/07/22 05:00:00  AM,11.819,,,,,
320,07/07/22 05:30:00  AM,11.916,,,,,
321,07/07/22 06:00:00  AM,12.013,,,,,
322,07/07/22 06:30:00  AM,13.269,,,,,
323,07/07/22 07:00:00  AM,13.846,,,,,
324,07/07/22 07:30:00  AM,14.804,,,,,
325,07/07/22 08:00:00  AM,16.618,,,,,
326,07/07/22 08:30:00  AM,17.855,,,,,
327,07/07/22 09:00:00  AM,18.806,,,,,
328,07/07/22 09:30:00  AM,19.662,,,,,
329,07/07/22 10:00:00  AM,20.424,,,,,
330,07/07/22 10:30:00  AM,21.091,,,,,
331,07/07/22 11:00:00  AM,22.812,,,,,
332,07/07/22 11:30:00  AM,23.581,,,,,
333,07/07/22 12:00:00  PM,24.931,,,,,
334,07/07/22 12:30:00  PM,26.097,,,,,
335,07/07/22 01:00:00  PM,26.000,,,,,
336,07/07/22 01:30:00  PM,23.869,,,,,
337,07/07/22 02:00:00  PM,20.996,,,,,
338,07/07/22 02:30:00  PM,21.091,,,,,
339,07/07/22 03:00:00  PM,20.519,,,,,
340,07/07/22 03:30:00  PM,20.805,,,,,
341,07/07/22 04:00:00  PM,21.664,,,,,
342,07/07/22 04:30:00  PM,21.569,,,,,
343,07/07/22 05:00:00  PM,19.758,,,,,
344,07/07/22 05:30:00  PM,18.331,,,,,
345,07/07/22 06:00:00  PM,17.855,,,,,
346,07/07/22 06:30:00  PM,16.999,,,,,
347,07/07/22 07:00:00  PM,15.282,,,,,
348,07/07/22 07:30:00  PM,14.709,,,,,
349,07/07/22 08:00:00  PM,14.038,,,,,
350,07/07/22 08:30:00  PM,13.846,,,,,
351,07/07/22 09:00:00  PM,13.076,,,,,
352,07/07/22 09:30:00  PM,13.269,,,,,
353,07/07/22 10:00:00  PM,12.594,,,,,
354,07/07/22 10:30:00  PM,11.625,,,,,
355,07/07/22 11:00:00  PM,10.455,,,,,
356,07/07/22 11:30:00  PM,10.748,,,,,
357,07/08/22 12:00:00  AM,11.236,,,,,
358,07/08/22 12:30:00  AM,11.625,,,,,
359,07/08/22 01:00:00  AM,11.819,,,,,
360,07/08/22 01:30:00  AM,11.819,,,,,
361,07/08/22 02:00:00  AM,12.304,,,,,
362,07/08/22 02:30:00  AM,12.013,,,,,
363,07/08/22 03:00:00  AM,12.594,,,,,
364,07/08/22 03:30:00  AM,12.110,,,,,
365,07/08/22 04:00:00  AM,11.916,,,,,
366,07/08/22 04:30:00  AM,12.497,,,,,
367,07/08/22 05:00:00  AM,13.173,,,,,
368,07/08/22 05:30:00  AM,12.497,,,,,
369,07/08/22 06:00:00  AM,13.654,,,,,
370,07/08/22 06:30:00  AM,13.269,,,,,
371,07/08/22 07:00:00  AM,15.187,,,,,
372,07/08/22 07:30:00  AM,13.461,,,,,
373,07/08/22 08:00:00  AM,17.189,,,,,
374,07/08/22 08:30:00  AM,16.523,,,,,
375,07/08/22 09:00:00  AM,19.472,,,,,
376,07/08/22 09:30:00  AM,19.567,,,,,
377,07/08/22 10:00:00  AM,18.331,,,,,
378,07/08/22 10:30:00  AM,15.282,,,,,
379,07/08/22 11:00:00  AM,21.473,,,,,
380,07/08/22 11:30:00  AM,14.517,,,,,
381,07/08/22 12:00:00  PM,17.950,,,,,
382,07/08/22 12:30:00  PM,19.377,,,,,
383,07/08/22 01:00:00  PM,20.519,,,,,
384,07/08/22 01:30:00  PM,15.091,,,,,
385,07/08/22 02:00:00  PM,11.625,,,,,
386,07/08/22 02:30:00  PM,10.748,,,,,
387,07/08/22 03:00:00  PM,10.357,,,,,
388,07/08/22 03:30:00  PM,8.879,,,,,
389,07/08/22 04:00:00  PM,8.481,,,,,
390,07/08/22 04:30:00  PM,7.381,,,,,
391,07/08/22 05:00:00  PM,8.779,,,,,
392,07/08/22 05:30:00  PM,10.063,,,,,
393,07/08/22 06:00:00  PM,9.965,,,,,
394,07/08/22 06:30:00  PM,8.779,,,,,
395,07/08/22 07:00:00  PM,14.325,,,,,
396,07/08/22 07:30:00  PM,15.569,,,,,
397,07/08/22 08:00:00  PM,9.669,,,,,
398,07/08/22 08:30:00  PM,7.682,,,,,
399,07/08/22 09:00:00  PM,6.877,,,,,
400,07/08/22 09:30:00  PM,7.280,,,,,
401,07/08/22 10:00:00  PM,6.471,,,,,
402,07/08/22 10:30:00  PM,6.166,,,,,
403,07/08/22 11:00:00  PM,5.552,,,,,
404,07/08/22 11:30:00  PM,5.141,,,,,
405,07/09/22 12:00:00  AM,5.962,,,,,
406,07/09/22 12:30:00  AM,5.347,,,,,
407,07/09/22 01:00:00  AM,6.573,,,,,
408,07/09/22 01:30:00  AM,7.481,,,,,
409,07/09/22 02:00:00  AM,6.573,,,,,
410,07/09/22 02:30:00  AM,7.682,,,,,
411,07/09/22 03:00:00  AM,8.481,,,,,
412,07/09/22 03:30:00  AM,8.680,,,,,
413,07/09/22 04:00:00  AM,12.013,,,,,
414,07/09/22 04:30:00  AM,13.750,,,,,
415,07/09/22 05:00:00  AM,13.076,,,,,
416,07/09/22 05:30:00  AM,11.722,,,,,
417,07/09/22 06:00:00  AM,11.625,,,,,
418,07/09/22 06:30:00  AM,12.013,,,,,
419,07/09/22 07:00:00  AM,12.497,,,,,
420,07/09/22 07:30:00  AM,12.980,,,,,
421,07/09/22 08:00:00  AM,15.569,,,,,
422,07/09/22 08:30:00  AM,18.521,,,,,
423,07/09/22 09:00:00  AM,21.091,,,,,
424,07/09/22 09:30:00  AM,20.138,,,,,
425,07/09/22 10:00:00  AM,17.950,,,,,
426,07/09/22 10:30:00  AM,16.903,,,,,
427,07/09/22 11:00:00  AM,21.378,,,,,
428,07/09/22 11:30:00  AM,21.473,,,,,
429,07/09/22 12:00:00  PM,23.966,,,,,
430,07/09/22 12:30:00  PM,20.710,,,,,
431,07/09/22 01:00:00  PM,19.853,,,,,
432,07/09/22 01:30:00  PM,23.196,,,,,
433,07/09/22 02:00:00  PM,22.333,,,,,
434,07/09/22 02:30:00  PM,22.238,,,,,
435,07/09/22 03:00:00  PM,21.569,,,,,
436,07/09/22 03:30:00  PM,17.379,,,,,
437,07/09/22 04:00:00  PM,18.901,,,,,
438,07/09/22 04:30:00  PM,18.426,,,,,
439,07/09/22 05:00:00  PM,10.553,,,,,
440,07/09/22 05:30:00  PM,12.497,,,,,
441,07/09/22 06:00:00  PM,10.846,,,,,
442,07/09/22 06:30:00  PM,15.282,,,,,
443,07/09/22 07:00:00  PM,12.497,,,,,
444,07/09/22 07:30:00  PM,11.334,,,,,
445,07/09/22 08:00:00  PM,12.110,,,,,
446,07/09/22 08:30:00  PM,8.382,,,,,
447,07/09/22 09:00:00  PM,7.280,,,,,
448,07/09/22 09:30:00  PM,8.879,,,,,
449,07/09/22 10:00:00  PM,7.381,,,,,
450,07/09/22 10:30:00  PM,8.680,,,,,
451,07/09/22 11:00:00  PM,8.481,,,,,
452,07/09/22 11:30:00  PM,8.680,,,,,
453,07/10/22 12:00:00  AM,9.472,,,,,
454,07/10/22 12:30:00  AM,8.680,,,,,
455,07/10/22 01:00:00  AM,6.268,,,,,
456,07/10/22 01:30:00  AM,6.877,,,,,
457,07/10/22 02:00:00  AM,8.182,,,,,
458,07/10/22 02:30:00  AM,8.680,,,,,
459,07/10/22 03:00:00  AM,10.161,,,,,
460,07/10/22 03:30:00  AM,10.357,,,,,
461,07/10/22 04:00:00  AM,10.944,,,,,
462,07/10/22 04:30:00  AM,9.571,,,,,
463,07/10/22 05:00:00  AM,10.259,,,,,
464,07/10/22 05:30:00  AM,11.431,,,,,
465,07/10/22 06:00:00  AM,10.944,,,,,
466,07/10/22 06:30:00  AM,10.553,,,,,
467,07/10/22 07:00:00  AM,10.161,,,,,
468,07/10/22 07:30:00  AM,8.282,,,,,
469,07/10/22 08:00:00  AM,9.077,,,,,
470,07/10/22 08:30:00  AM,8.382,,,,,
471,07/10/22 09:00:00  AM,10.063,,,,,
472,07/10/22 09:30:00  AM,10.651,,,,,
473,07/10/22 10:00:00  AM,9.768,,,,,
474,07/10/22 10:30:00  AM,9.176,,,,,
475,07/10/22 11:00:00  AM,9.176,,,,,
476,07/10/22 11:30:00  AM,10.259,,,,,
477,07/10/22 12:00:00  PM,10.063,,,,,
478,07/10/22 12:30:00  PM,9.275,,,,,
479,07/10/22 01:00:00  PM,10.846,,,,,
480,07/10/22 01:30:00  PM,10.455,,,,,
481,07/10/22 02:00:00  PM,12.980,,,,,
482,07/10/22 02:30:00  PM,13.750,,,,,
483,07/10/22 03:00:00  PM,13.846,,,,,
484,07/10/22 03:30:00  PM,15.569,,,,,
485,07/10/22 04:00:00  PM,21.187,,,,,
486,07/10/22 04:30:00  PM,20.901,,,,,
487,07/10/22 05:00:00  PM,20.710,,,,,
488,07/10/22 05:30:00  PM,20.234,,,,,
489,07/10/22 06:00:00  PM,19.187,,,,,
490,07/10/22 06:30:00  PM,19.282,,,,,
491,07/10/22 07:00:00  PM,16.808,,,,,
492,07/10/22 07:30:00  PM,16.999,,,,,
493,07/10/22 08:00:00  PM,17.094,,,,,
494,07/10/22 08:30:00  PM,15.951,,,,,
495,07/10/22 09:00:00  PM,14.230,,,,,
