"Plot Title: MEAD_T13_CO2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20547750, SEN S/N: 20547750, LBL: 10cm_air_CO2)","Coupler Attached (LGR S/N: 20547750)","Host Connected (LGR S/N: 20547750)","Stopped (LGR S/N: 20547750)","End Of File (LGR S/N: 20547750)"
122,07/03/22 02:30:00  AM,5.347,,,,
123,07/03/22 03:00:00  AM,4.727,,,,
124,07/03/22 03:30:00  AM,4.207,,,,
125,07/03/22 04:00:00  AM,4.519,,,,
126,07/03/22 04:30:00  AM,4.934,,,,
127,07/03/22 05:00:00  AM,4.102,,,,
128,07/03/22 05:30:00  AM,4.311,,,,
129,07/03/22 06:00:00  AM,5.244,,,,
130,07/03/22 06:30:00  AM,5.962,,,,
131,07/03/22 07:00:00  AM,7.983,,,,
132,07/03/22 07:30:00  AM,10.259,,,,
133,07/03/22 08:00:00  AM,8.978,,,,
134,07/03/22 08:30:00  AM,9.275,,,,
135,07/03/22 09:00:00  AM,9.768,,,,
136,07/03/22 09:30:00  AM,8.481,,,,
137,07/03/22 10:00:00  AM,8.879,,,,
138,07/03/22 10:30:00  AM,10.651,,,,
139,07/03/22 11:00:00  AM,10.748,,,,
140,07/03/22 11:30:00  AM,10.846,,,,
141,07/03/22 12:00:00  PM,10.357,,,,
142,07/03/22 12:30:00  PM,9.571,,,,
143,07/03/22 01:00:00  PM,9.275,,,,
144,07/03/22 01:30:00  PM,8.382,,,,
145,07/03/22 02:00:00  PM,8.082,,,,
146,07/03/22 02:30:00  PM,8.182,,,,
147,07/03/22 03:00:00  PM,8.282,,,,
148,07/03/22 03:30:00  PM,8.382,,,,
149,07/03/22 04:00:00  PM,7.079,,,,
150,07/03/22 04:30:00  PM,6.978,,,,
151,07/03/22 05:00:00  PM,7.179,,,,
152,07/03/22 05:30:00  PM,7.079,,,,
153,07/03/22 06:00:00  PM,6.674,,,,
154,07/03/22 06:30:00  PM,5.757,,,,
155,07/03/22 07:00:00  PM,6.573,,,,
156,07/03/22 07:30:00  PM,6.064,,,,
157,07/03/22 08:00:00  PM,5.347,,,,
158,07/03/22 08:30:00  PM,5.141,,,,
159,07/03/22 09:00:00  PM,5.037,,,,
160,07/03/22 09:30:00  PM,4.311,,,,
161,07/03/22 10:00:00  PM,3.788,,,,
162,07/03/22 10:30:00  PM,3.367,,,,
163,07/03/22 11:00:00  PM,3.261,,,,
164,07/03/22 11:30:00  PM,3.155,,,,
165,07/04/22 12:00:00  AM,3.472,,,,
166,07/04/22 12:30:00  AM,3.683,,,,
167,07/04/22 01:00:00  AM,3.998,,,,
168,07/04/22 01:30:00  AM,3.998,,,,
169,07/04/22 02:00:00  AM,4.415,,,,
170,07/04/22 02:30:00  AM,4.831,,,,
171,07/04/22 03:00:00  AM,5.450,,,,
172,07/04/22 03:30:00  AM,5.450,,,,
173,07/04/22 04:00:00  AM,5.347,,,,
174,07/04/22 04:30:00  AM,5.757,,,,
175,07/04/22 05:00:00  AM,6.268,,,,
176,07/04/22 05:30:00  AM,6.471,,,,
177,07/04/22 06:00:00  AM,6.674,,,,
178,07/04/22 06:30:00  AM,7.280,,,,
179,07/04/22 07:00:00  AM,8.779,,,,
180,07/04/22 07:30:00  AM,10.259,,,,
181,07/04/22 08:00:00  AM,12.013,,,,
182,07/04/22 08:30:00  AM,13.846,,,,
183,07/04/22 09:00:00  AM,16.903,,,,
184,07/04/22 09:30:00  AM,18.521,,,,
185,07/04/22 10:00:00  AM,16.713,,,,
186,07/04/22 10:30:00  AM,21.282,,,,
187,07/04/22 11:00:00  AM,22.621,,,,
188,07/04/22 11:30:00  AM,23.292,,,,
189,07/04/22 12:00:00  PM,24.351,,,,
190,07/04/22 12:30:00  PM,24.351,,,,
191,07/04/22 01:00:00  PM,25.222,,,,
192,07/04/22 01:30:00  PM,24.351,,,,
193,07/04/22 02:00:00  PM,23.581,,,,
194,07/04/22 02:30:00  PM,19.662,,,,
195,07/04/22 03:00:00  PM,19.377,,,,
196,07/04/22 03:30:00  PM,19.948,,,,
197,07/04/22 04:00:00  PM,19.377,,,,
198,07/04/22 04:30:00  PM,18.616,,,,
199,07/04/22 05:00:00  PM,17.189,,,,
200,07/04/22 05:30:00  PM,16.999,,,,
201,07/04/22 06:00:00  PM,15.569,,,,
202,07/04/22 06:30:00  PM,14.900,,,,
203,07/04/22 07:00:00  PM,14.325,,,,
204,07/04/22 07:30:00  PM,11.625,,,,
205,07/04/22 08:00:00  PM,8.481,,,,
206,07/04/22 08:30:00  PM,7.481,,,,
207,07/04/22 09:00:00  PM,9.373,,,,
208,07/04/22 09:30:00  PM,7.882,,,,
209,07/04/22 10:00:00  PM,7.582,,,,
210,07/04/22 10:30:00  PM,6.877,,,,
211,07/04/22 11:00:00  PM,7.481,,,,
212,07/04/22 11:30:00  PM,8.581,,,,
213,07/05/22 12:00:00  AM,9.472,,,,
214,07/05/22 12:30:00  AM,9.571,,,,
215,07/05/22 01:00:00  AM,9.077,,,,
216,07/05/22 01:30:00  AM,8.282,,,,
217,07/05/22 02:00:00  AM,8.680,,,,
218,07/05/22 02:30:00  AM,10.455,,,,
219,07/05/22 03:00:00  AM,12.013,,,,
220,07/05/22 03:30:00  AM,13.173,,,,
221,07/05/22 04:00:00  AM,13.654,,,,
222,07/05/22 04:30:00  AM,11.916,,,,
223,07/05/22 05:00:00  AM,11.236,,,,
224,07/05/22 05:30:00  AM,14.517,,,,
225,07/05/22 06:00:00  AM,18.045,,,,
226,07/05/22 06:30:00  AM,18.521,,,,
227,07/05/22 07:00:00  AM,20.329,,,,
228,07/05/22 07:30:00  AM,23.292,,,,
229,07/05/22 08:00:00  AM,24.931,,,,
230,07/05/22 08:30:00  AM,27.075,,,,
231,07/05/22 09:00:00  AM,27.075,,,,
232,07/05/22 09:30:00  AM,28.555,,,,
233,07/05/22 10:00:00  AM,28.258,,,,
234,07/05/22 10:30:00  AM,26.390,,,,
235,07/05/22 11:00:00  AM,27.961,,,,
236,07/05/22 11:30:00  AM,26.195,,,,
237,07/05/22 12:00:00  PM,24.931,,,,
238,07/05/22 12:30:00  PM,27.272,,,,
239,07/05/22 01:00:00  PM,27.665,,,,
240,07/05/22 01:30:00  PM,25.805,,,,
241,07/05/22 02:00:00  PM,23.196,,,,
242,07/05/22 02:30:00  PM,24.062,,,,
243,07/05/22 03:00:00  PM,21.378,,,,
244,07/05/22 03:30:00  PM,22.812,,,,
245,07/05/22 04:00:00  PM,16.427,,,,
246,07/05/22 04:30:00  PM,15.473,,,,
247,07/05/22 05:00:00  PM,16.237,,,,
248,07/05/22 05:30:00  PM,13.558,,,,
249,07/05/22 06:00:00  PM,13.076,,,,
250,07/05/22 06:30:00  PM,12.401,,,,
251,07/05/22 07:00:00  PM,10.553,,,,
252,07/05/22 07:30:00  PM,8.680,,,,
253,07/05/22 08:00:00  PM,7.481,,,,
254,07/05/22 08:30:00  PM,7.280,,,,
255,07/05/22 09:00:00  PM,6.573,,,,
256,07/05/22 09:30:00  PM,6.471,,,,
257,07/05/22 10:00:00  PM,5.962,,,,
258,07/05/22 10:30:00  PM,5.450,,,,
259,07/05/22 11:00:00  PM,6.471,,,,
260,07/05/22 11:30:00  PM,5.655,,,,
261,07/06/22 12:00:00  AM,5.757,,,,
262,07/06/22 12:30:00  AM,5.757,,,,
263,07/06/22 01:00:00  AM,5.962,,,,
264,07/06/22 01:30:00  AM,6.877,,,,
265,07/06/22 02:00:00  AM,7.179,,,,
266,07/06/22 02:30:00  AM,6.978,,,,
267,07/06/22 03:00:00  AM,7.079,,,,
268,07/06/22 03:30:00  AM,7.782,,,,
269,07/06/22 04:00:00  AM,7.280,,,,
270,07/06/22 04:30:00  AM,7.682,,,,
271,07/06/22 05:00:00  AM,7.882,,,,
272,07/06/22 05:30:00  AM,8.182,,,,
