"Plot Title: DRYAS_14C"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20444010, SEN S/N: 20444010)","Coupler Attached (LGR S/N: 20444010)","Host Connected (LGR S/N: 20444010)","Stopped (LGR S/N: 20444010)","End Of File (LGR S/N: 20444010)"
123,07/04/22 10:00:00  PM,7.280,,,,
124,07/04/22 10:15:00  PM,7.079,,,,
125,07/04/22 10:30:00  PM,5.655,,,,
126,07/04/22 10:45:00  PM,6.370,,,,
127,07/04/22 11:00:00  PM,7.079,,,,
128,07/04/22 11:15:00  PM,8.382,,,,
129,07/04/22 11:30:00  PM,8.481,,,,
130,07/04/22 11:45:00  PM,9.176,,,,
131,07/05/22 12:00:00  AM,8.879,,,,
132,07/05/22 12:15:00  AM,7.381,,,,
133,07/05/22 12:30:00  AM,8.182,,,,
134,07/05/22 12:45:00  AM,9.077,,,,
135,07/05/22 01:00:00  AM,8.581,,,,
136,07/05/22 01:15:00  AM,7.381,,,,
137,07/05/22 01:30:00  AM,7.280,,,,
138,07/05/22 01:45:00  AM,8.481,,,,
139,07/05/22 02:00:00  AM,8.879,,,,
140,07/05/22 02:15:00  AM,10.259,,,,
141,07/05/22 02:30:00  AM,9.965,,,,
142,07/05/22 02:45:00  AM,9.768,,,,
143,07/05/22 03:00:00  AM,10.651,,,,
144,07/05/22 03:15:00  AM,10.651,,,,
145,07/05/22 03:30:00  AM,10.553,,,,
146,07/05/22 03:45:00  AM,11.334,,,,
147,07/05/22 04:00:00  AM,11.139,,,,
148,07/05/22 04:15:00  AM,11.041,,,,
149,07/05/22 04:30:00  AM,8.182,,,,
150,07/05/22 04:45:00  AM,7.582,,,,
151,07/05/22 05:00:00  AM,7.882,,,,
152,07/05/22 05:15:00  AM,9.866,,,,
153,07/05/22 05:30:00  AM,10.553,,,,
154,07/05/22 05:45:00  AM,10.748,,,,
155,07/05/22 06:00:00  AM,12.883,,,,
156,07/05/22 06:15:00  AM,12.497,,,,
157,07/05/22 06:30:00  AM,12.207,,,,
158,07/05/22 06:45:00  AM,12.594,,,,
159,07/05/22 07:00:00  AM,12.690,,,,
160,07/05/22 07:15:00  AM,11.431,,,,
161,07/05/22 07:30:00  AM,12.110,,,,
162,07/05/22 07:45:00  AM,13.269,,,,
