site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
WILL,,,,2022,179,1429,41.2,11.7,2.1839,436.77,0.80989,12.958,23.956,8.6244,19.477
WILL,,,,2022,179,1429,42.2,11.634,2.1666,433.32,0.8137,13.019,23.956,8.6244,19.477
WILL,,,,2022,179,1429,43.2,11.692,2.1839,436.78,0.80893,12.943,23.956,8.6417,19.494
WILL,,,,2022,179,1429,44.2,11.763,2.1962,439.23,0.82069,13.131,23.956,8.6244,19.511
WILL,,,,2022,179,1429,45.2,11.67,2.1719,434.39,0.81654,13.065,23.956,8.6417,19.494
WILL,,,,2022,179,1429,46.2,11.788,2.1718,434.35,0.81266,13.003,23.956,8.6417,19.477
WILL,,,,2022,179,1429,47.2,11.815,2.1934,438.68,0.82,13.12,23.956,8.6417,19.409
WILL,,,,2022,179,1429,48.2,11.763,2.1811,436.23,0.81723,13.076,23.956,8.6417,19.341
WILL,,,,2022,179,1429,49.2,11.807,2.1733,434.67,0.822,13.152,23.956,8.6417,19.272
WILL,,,,2022,179,1429,50.2,11.719,2.1756,435.12,0.81993,13.119,23.956,8.6417,19.238
WILL,,,,2022,179,1429,51.2,11.761,2.1906,438.12,0.82069,13.131,23.956,8.6417,19.17
WILL,,,,2022,179,1429,52.2,11.667,2.1891,437.82,0.82346,13.175,23.956,8.6417,19.118
WILL,,,,2022,179,1429,53.2,11.815,2.1746,434.91,0.82519,13.203,23.956,8.6404,19.067
WILL,,,,2022,179,1429,54.2,11.895,2.1821,436.43,0.83169,13.307,23.956,8.6591,19.016
WILL,,,,2022,179,1429,55.2,11.791,2.1756,435.12,0.82277,13.164,23.956,8.6417,18.93
WILL,,,,2022,179,1429,56.2,11.719,2.1911,438.23,0.82677,13.228,23.956,8.6591,18.862
WILL,,,,2022,179,1429,57.2,11.727,2.1851,437.02,0.83661,13.386,23.956,8.6591,18.793
WILL,,,,2022,179,1429,58.2,11.681,2.1756,435.12,0.82816,13.251,23.956,8.6591,18.759
WILL,,,,2022,179,1429,59.2,11.58,2.1913,438.26,0.82823,13.252,23.956,8.6591,18.691
WILL,,,,2022,179,1430,0.2,11.684,2.1832,436.64,0.83591,13.375,23.956,8.6591,18.622
WILL,,,,2022,179,1430,1.2,11.673,2.174,434.8,0.82754,13.241,23.956,8.6591,18.571
WILL,,,,2022,179,1430,2.2,11.684,2.1929,438.58,0.83661,13.386,23.956,8.6938,18.451
WILL,,,,2022,179,1430,3.2,11.758,2.1751,435.01,0.83377,13.34,23.956,8.7806,18.28
WILL,,,,2022,179,1430,4.2,11.84,2.1929,438.58,0.831,13.296,23.956,8.8501,18.109
WILL,,,,2022,179,1430,5.2,11.903,2.1882,437.64,0.8328,13.325,23.956,8.9022,17.852
WILL,,,,2022,179,1430,6.2,11.752,2.1784,435.67,0.833,13.328,23.956,8.9716,17.527
WILL,,,,2022,179,1430,7.2,11.648,2.1816,436.33,0.81827,13.092,23.942,8.9921,17.204
WILL,,,,2022,179,1430,8.2,11.741,2.1796,435.91,0.78533,12.565,23.956,9.0411,17.012
WILL,,,,2022,179,1430,9.2,11.758,2.1221,424.42,0.72001,11.52,23.942,9.0615,16.93
