site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
MEAD,11,T,light,2022,206,1417,44.2,11.128,1.9674,393.49,0.61384,9.8214,19.648,15.53,17.026
MEAD,11,T,light,2022,206,1417,45.2,11.318,1.9524,390.47,0.61661,9.8658,19.648,15.512,16.991
MEAD,11,T,light,2022,206,1417,46.2,11.109,1.9524,390.47,0.62007,9.9212,19.661,15.491,16.97
MEAD,11,T,light,2022,206,1417,47.2,11.065,1.9503,390.06,0.6229,9.9664,19.661,15.473,16.935
MEAD,11,T,light,2022,206,1417,48.2,10.988,1.956,391.2,0.627,10.032,19.674,15.469,16.931
MEAD,11,T,light,2022,206,1417,49.2,11.18,1.9538,390.75,0.63116,10.099,19.674,15.434,16.896
MEAD,11,T,light,2022,206,1417,50.2,11.213,1.9517,390.34,0.63191,10.111,19.686,15.43,16.892
MEAD,11,T,light,2022,206,1417,51.2,11.233,1.951,390.2,0.6326,10.122,19.686,15.395,16.857
MEAD,11,T,light,2022,206,1417,52.2,10.996,1.9538,390.75,0.63705,10.193,19.686,15.378,16.823
MEAD,11,T,light,2022,206,1417,53.2,11.32,1.9551,391.03,0.63947,10.232,19.686,15.344,16.789
MEAD,11,T,light,2022,206,1417,54.2,11.224,1.9427,388.53,0.64017,10.243,19.699,15.322,16.784
MEAD,11,T,light,2022,206,1417,55.2,11.106,1.9558,391.17,0.64507,10.321,19.699,15.322,16.767
MEAD,11,T,light,2022,206,1417,56.2,11.18,1.9409,388.19,0.64571,10.331,19.711,15.317,16.745
MEAD,11,T,light,2022,206,1417,57.2,11.054,1.9441,388.81,0.65125,10.42,19.724,15.296,16.723
MEAD,11,T,light,2022,206,1417,58.2,11.09,1.9477,389.54,0.65165,10.426,19.724,15.278,16.723
MEAD,11,T,light,2022,206,1417,59.2,10.947,1.9447,388.95,0.65512,10.482,19.724,15.261,16.689
MEAD,11,T,light,2022,206,1418,0.2,10.966,1.9493,389.85,0.65824,10.532,19.736,15.257,16.685
MEAD,11,T,light,2022,206,1418,1.2,10.983,1.9413,388.26,0.65957,10.553,19.749,15.252,16.68
MEAD,11,T,light,2022,206,1418,2.2,11.172,1.9447,388.95,0.66303,10.608,19.749,15.235,16.646
MEAD,11,T,light,2022,206,1418,3.2,11.073,1.9376,387.53,0.66441,10.631,19.749,15.2,16.628
MEAD,11,T,light,2022,206,1418,4.2,10.804,1.9247,384.93,0.66649,10.664,19.762,15.213,16.624
MEAD,11,T,light,2022,206,1418,5.2,11.18,1.9425,388.5,0.66926,10.708,19.751,15.185,16.579
MEAD,11,T,light,2022,206,1418,6.2,11.257,1.9468,389.37,0.67342,10.775,19.774,15.191,16.602
MEAD,11,T,light,2022,206,1418,7.2,11.054,1.9233,384.65,0.67238,10.758,19.764,15.146,16.557
MEAD,11,T,light,2022,206,1418,8.2,10.975,1.9475,389.5,0.67792,10.847,19.787,15.17,16.546
MEAD,11,T,light,2022,206,1418,9.2,10.942,1.933,386.59,0.67966,10.875,19.787,15.152,16.546
MEAD,11,T,light,2022,206,1418,10.2,11.068,1.9323,386.46,0.68255,10.921,19.799,15.148,16.524
MEAD,11,T,light,2022,206,1418,11.2,11.235,1.9357,387.15,0.68381,10.941,19.799,15.148,16.507
MEAD,11,T,light,2022,206,1418,12.2,11.082,1.9302,386.04,0.68589,10.974,19.812,15.143,16.503
MEAD,11,T,light,2022,206,1418,13.2,11.208,1.9267,385.35,0.68693,10.991,19.825,15.139,16.515
MEAD,11,T,light,2022,206,1418,14.2,11.347,1.9276,385.52,0.68866,11.019,19.825,15.122,16.481
MEAD,11,T,light,2022,206,1418,15.2,11.139,1.9359,387.18,0.69149,11.064,19.825,15.104,16.464
MEAD,11,T,light,2022,206,1418,16.2,10.887,1.9295,385.9,0.69213,11.074,19.837,15.117,16.459
MEAD,11,T,light,2022,206,1418,17.2,11.2,1.9364,387.29,0.69663,11.146,19.837,15.1,16.442
MEAD,11,T,light,2022,206,1418,18.2,10.988,1.9205,384.1,0.6949,11.118,19.85,15.095,16.438
MEAD,11,T,light,2022,206,1418,19.2,10.961,1.933,386.59,0.69906,11.185,19.85,15.095,16.438
MEAD,11,T,light,2022,206,1418,20.2,11.049,1.9281,385.62,0.69946,11.191,19.85,15.078,16.403
MEAD,11,T,light,2022,206,1418,21.2,10.936,1.9271,385.42,0.70113,11.218,19.863,15.074,16.416
MEAD,11,T,light,2022,206,1418,22.2,11.01,1.9281,385.62,0.70356,11.257,19.875,15.069,16.394
MEAD,11,T,light,2022,206,1418,23.2,11.266,1.9219,384.38,0.7046,11.274,19.875,15.069,16.394
MEAD,11,T,light,2022,206,1418,24.2,10.964,1.9219,384.38,0.70702,11.312,19.875,15.052,16.36
MEAD,11,T,light,2022,206,1418,25.2,10.865,1.915,382.99,0.70674,11.308,19.888,15.047,16.373
