site,plot,treatment,light,year,DOY,hhmm,ss.s,battery_V,CO2_v,CO2_ppm,H2O_v,H2O_ppt,T_panel,T_soil,T_air
DRYAS,11,C,light,2022,196,1444,31.2,11.421,2.0085,401.7,0.56415,9.0264,17.131,8.9553,11.334
DRYAS,11,C,light,2022,196,1444,32.2,11.341,2.0307,406.13,0.56415,9.0264,17.131,8.956,11.369
DRYAS,11,C,light,2022,196,1444,33.2,11.574,2.0258,405.16,0.55791,8.9266,17.131,8.9553,11.438
DRYAS,11,C,light,2022,196,1444,34.2,11.611,2.0237,404.75,0.55618,8.8989,17.131,8.9379,11.472
DRYAS,11,C,light,2022,196,1444,35.2,11.506,1.9988,399.76,0.5641,9.0256,17.131,8.9379,11.507
DRYAS,11,C,light,2022,196,1444,36.2,11.791,2.014,402.81,0.56484,9.0375,17.131,8.9379,11.559
DRYAS,11,C,light,2022,196,1444,37.2,11.561,2.0147,402.95,0.58143,9.3028,17.131,8.9379,11.611
DRYAS,11,C,light,2022,196,1444,38.2,11.682,2.0215,404.3,0.58628,9.3805,17.131,8.9379,11.645
DRYAS,11,C,light,2022,196,1444,39.2,11.421,2.0076,401.52,0.57866,9.2585,17.131,8.9379,11.68
DRYAS,11,C,light,2022,196,1444,40.2,11.553,2.021,404.19,0.58217,9.3147,17.131,8.9386,11.715
DRYAS,11,C,light,2022,196,1444,41.2,11.407,2.0028,400.55,0.57871,9.2593,17.131,8.9379,11.749
DRYAS,11,C,light,2022,196,1444,42.2,11.687,2.0118,402.36,0.58356,9.3369,17.131,8.9379,11.784
DRYAS,11,C,light,2022,196,1444,43.2,11.616,2.0137,402.74,0.5891,9.4256,17.131,8.9379,11.819
DRYAS,11,C,light,2022,196,1444,44.2,11.479,2.0045,400.9,0.59673,9.5476,17.131,8.9386,11.854
DRYAS,11,C,light,2022,196,1444,45.2,11.275,2.0109,402.18,0.60643,9.7028,17.131,8.9379,11.888
DRYAS,11,C,light,2022,196,1444,46.2,11.482,2.0146,402.91,0.59534,9.5254,17.143,8.9675,11.935
DRYAS,11,C,light,2022,196,1444,47.2,11.317,1.9971,399.41,0.59673,9.5476,17.143,8.9682,11.97
DRYAS,11,C,light,2022,196,1444,48.2,11.769,2.0133,402.67,0.60435,9.6696,17.143,8.9501,12.004
DRYAS,11,C,light,2022,196,1444,49.2,11.666,1.9925,398.51,0.60504,9.6807,17.143,8.9675,12.073
DRYAS,11,C,light,2022,196,1444,50.2,11.657,2.0095,401.91,0.60608,9.6973,17.143,8.9675,12.108
DRYAS,11,C,light,2022,196,1444,51.2,11.333,1.9997,399.93,0.61336,9.8137,17.143,8.9675,12.142
DRYAS,11,C,light,2022,196,1444,52.2,11.416,2.0175,403.5,0.61856,9.8969,17.143,8.9675,12.177
DRYAS,11,C,light,2022,196,1444,53.2,11.506,1.9936,398.72,0.61752,9.8803,17.143,8.9682,12.212
DRYAS,11,C,light,2022,196,1444,54.2,11.756,2.0159,403.19,0.62583,10.013,17.143,8.9848,12.246
DRYAS,11,C,light,2022,196,1444,55.2,11.586,1.9906,398.13,0.60984,9.7574,17.143,8.9848,12.264
DRYAS,11,C,light,2022,196,1444,56.2,11.517,1.9943,398.86,0.63964,10.234,17.143,8.9848,12.315
DRYAS,11,C,light,2022,196,1444,57.2,11.539,2.0106,402.11,0.63276,10.124,17.155,8.997,12.345
DRYAS,11,C,light,2022,196,1444,58.2,11.346,1.9945,398.89,0.61856,9.8969,17.155,8.997,12.362
DRYAS,11,C,light,2022,196,1444,59.2,11.758,1.9945,398.89,0.62445,9.9912,17.155,8.997,12.397
DRYAS,11,C,light,2022,196,1445,0.2,11.701,1.9884,397.68,0.63969,10.235,17.155,8.997,12.397
DRYAS,11,C,light,2022,196,1445,1.2,11.427,2.0168,403.36,0.64484,10.317,17.155,9.0144,12.431
DRYAS,11,C,light,2022,196,1445,2.2,11.657,1.9875,397.51,0.64524,10.324,17.155,9.0144,12.466
DRYAS,11,C,light,2022,196,1445,3.2,11.71,2.0002,400.03,0.64068,10.251,17.155,9.0144,12.5
DRYAS,11,C,light,2022,196,1445,4.2,11.539,1.9925,398.51,0.62861,10.058,17.155,9.0144,12.518
DRYAS,11,C,light,2022,196,1445,5.2,11.386,1.9818,396.36,0.64316,10.291,17.155,9.0144,12.57
DRYAS,11,C,light,2022,196,1445,6.2,11.386,2.001,400.21,0.67088,10.734,17.167,9.0446,12.599
DRYAS,11,C,light,2022,196,1445,7.2,11.509,1.99,397.99,0.64518,10.323,17.167,9.0613,12.634
DRYAS,11,C,light,2022,196,1445,8.2,11.218,1.9932,398.65,0.64593,10.335,17.167,9.0613,12.651
DRYAS,11,C,light,2022,196,1445,9.2,11.015,2.0009,400.17,0.65003,10.401,17.167,9.0613,12.686
DRYAS,11,C,light,2022,196,1445,10.2,11.602,1.9853,397.05,0.65148,10.424,17.167,9.0613,12.703
DRYAS,11,C,light,2022,196,1445,11.2,11.871,1.9839,396.78,0.65073,10.412,17.167,9.0613,12.737
DRYAS,11,C,light,2022,196,1445,12.2,11.613,1.9835,396.71,0.66395,10.623,17.167,9.0787,12.755
DRYAS,11,C,light,2022,196,1445,13.2,11.74,1.9983,399.65,0.68197,10.912,17.167,9.0613,12.789
DRYAS,11,C,light,2022,196,1445,14.2,11.309,1.988,397.61,0.67775,10.844,17.179,9.0908,12.836
DRYAS,11,C,light,2022,196,1445,15.2,11.191,2.0009,400.17,0.67158,10.745,17.179,9.0908,12.871
DRYAS,11,C,light,2022,196,1445,16.2,11.517,1.9725,394.49,0.66187,10.59,17.179,9.0915,12.871
DRYAS,11,C,light,2022,196,1445,17.2,11.335,1.9912,398.23,0.65841,10.535,17.179,9.1082,12.905
DRYAS,11,C,light,2022,196,1445,18.2,11.342,1.9794,395.88,0.67158,10.745,17.179,9.1082,12.94
DRYAS,11,C,light,2022,196,1445,19.2,11.284,1.9683,393.66,0.6837,10.939,17.179,9.1089,12.975
DRYAS,11,C,light,2022,196,1445,20.2,11.715,1.9839,396.78,0.68266,10.923,17.179,9.1082,12.974
DRYAS,11,C,light,2022,196,1445,21.2,11.349,1.9792,395.84,0.67643,10.823,17.179,9.1082,12.992
DRYAS,11,C,light,2022,196,1445,22.2,11.448,1.9731,394.63,0.68786,11.006,17.179,9.1256,13.009
DRYAS,11,C,light,2022,196,1445,23.2,11.146,1.9925,398.51,0.68613,10.978,17.179,9.1256,13.026
DRYAS,11,C,light,2022,196,1445,24.2,11.533,1.9745,394.91,0.68197,10.912,17.179,9.1263,13.044
DRYAS,11,C,light,2022,196,1445,25.2,11.53,1.9827,396.53,0.67775,10.844,17.179,9.143,13.061
DRYAS,11,C,light,2022,196,1445,26.2,11.611,1.9693,393.87,0.68954,11.033,17.179,9.143,13.078
DRYAS,11,C,light,2022,196,1445,27.2,11.567,1.9787,395.74,0.69687,11.15,17.179,9.143,13.113
DRYAS,11,C,light,2022,196,1445,28.2,11.515,1.9676,393.52,0.69029,11.045,17.179,9.143,13.113
DRYAS,11,C,light,2022,196,1445,29.2,11.251,1.9811,396.22,0.6975,11.16,17.191,9.1552,13.159
DRYAS,11,C,light,2022,196,1445,30.2,11.031,1.9846,396.92,0.69958,11.193,17.191,9.1552,13.159
DRYAS,11,C,light,2022,196,1445,31.2,11.495,1.9752,395.04,0.69237,11.078,17.191,9.1726,13.194
DRYAS,11,C,light,2022,196,1445,32.2,11.023,1.9745,394.91,0.69514,11.122,17.191,9.1733,13.229
DRYAS,11,C,light,2022,196,1445,33.2,11.129,1.9745,394.91,0.69514,11.122,17.191,9.1726,13.246
DRYAS,11,C,light,2022,196,1445,34.2,11.162,1.9598,391.96,0.69826,11.172,17.191,9.1899,13.263
DRYAS,11,C,light,2022,196,1445,35.2,11.292,1.9683,393.66,0.6993,11.189,17.191,9.1899,13.28
DRYAS,11,C,light,2022,196,1445,36.2,11.303,1.9738,394.77,0.70242,11.239,17.191,9.1899,13.297
DRYAS,11,C,light,2022,196,1445,37.2,11.232,1.9742,394.84,0.70138,11.222,17.191,9.1899,13.332
DRYAS,11,C,light,2022,196,1445,38.2,11.616,1.955,390.99,0.70276,11.244,17.191,9.1899,13.332
DRYAS,11,C,light,2022,196,1445,39.2,11.407,1.9716,394.32,0.70415,11.266,17.191,9.2073,13.349
DRYAS,11,C,light,2022,196,1445,40.2,11.309,1.9653,393.07,0.70554,11.289,17.191,9.2247,13.367
DRYAS,11,C,light,2022,196,1445,41.2,11.314,1.9621,392.41,0.70935,11.35,17.191,9.2247,13.367
DRYAS,11,C,light,2022,196,1445,42.2,11.297,1.9652,393.03,0.71344,11.415,17.191,9.2247,13.367
DRYAS,11,C,light,2022,196,1445,43.2,10.96,1.9887,397.75,0.70969,11.355,17.191,9.2247,13.384
DRYAS,11,C,light,2022,196,1445,44.2,11.03,1.9688,393.76,0.70305,11.249,17.191,9.2247,13.384
DRYAS,11,C,light,2022,196,1445,45.2,11.05,1.9757,395.15,0.70727,11.316,17.191,9.2247,13.401
DRYAS,11,C,light,2022,196,1445,46.2,11.302,1.9603,392.06,0.70415,11.266,17.191,9.2247,13.418
DRYAS,11,C,light,2022,196,1445,47.2,11.141,1.961,392.2,0.70658,11.305,17.191,9.2247,13.436
DRYAS,11,C,light,2022,196,1445,48.2,11.479,1.9627,392.55,0.70761,11.322,17.203,9.2368,13.448
